Chip_ID,Date,Condition_Label,Concentration_uM,Temperature,Stage_Files_Present,Success_or_Fail
14Mar_No.1,2026-03-14,0 uM,0,RT,CHI+probe,FAILURE
14Mar_No.10,2026-03-14,20 uM,20,RT,CHI+probe,SUCCESS
14Mar_No.11,2026-03-14,20 uM,20,RT,CHI+probe,SUCCESS
14Mar_No.12,2026-03-14,20 uM,20,RT,CHI+probe,SUCCESS
14Mar_No.13,2026-03-14,40 uM,40,RT,CHI+probe,SUCCESS
14Mar_No.14,2026-03-14,40 uM,40,RT,CHI+probe,SUCCESS
14Mar_No.15,2026-03-14,40 uM,40,RT,CHI+probe,SUCCESS
14Mar_No.2,2026-03-14,0 uM,0,RT,CHI+probe,FAILURE
14Mar_No.3,2026-03-14,0 uM,0,RT,CHI+probe,FAILURE
14Mar_No.4,2026-03-14,5 uM,5,RT,CHI+probe,FAILURE
14Mar_No.5,2026-03-14,5 uM,5,RT,CHI+probe,SUCCESS
14Mar_No.6,2026-03-14,5 uM,5,RT,CHI+probe,SUCCESS
14Mar_No.7,2026-03-14,10 uM,10,RT,CHI+probe,SUCCESS
14Mar_No.8,2026-03-14,10 uM,10,RT,CHI+probe,SUCCESS
14Mar_No.9,2026-03-14,10 uM,10,RT,CHI+probe,SUCCESS
15Mar_No.16,2026-03-15,10 uM RT,10,RT,CHI+probe,EXCLUDED
15Mar_No.17,2026-03-15,10 uM RT,10,RT,CHI+probe,SUCCESS
15Mar_No.18,2026-03-15,10 uM RT,10,RT,CHI+probe,FAILURE
15Mar_No.19,2026-03-15,10 uM 37C,10,37C,CHI+probe,SUCCESS
15Mar_No.20,2026-03-15,10 uM 37C,10,37C,CHI+probe,FAILURE
15Mar_No.21,2026-03-15,10 uM 37C,10,37C,CHI+probe,FAILURE
15Mar_No.22,2026-03-15,10 uM 60C,10,60C,CHI+probe,FAILURE
15Mar_No.23,2026-03-15,10 uM 60C,10,60C,CHI+probe,FAILURE
15Mar_No.24,2026-03-15,10 uM 60C,10,60C,CHI+probe,FAILURE
20Mar_No.1,2026-03-20,10 uM RT,10,RT,CHI+probe,SUCCESS
20Mar_No.2,2026-03-20,10 uM RT,10,RT,CHI+probe,SUCCESS
20Mar_No.3,2026-03-20,10 uM RT,10,RT,CHI+probe,SUCCESS
20Mar_No.4,2026-03-20,10 uM 37C,10,37C,CHI+probe,SUCCESS
20Mar_No.5,2026-03-20,10 uM 37C,10,37C,CHI+probe,SUCCESS
20Mar_No.6,2026-03-20,10 uM 37C,10,37C,CHI+probe,SUCCESS
20Mar_No.7,2026-03-20,10 uM 60C,10,60C,CHI+probe,SUCCESS
20Mar_No.8,2026-03-20,10 uM 60C,10,60C,CHI+probe,SUCCESS
20Mar_No.9,2026-03-20,10 uM 60C,10,60C,CHI+probe,SUCCESS
21Mar_No.1,2026-03-21,No.1 Chi+Probe+Tg 1uM,1,RT,CHI+probe+target,SUCCESS
21Mar_No.10,2026-03-21,No.10 Probe+TG 10uM,10,RT,probe+target,FAILURE
21Mar_No.2,2026-03-21,No.2 Chi+Probe+Tg 1uM,1,RT,CHI+probe+target,SUCCESS
21Mar_No.28,2026-03-21,No.28 Chi+Probe+Tg 0.5uM,0.5,RT,CHI+probe+target,SUCCESS
21Mar_No.29,2026-03-21,No.29 Chi+Probe NC,NC,RT,CHI+probe+target,FAILURE
21Mar_No.3,2026-03-21,No.3 Chi+Probe+Tg 5uM,5,RT,CHI+probe+target,SUCCESS
21Mar_No.4,2026-03-21,No.4 Chi+Probe+Tg 5uM,5,RT,CHI+probe+target,SUCCESS
21Mar_No.5,2026-03-21,No.5 Chi+Probe+Tg 10uM,10,RT,CHI+probe+target,SUCCESS
21Mar_No.6,2026-03-21,No.6 Chi+Probe+Tg 10uM,10,RT,CHI+probe+target,SUCCESS
21Mar_No.7,2026-03-21,No.7 Probe+NC,NC,RT,probe+target,FAILURE
21Mar_No.8,2026-03-21,No.8 Probe+TG 0.5uM,0.5,RT,probe+target,FAILURE
21Mar_No.9,2026-03-21,No.9 Probe+TG 10uM,10,RT,probe+target,FAILURE
