chip_id,date_folder,condition_label,concentration_uM,temperature,stages_present,delta_f_chi,delta_f_probe,delta_f_target,binding_rate_probe_dfdt_30s,binding_rate_replicate_status,early_displacement_30s,success_or_fail
14Mar_No.1,14 Mar 2026,0 uM,0,RT,CHI+probe,-1.7599999997764826,15.650000000372529,,-0.013314048447555281,SINGLE_REPLICATE,16.665666665881872,FAILURE
14Mar_No.10,14 Mar 2026,20 uM,20,RT,CHI+probe,1.1499999985098839,-10.359999999403954,,-0.029011426024095583,SINGLE_REPLICATE,-10.389999998733401,SUCCESS
14Mar_No.11,14 Mar 2026,20 uM,20,RT,CHI+probe,2.449999999254942,-34.72999999858439,,0.060160754548705175,SINGLE_REPLICATE,-38.10999999940395,SUCCESS
14Mar_No.12,14 Mar 2026,20 uM,20,RT,CHI+probe,25.90000000037253,-120.81000000052154,,-0.002895269242901836,SINGLE_REPLICATE,-119.82580246962607,SUCCESS
14Mar_No.13,14 Mar 2026,40 uM,40,RT,CHI+probe,0.35999999940395355,-43.94999999925494,,-0.023243490367203207,SINGLE_REPLICATE,-43.05645161308348,SUCCESS
14Mar_No.14,14 Mar 2026,40 uM,40,RT,CHI+probe,3.4700000006705523,-10.070000000298023,,0.06615353574559198,SINGLE_REPLICATE,-14.865061728283763,SUCCESS
14Mar_No.15,14 Mar 2026,40 uM,40,RT,CHI+probe,0.6099999994039536,-76.76999999955297,,0.036823041822917055,SINGLE_REPLICATE,-78.91095237992704,SUCCESS
14Mar_No.2,14 Mar 2026,0 uM,0,RT,CHI+probe,2.650000000372529,6.279999999329448,,-0.0071116570785058255,SINGLE_REPLICATE,7.013442622497678,FAILURE
14Mar_No.3,14 Mar 2026,0 uM,0,RT,CHI+probe,-2.3099999986588955,9.259999999776483,,-0.02618330622635437,SINGLE_REPLICATE,8.399999998509884,FAILURE
14Mar_No.4,14 Mar 2026,5 uM,5,RT,CHI+probe,2.7599999997764826,7.009999999776483,,-0.019102684084254456,SINGLE_REPLICATE,6.639999998733401,FAILURE
14Mar_No.5,14 Mar 2026,5 uM,5,RT,CHI+probe,2.869999999180436,-15.68999999947846,,-0.01947718896461817,SINGLE_REPLICATE,-15.285245900973678,SUCCESS
14Mar_No.6,14 Mar 2026,5 uM,5,RT,CHI+probe,-1.7400000002235174,-26.050000000745058,,0.022055315105068037,SINGLE_REPLICATE,-29.830000000074506,SUCCESS
14Mar_No.7,14 Mar 2026,10 uM,10,RT,CHI+probe,2.019999999552965,-31.609999999403954,,0.05552720222327713,SINGLE_REPLICATE,-35.40170731768012,SUCCESS
14Mar_No.8,14 Mar 2026,10 uM,10,RT,CHI+probe,0.3200000002980232,-48.66000000014901,,-0.0016714520875670688,SINGLE_REPLICATE,-52.01442623138428,SUCCESS
14Mar_No.9,14 Mar 2026,10 uM,10,RT,CHI+probe,-0.12999999895691872,-105.8600000012666,,-0.006780702115569225,SINGLE_REPLICATE,-107.9077419359237,SUCCESS
15Mar_No.16,15 Mar 2026,10 uM RT,10,RT,CHI,2.9399999994784594,,,,,,EXCLUDED
15Mar_No.17,15 Mar 2026,10 uM RT,10,RT,CHI+probe,9.490000000223517,-139.8250000011176,,,DIVERGENT_REPLICATES,-141.3756707329303,SUCCESS
15Mar_No.18,15 Mar 2026,10 uM RT,10,RT,CHI+probe,-0.9800000004470348,67.12000000104308,,0.060782558088776674,SINGLE_REPLICATE,61.20196721330285,FAILURE
15Mar_No.19,15 Mar 2026,10 uM 37C,10,37C,CHI+probe,0.4900000002235174,-9.400000000372529,,0.024327257840848736,SINGLE_REPLICATE,-10.628658536821604,SUCCESS
15Mar_No.20,15 Mar 2026,10 uM 37C,10,37C,CHI+probe,-0.4100000001490116,24.75,,0.02606297343279304,SINGLE_REPLICATE,21.050000000745058,FAILURE
15Mar_No.21,15 Mar 2026,10 uM 37C,10,37C,CHI+probe,-0.019999999552965164,104.30000000074506,,0.024124575893277957,SINGLE_REPLICATE,107.93209677375853,FAILURE
15Mar_No.22,15 Mar 2026,10 uM 60C,10,60C,CHI+probe,-0.4100000001490116,30.580000000074506,,-0.05457603508386003,SINGLE_REPLICATE,34.130000000819564,FAILURE
15Mar_No.23,15 Mar 2026,10 uM 60C,10,60C,CHI+probe,-0.48000000044703484,5.830000000074506,,-0.007176367828244472,SINGLE_REPLICATE,5.819218751043081,FAILURE
15Mar_No.24,15 Mar 2026,10 uM 60C,10,60C,CHI+probe,0.7299999985843897,1.4100000001490116,,0.017590596975091886,SINGLE_REPLICATE,-1.413225807249546,FAILURE
20Mar_No.1,20 Mar 2026,10 uM RT,10,RT,CHI+probe,-3.2849999982863665,-15.720000000670552,,-0.03464047756202104,CONCORDANT,-13.90617398172617,SUCCESS
20Mar_No.2,20 Mar 2026,10 uM RT,10,RT,CHI+probe,-1.8200000002980232,-44.18500000052154,,-0.002226907430010756,CONCORDANT,-46.16660493798554,SUCCESS
20Mar_No.3,20 Mar 2026,10 uM RT,10,RT,CHI+probe,-1.780000001192093,-345.0300000011921,,,DIVERGENT_REPLICATES,-344.8603278696537,SUCCESS
20Mar_No.4,20 Mar 2026,10 uM 37C,10,37C,CHI+probe,0.7799999993294477,-129.25499999895692,,,DIVERGENT_REPLICATES,-127.37573770433664,SUCCESS
20Mar_No.5,20 Mar 2026,10 uM 37C,10,37C,CHI+probe,1.700000001117587,-372.070000000298,,,DIVERGENT_REPLICATES,-374.6331967227161,SUCCESS
20Mar_No.6,20 Mar 2026,10 uM 37C,10,37C,CHI+probe,3.1349999997764826,-57.480000000447035,,,DIVERGENT_REPLICATES,-57.049709821119905,SUCCESS
20Mar_No.7,20 Mar 2026,10 uM 60C,10,60C,CHI+probe,0.8350000008940697,-65.82499999925494,,,DIVERGENT_REPLICATES,-66.89254032075405,SUCCESS
20Mar_No.8,20 Mar 2026,10 uM 60C,10,60C,CHI+probe,-0.2149999998509884,-14.594999998807907,,,DIVERGENT_REPLICATES,-15.298069804906845,SUCCESS
20Mar_No.9,20 Mar 2026,10 uM 60C,10,60C,CHI+probe,-3.069999998435378,-13.825000001117587,,-0.035625673897341635,CONCORDANT,-11.177850799635053,SUCCESS
21Mar_No.1,21 Mar 2026,No.1 Chi+Probe+Tg 1uM,1,RT,CHI+probe+target,1.655000001192093,-19.140000000596046,-31.455000000074506,,DIVERGENT_REPLICATES,-22.303906250745058,SUCCESS
21Mar_No.10,21 Mar 2026,No.10 Probe+TG 10uM,10,RT,probe+target,,0.8599999994039536,-211.44999999925494,,DIVERGENT_REPLICATES,0.38060975819826126,FAILURE
21Mar_No.2,21 Mar 2026,No.2 Chi+Probe+Tg 1uM,1,RT,CHI+probe+target,4.535000000149012,-20.375,-32.084999999031425,,DIVERGENT_REPLICATES,-20.596415115520358,SUCCESS
21Mar_No.28,21 Mar 2026,No.28 Chi+Probe+Tg 0.5uM,0.5,RT,CHI+probe+target,0.2949999999254942,-48.205000000074506,-40.78000000119209,0.011842651277341434,CONCORDANT,-49.751451613381505,SUCCESS
21Mar_No.29,21 Mar 2026,No.29 Chi+Probe NC,NC,RT,CHI+probe+target,1.875,22.614999998360872,-0.17999999970197678,,DIVERGENT_REPLICATES,20.701612021774054,FAILURE
21Mar_No.3,21 Mar 2026,No.3 Chi+Probe+Tg 5uM,5,RT,CHI+probe+target,-0.0949999988079071,-56.940000001341105,-52.21999999880791,0.02200487941128141,CONCORDANT,-57.776449389755726,SUCCESS
21Mar_No.4,21 Mar 2026,No.4 Chi+Probe+Tg 5uM,5,RT,CHI+probe+target,-0.26999999955296516,-50.209999999031425,-73.08999999985099,,DIVERGENT_REPLICATES,-48.712565284222364,SUCCESS
