chip_id,success_or_fail,Chip_ID,Success_or_Fail,_merge
14Mar_No.1,FAILURE,14Mar_No.1,FAILURE,both
14Mar_No.10,SUCCESS,14Mar_No.10,SUCCESS,both
14Mar_No.11,SUCCESS,14Mar_No.11,SUCCESS,both
14Mar_No.12,SUCCESS,14Mar_No.12,SUCCESS,both
14Mar_No.13,SUCCESS,14Mar_No.13,SUCCESS,both
14Mar_No.14,SUCCESS,14Mar_No.14,SUCCESS,both
14Mar_No.15,SUCCESS,14Mar_No.15,SUCCESS,both
14Mar_No.2,FAILURE,14Mar_No.2,FAILURE,both
14Mar_No.3,FAILURE,14Mar_No.3,FAILURE,both
14Mar_No.4,FAILURE,14Mar_No.4,FAILURE,both
14Mar_No.5,SUCCESS,14Mar_No.5,SUCCESS,both
14Mar_No.6,SUCCESS,14Mar_No.6,SUCCESS,both
14Mar_No.7,SUCCESS,14Mar_No.7,SUCCESS,both
14Mar_No.8,SUCCESS,14Mar_No.8,SUCCESS,both
14Mar_No.9,SUCCESS,14Mar_No.9,SUCCESS,both
15Mar_No.16,EXCLUDED,15Mar_No.16,EXCLUDED,both
15Mar_No.17,SUCCESS,15Mar_No.17,SUCCESS,both
15Mar_No.18,FAILURE,15Mar_No.18,FAILURE,both
15Mar_No.19,SUCCESS,15Mar_No.19,SUCCESS,both
15Mar_No.20,FAILURE,15Mar_No.20,FAILURE,both
15Mar_No.21,FAILURE,15Mar_No.21,FAILURE,both
15Mar_No.22,FAILURE,15Mar_No.22,FAILURE,both
15Mar_No.23,FAILURE,15Mar_No.23,FAILURE,both
15Mar_No.24,FAILURE,15Mar_No.24,FAILURE,both
20Mar_No.1,SUCCESS,20Mar_No.1,SUCCESS,both
20Mar_No.2,SUCCESS,20Mar_No.2,SUCCESS,both
20Mar_No.3,SUCCESS,20Mar_No.3,SUCCESS,both
20Mar_No.4,SUCCESS,20Mar_No.4,SUCCESS,both
20Mar_No.5,SUCCESS,20Mar_No.5,SUCCESS,both
20Mar_No.6,SUCCESS,20Mar_No.6,SUCCESS,both
20Mar_No.7,SUCCESS,20Mar_No.7,SUCCESS,both
20Mar_No.8,SUCCESS,20Mar_No.8,SUCCESS,both
20Mar_No.9,SUCCESS,20Mar_No.9,SUCCESS,both
21Mar_No.1,SUCCESS,21Mar_No.1,SUCCESS,both
21Mar_No.10,FAILURE,21Mar_No.10,FAILURE,both
21Mar_No.2,SUCCESS,21Mar_No.2,SUCCESS,both
21Mar_No.28,SUCCESS,21Mar_No.28,SUCCESS,both
21Mar_No.29,FAILURE,21Mar_No.29,FAILURE,both
21Mar_No.3,SUCCESS,21Mar_No.3,SUCCESS,both
21Mar_No.4,SUCCESS,21Mar_No.4,SUCCESS,both
21Mar_No.5,SUCCESS,21Mar_No.5,SUCCESS,both
21Mar_No.6,SUCCESS,21Mar_No.6,SUCCESS,both
21Mar_No.7,FAILURE,21Mar_No.7,FAILURE,both
21Mar_No.8,FAILURE,21Mar_No.8,FAILURE,both
21Mar_No.9,SUCCESS,21Mar_No.9,SUCCESS,both
