synthetic_id,class,concentration_uM,true_endpoint_delta_f,label
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0000,CLEAN_PCA3_TARGET,10.0,-81.04723416484825,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0001,CLEAN_PCA3_TARGET,10.0,-28.139386768086666,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0002,CLEAN_PCA3_TARGET,10.0,-50.88454559070199,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0003,CLEAN_PCA3_TARGET,1.0,-287.75835835158307,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0004,CLEAN_PCA3_TARGET,10.0,-40.59186960109209,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0005,CLEAN_PCA3_TARGET,40.0,-347.0344825423681,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0006,CLEAN_PCA3_TARGET,5.0,-22.74363137329153,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0007,CLEAN_PCA3_TARGET,10.0,-105.93189200543078,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0008,CLEAN_PCA3_TARGET,10.0,-133.16999173399674,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0009,CLEAN_PCA3_TARGET,10.0,-33.07754842767635,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0010,CLEAN_PCA3_TARGET,10.0,-68.98137427870888,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0011,CLEAN_PCA3_TARGET,10.0,-107.34279419269798,SUCCESS
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0012,CLEAN_PCA3_TARGET,40.0,1.1422902085105575,FAILURE
SYN_SINGLE_PROBE_CLEAN_PCA3_TARGET_0013,CLEAN_PCA3_TARGET,5.0,-14.730031105518922,SUCCESS
