synthetic_id,class,stage,concentration_uM,duration_s,replicate_1_early_disp_30s,replicate_2_early_disp_30s,biomarker_replicate_status,early_displacement_30s,true_endpoint_delta_f,success_or_fail,intentionally_divergent
SYN_PROBE_CLEAN_PCA3_TARGET_0000_FORCED_DIVERGENT,CLEAN_PCA3_TARGET,probe,10.0,187.0696735700911,-31.555900170857953,-0.08186797168567497,DIVERGENT_REPLICATES,,14.23594895523066,FAILURE,True
SYN_PROBE_CLEAN_PCA3_TARGET_0001_FORCED_DIVERGENT,CLEAN_PCA3_TARGET,probe,10.0,145.88223427969558,-65.68858578286338,0.013850328227088624,DIVERGENT_REPLICATES,,0.5444228035020799,FAILURE,True
SYN_PROBE_CLEAN_PCA3_TARGET_0002,CLEAN_PCA3_TARGET,probe,1.0,211.45342757823815,-64.0708123931612,-63.58368269246257,CONCORDANT,-63.82724754281189,-64.10594745618077,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0003,CLEAN_PCA3_TARGET,probe,10.0,163.96908345459687,-9.64597675322946,-9.478172045728776,CONCORDANT,-9.562074399479119,-9.64862872293942,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0004,CLEAN_PCA3_TARGET,probe,10.0,234.10289324733608,-81.01801118701437,-80.55411126609852,CONCORDANT,-80.78606122655644,-82.00926166378,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0005,CLEAN_PCA3_TARGET,probe,1.0,191.21618418198028,-259.15846722202735,-262.74222457446155,CONCORDANT,-260.95034589824445,-263.03651136227694,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0006,CLEAN_PCA3_TARGET,probe,10.0,72.61138229600782,-0.8023683547057212,-0.8720969182704562,CONCORDANT,-0.8372326364880887,-0.8540168690871719,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0007,CLEAN_PCA3_TARGET,probe,10.0,241.7974588885372,-81.04223250964533,-80.95054968888599,CONCORDANT,-80.99639109926565,-81.1958889590316,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0008,CLEAN_PCA3_TARGET,probe,10.0,171.33855777774392,-44.703210488683546,-45.26852889750689,CONCORDANT,-44.98586969309522,-45.451565445777334,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0009,CLEAN_PCA3_TARGET,probe,40.0,227.44861456107634,-42.07391791960055,-41.73984288003055,CONCORDANT,-41.90688039981555,-42.40124745729976,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0010,CLEAN_PCA3_TARGET,probe,10.0,158.0043738088113,-60.80109683638095,-60.94523382925082,CONCORDANT,-60.87316533281589,-61.12531122657887,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0011,CLEAN_PCA3_TARGET,probe,5.0,170.38860990772633,-45.96078743677905,-46.38968201176964,CONCORDANT,-46.17523472427435,-46.4697771591883,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0012,CLEAN_PCA3_TARGET,probe,10.0,58.59772573741331,-35.59730868081133,-35.60536800320678,CONCORDANT,-35.60133834200906,-35.851911412080284,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0013,CLEAN_PCA3_TARGET,probe,40.0,195.8355730952958,-34.43132686912396,-34.20033816691525,CONCORDANT,-34.315832518019604,-34.66642770069916,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0014,CLEAN_PCA3_TARGET,probe,10.0,147.8554014500243,-66.65004655380538,-66.74771122600993,CONCORDANT,-66.69887888990766,-66.88169093426413,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0015,CLEAN_PCA3_TARGET,probe,40.0,239.11587802091657,-114.26445422917882,-114.12740553498936,CONCORDANT,-114.1959298820841,-114.51767079455794,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0016,CLEAN_PCA3_TARGET,probe,0.5,112.13173492413603,-40.00861501774178,-39.852270104008866,CONCORDANT,-39.93044256087532,-40.11969921883434,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0017,CLEAN_PCA3_TARGET,probe,10.0,150.15725549206644,-17.597931037902494,-17.630179311529478,CONCORDANT,-17.614055174715986,-17.667077471603662,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0018,CLEAN_PCA3_TARGET,probe,10.0,233.85033247853022,-31.51856776313218,-31.81795577731619,CONCORDANT,-31.668261770224184,-31.80577980024284,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0019,CLEAN_PCA3_TARGET,probe,10.0,179.10304523885102,-56.61075403692643,-56.91579508061639,CONCORDANT,-56.763274558771414,-57.45100434056144,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0020,CLEAN_PCA3_TARGET,probe,10.0,111.50570179295119,-79.036776124275,-79.41603123775778,CONCORDANT,-79.2264036810164,-79.89686318236997,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0021,CLEAN_PCA3_TARGET,probe,10.0,188.08555184726958,-45.284821963640326,-45.346197591418566,CONCORDANT,-45.31550977752944,-45.3607866806449,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0022,CLEAN_PCA3_TARGET,probe,10.0,50.4884304258247,-83.24763194946358,-83.30201375037328,CONCORDANT,-83.27482284991842,-83.44870604867737,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0023,CLEAN_PCA3_TARGET,probe,10.0,126.27831651330352,-46.350182858334406,-46.78222559321648,CONCORDANT,-46.566204225775444,-46.914881349248574,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0024,CLEAN_PCA3_TARGET,probe,0.5,228.42826054505375,-39.43281235867041,-39.26038682576065,CONCORDANT,-39.346599592215526,-39.42415945064246,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0025,CLEAN_PCA3_TARGET,probe,40.0,179.07001303436036,-116.01017595721025,-115.44593322290605,CONCORDANT,-115.72805459005815,-116.28755384796781,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0026,CLEAN_PCA3_TARGET,probe,20.0,147.7968848582636,-61.76861345137153,-62.272848294826545,CONCORDANT,-62.02073087309904,-62.43492770034932,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0027,CLEAN_PCA3_TARGET,probe,10.0,165.27013442050824,-70.48627358673575,-70.44269440903103,CONCORDANT,-70.46448399788339,-70.69129990330131,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0028,CLEAN_PCA3_TARGET,probe,5.0,200.23758116863556,-2.9836920974543277,-2.763679195994962,CONCORDANT,-2.8736856467246445,-2.952910505969613,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0029,CLEAN_PCA3_TARGET,probe,10.0,197.17168159600058,-365.57310267917876,-368.6844357459107,CONCORDANT,-367.12876921254474,-369.38149081929885,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0030,CLEAN_PCA3_TARGET,probe,40.0,218.7550761318167,-14.728313669830664,-14.670119873288142,CONCORDANT,-14.699216771559403,-14.843661677954575,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0031,CLEAN_PCA3_TARGET,probe,20.0,220.27958452686644,-52.05935184555197,-51.61030501000213,CONCORDANT,-51.834828427777055,-52.125736490938465,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0032,CLEAN_PCA3_TARGET,probe,20.0,95.68139472245343,-321.675061051704,-322.5392315795024,CONCORDANT,-322.10714631560325,-323.0562396471698,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0033,CLEAN_PCA3_TARGET,probe,20.0,242.0874351567746,-10.919611630856997,-11.000765842003462,CONCORDANT,-10.96018873643023,-11.131664147062283,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0034,CLEAN_PCA3_TARGET,probe,10.0,185.1775109665084,-53.71482702350354,-53.90390061528222,CONCORDANT,-53.80936381939288,-53.94529616905981,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0035,CLEAN_PCA3_TARGET,probe,10.0,176.44471760565426,-13.797509650812486,-13.906769451097315,CONCORDANT,-13.8521395509549,-13.864100323555432,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0036,CLEAN_PCA3_TARGET,probe,10.0,201.1452953169731,-33.928384618585106,-33.99466019696306,CONCORDANT,-33.96152240777408,-34.020145900040916,SUCCESS,False
SYN_PROBE_CLEAN_PCA3_TARGET_0037,CLEAN_PCA3_TARGET,probe,0.5,67.92849734686358,-70.99521650012767,-71.15336806277813,CONCORDANT,-71.0742922814529,-71.25391633340189,SUCCESS,False
