Relative_time,Resonance_Frequency
0,9972652.93
0.63,9972652.97
1.24,9972652.93
1.85,9972652.99
2.47,9972653.09
3.08,9972653.15
3.89,9972653.19
4.5,9972653.16
5.12,9972653.2
5.72,9972653.27
6.33,9972653.34
7.16,9972653.4
7.77,9972653.46
8.39,9972653.53
9.02,9972653.58
9.63,9972653.63
10.24,9972653.64
11.07,9972653.65
11.67,9972653.73
12.3,9972653.77
12.92,9972653.91
13.55,9972653.95
14.16,9972654.05
14.97,9972654.09
15.58,9972654.1
16.2,9972654.15
16.83,9972654.19
17.45,9972654.21
18.06,9972654.25
18.89,9972654.3
19.51,9972654.21
20.12,9972654.25
20.72,9972654.35
21.34,9972654.37
21.98,9972654.4
22.79,9972654.34
23.41,9972654.37
24.02,9972654.33
24.64,9972654.37
25.27,9972654.41
25.89,9972654.45
26.7,9972654.5
27.31,9972654.54
27.92,9972654.58
28.54,9972654.62
29.16,9972654.64
29.77,9972654.67
30.58,9972654.67
31.19,9972654.72
31.8,9972654.77
32.41,9972654.83
33.02,9972654.85
33.85,9972654.94
34.47,9972654.95
35.1,9972654.99
35.7,9972655.03
36.32,9972655.07
37.14,9972655.17
37.76,9972655.2
38.36,9972655.22
38.98,9972655.24
39.58,9972655.26
40.19,9972655.28
41,9972655.3
41.62,9972655.17
42.23,9972655.19
42.85,9972655.26
43.45,9972655.29
44.1,9972655.34
44.91,9972655.38
45.52,9972655.39
46.14,9972655.42
46.76,9972655.44
47.37,9972655.46
48.18,9972655.49
48.79,9972655.51
49.39,9972655.55
50.01,9972655.56
50.64,9972655.61
51.27,9972655.63
52.08,9972655.59
52.69,9972655.6
53.31,9972655.63
53.93,9972655.67
54.54,9972655.72
55.34,9972655.72
55.98,9972655.71
56.58,9972655.79
57.19,9972655.83
57.81,9972655.86
58.43,9972655.88
59.24,9972655.9
59.84,9972655.92
60.45,9972655.95
61.07,9972655.96
61.68,9972656.01
62.52,9972656.04
63.13,9972656.06
63.75,9972656.08
64.37,9972656.11
64.97,9972656.13
65.59,9972656.18
66.42,9972656.2
67.03,9972656.26
67.66,9972656.28
68.27,9972656.32
68.89,9972656.35
69.5,9972656.4
70.31,9972656.44
70.93,9972656.45
71.53,9972656.49
72.16,9972656.54
72.77,9972656.62
73.58,9972656.66
74.19,9972656.75
74.8,9972656.79
75.42,9972656.8
76.03,9972656.81
76.66,9972656.85
77.48,9972656.83
78.1,9972656.86
78.7,9972656.88
79.31,9972656.91
79.93,9972656.93
80.74,9972656.92
81.34,9972656.94
81.95,9972656.97
82.58,9972656.99
83.2,9972657.03
83.81,9972657.03
84.63,9972657.11
85.24,9972657.14
85.87,9972657.14
86.47,9972657.2
87.08,9972657.21
87.91,9972657.29
88.52,9972657.32
89.14,9972657.32
89.77,9972657.32
90.38,9972657.33
90.99,9972657.36
91.8,9972657.35
92.41,9972657.36
93.02,9972657.37
93.63,9972657.4
94.24,9972657.42
95.05,9972657.41
95.66,9972657.44
96.27,9972657.47
96.88,9972657.47
97.5,9972657.49
98.31,9972657.46
98.93,9972657.48
99.54,9972657.48
100.17,9972657.51
100.79,9972657.49
101.39,9972657.49
102.2,9972657.51
102.81,9972657.51
103.42,9972657.52
104.03,9972657.52
104.85,9972657.52
105.45,9972657.53
106.1,9972657.52
106.72,9972657.55
107.33,9972657.58
107.95,9972657.6
108.6,9972657.61
109.22,9972657.52
110.03,9972657.54
110.67,9972657.59
111.28,9972657.61
111.91,9972657.64
112.52,9972657.66
113.13,9972657.69
113.95,9972657.75
114.56,9972657.79
115.17,9972657.77
115.81,9972657.8
116.43,9972657.83
117.04,9972657.85
117.67,9972657.86
118.5,9972657.9
119.11,9972657.93
119.72,9972657.83
120.33,9972657.86
120.95,9972657.9
121.77,9972657.93
122.39,9972657.95
123.02,9972657.96
123.64,9972657.96
124.25,9972657.99
124.89,9972658
125.52,9972658
126.14,9972658.01
126.95,9972658.01
127.57,9972658.02
128.17,9972658.03
128.81,9972658.06
129.43,9972658.06
130.24,9972658.07
130.84,9972658.08
131.45,9972658.05
132.09,9972658.05
132.7,9972658.03
133.33,9972658.03
134.14,9972658.04
134.75,9972658.04
135.37,9972658.04
135.97,9972658.04
136.59,9972658.04
137.41,9972658.05
138.02,9972658.06
138.63,9972658.07
139.24,9972658.04
139.84,9972658.01
140.67,9972658.05
141.29,9972658.05
141.91,9972658.11
142.52,9972658.11
143.13,9972658.09
143.74,9972658.09
144.56,9972658.11
145.18,9972658.1
145.81,9972658.09
146.43,9972658.08
147.03,9972658.06
147.67,9972658.06
148.31,9972658.06
149.14,9972658.07
149.75,9972658.06
150.36,9972658.05
