Relative_time,Resonance_Frequency
0,9984710.89
0.81,9984710.91
1.42,9984710.92
2.03,9984710.93
2.64,9984710.95
3.26,9984710.94
4.07,9984710.97
4.68,9984710.98
5.29,9984710.98
5.91,9984710.98
6.51,9984710.98
7.32,9984710.98
7.93,9984710.98
8.54,9984710.98
9.16,9984710.98
9.97,9984710.99
10.59,9984710.99
11.2,9984711
11.81,9984711
12.42,9984711.01
13.02,9984711.01
13.84,9984711.02
14.45,9984711.02
15.06,9984711.02
15.66,9984711.02
16.48,9984711.02
17.09,9984711.02
17.7,9984711.02
18.31,9984711.03
18.92,9984711
19.75,9984711
20.37,9984710.99
20.98,9984711
21.61,9984711
22.22,9984711
22.85,9984711
23.66,9984711.01
24.26,9984711.01
24.87,9984711.02
25.49,9984711.02
26.11,9984711.02
26.92,9984711.02
27.54,9984711.02
28.16,9984711.02
28.77,9984711.02
29.37,9984711.03
30.19,9984711.03
30.81,9984711.04
31.42,9984711.04
32.03,9984711.05
32.64,9984711.05
33.45,9984711.02
34.06,9984711.02
35.17,9984711.02
35.3,9984711.02
35.91,9984711.02
36.54,9984711.02
37.34,9984711.02
37.95,9984711.02
38.58,9984711.02
39.21,9984711.02
39.79,9984711.02
40.62,9984711.02
41.21,9984711.03
41.82,9984711.03
42.44,9984711.01
43.04,9984711.04
43.87,9984711.03
44.48,9984711.04
45.09,9984711.04
45.69,9984711.04
46.31,9984711.04
47.12,9984711.04
47.74,9984711.05
48.35,9984711.05
48.96,9984711.06
49.57,9984711.06
50.4,9984711.04
51.01,9984711.03
51.62,9984711.07
52.24,9984711.08
52.85,9984711.08
53.46,9984711.08
54.28,9984711.08
54.9,9984711.09
55.51,9984711.09
56.12,9984711.06
56.74,9984711.06
57.56,9984711.06
58.16,9984711.06
58.78,9984711.03
59.4,9984711.02
60.01,9984711
60.82,9984711
61.44,9984710.98
62.06,9984710.91
62.66,9984710.88
63.27,9984710.87
63.9,9984710.88
64.71,9984710.88
65.32,9984710.85
65.93,9984710.84
66.54,9984710.82
67.15,9984710.8
67.96,9984710.79
68.57,9984710.8
69.19,9984710.8
69.81,9984710.8
70.41,9984710.8
71.26,9984710.8
71.87,9984710.8
72.48,9984710.8
73.09,9984710.8
73.7,9984710.81
74.51,9984710.8
75.12,9984710.79
75.73,9984710.76
76.34,9984710.73
76.95,9984710.73
77.76,9984710.71
78.39,9984710.71
78.99,9984710.73
79.6,9984710.73
80.21,9984710.67
81.02,9984710.67
81.64,9984710.66
82.24,9984710.66
82.87,9984710.68
83.48,9984710.65
84.29,9984710.65
84.9,9984710.63
85.51,9984710.63
86.12,9984710.61
86.73,9984710.57
87.55,9984710.57
88.17,9984710.55
88.77,9984710.55
89.39,9984710.56
90.01,9984710.57
90.62,9984710.56
91.43,9984710.58
92.04,9984710.61
92.66,9984710.63
93.27,9984710.63
93.9,9984710.64
94.71,9984710.69
95.32,9984710.72
95.93,9984710.72
96.55,9984710.73
97.18,9984710.72
97.8,9984710.74
98.43,9984710.76
99.24,9984710.79
99.85,9984710.8
100.46,9984710.8
101.07,9984710.8
101.89,9984710.81
102.49,9984710.81
103.1,9984710.82
103.71,9984710.82
104.32,9984710.82
105.14,9984710.83
105.76,9984710.83
106.37,9984710.84
106.98,9984710.84
107.58,9984710.86
108.21,9984710.86
109.02,9984710.89
109.64,9984710.89
110.24,9984710.9
110.85,9984710.9
111.46,9984710.92
112.27,9984710.92
112.89,9984710.95
113.49,9984710.95
114.1,9984710.96
114.71,9984710.98
115.52,9984710.98
116.15,9984711.02
116.75,9984711.02
117.35,9984711.05
118.17,9984711.06
118.78,9984711.11
119.4,9984711.14
120,9984711.16
120.6,9984711.2
121.42,9984711.19
122.03,9984711.17
122.65,9984711.19
123.25,9984711.22
123.86,9984711.24
124.69,9984711.23
125.3,9984711.25
125.91,9984711.28
126.52,9984711.3
127.13,9984711.29
127.94,9984711.3
128.55,9984711.31
129.16,9984711.31
129.79,9984711.32
130.4,9984711.33
131.21,9984711.36
131.81,9984711.35
132.43,9984711.37
133.03,9984711.41
133.65,9984711.4
134.46,9984711.38
135.06,9984711.38
135.67,9984711.38
136.28,9984711.39
136.9,9984711.39
137.71,9984711.36
138.31,9984711.36
138.94,9984711.38
139.55,9984711.38
140.17,9984711.37
140.79,9984711.37
141.6,9984711.38
142.21,9984711.38
142.81,9984711.39
143.44,9984711.39
144.05,9984711.33
144.86,9984711.33
145.47,9984711.35
146.07,9984711.36
146.69,9984711.37
147.29,9984711.36
148.11,9984711.36
148.72,9984711.34
149.33,9984711.35
149.94,9984711.34
150.75,9984711.3
151.36,9984711.28
151.97,9984711.28
152.58,9984711.27
153.19,9984711.26
153.81,9984711.27
154.63,9984711.28
155.24,9984711.27
155.84,9984711.26
156.46,9984711.26
157.27,9984711.28
157.88,9984711.25
