Relative_time,Resonance_Frequency
0,9984736.18
0.82,9984736.11
1.44,9984736.31
2.06,9984736.5
2.66,9984736.63
3.28,9984736.72
3.89,9984736.84
4.51,9984736.9
5.32,9984736.93
5.93,9984736.96
6.53,9984737.05
7.14,9984737.13
7.75,9984737.17
8.58,9984737.22
9.19,9984737.29
9.8,9984737.38
10.41,9984737.41
11.03,9984737.47
11.64,9984737.52
12.46,9984737.58
13.07,9984737.62
13.68,9984737.66
14.28,9984737.7
14.89,9984737.72
15.71,9984737.75
16.32,9984737.78
16.93,9984737.8
17.53,9984737.81
18.14,9984737.85
18.96,9984737.88
19.58,9984737.92
20.19,9984737.95
20.8,9984737.96
21.41,9984737.96
22.03,9984737.99
22.85,9984738.05
23.46,9984738.06
24.07,9984738.08
24.68,9984738.13
25.28,9984738.14
25.89,9984738.19
26.74,9984738.23
27.35,9984738.24
27.96,9984738.26
28.58,9984738.3
29.19,9984738.33
29.8,9984738.36
30.61,9984738.38
31.24,9984738.41
31.86,9984738.43
32.49,9984738.46
33.1,9984738.49
33.71,9984738.51
34.33,9984738.55
35.14,9984738.62
35.78,9984738.66
36.39,9984738.69
37.01,9984738.72
37.61,9984738.74
38.24,9984738.76
38.86,9984738.78
39.69,9984738.8
40.3,9984738.83
40.91,9984738.84
41.53,9984738.83
42.14,9984738.82
42.78,9984738.84
43.39,9984738.85
44.21,9984738.86
44.82,9984738.88
45.44,9984738.9
46.06,9984738.94
46.66,9984738.95
47.28,9984739
48.11,9984739.04
48.74,9984739.07
49.36,9984739.06
49.98,9984739.1
50.58,9984739.1
51.19,9984739.13
52,9984739.19
52.61,9984739.29
53.24,9984739.32
53.86,9984739.38
54.49,9984739.38
55.1,9984739.4
55.71,9984739.44
56.53,9984739.46
57.14,9984739.48
57.76,9984739.5
58.36,9984739.52
58.99,9984739.55
59.6,9984739.57
60.41,9984739.6
61.03,9984739.63
61.64,9984739.65
62.26,9984739.68
62.86,9984739.71
63.49,9984739.73
64.31,9984739.77
64.91,9984739.8
65.53,9984739.83
66.14,9984739.83
66.75,9984739.85
67.57,9984739.84
68.18,9984739.86
68.78,9984739.88
69.39,9984739.9
70.03,9984739.92
70.64,9984739.94
71.46,9984739.96
72.07,9984739.98
72.69,9984740
73.3,9984740.04
73.91,9984740.11
74.52,9984740.1
75.33,9984740.14
75.94,9984740.18
76.55,9984740.19
77.16,9984740.21
77.77,9984740.25
78.38,9984740.24
79.19,9984740.27
79.8,9984740.3
80.41,9984740.3
81.02,9984740.32
81.63,9984740.34
82.44,9984740.35
83.05,9984740.39
83.66,9984740.41
84.27,9984740.41
84.88,9984740.32
85.69,9984740.35
86.3,9984740.34
86.91,9984740.37
87.52,9984740.37
88.13,9984740.39
88.94,9984740.39
89.56,9984740.41
90.16,9984740.41
90.77,9984740.43
91.38,9984740.46
91.99,9984740.49
92.8,9984740.51
93.41,9984740.51
94.02,9984740.54
94.63,9984740.57
95.24,9984740.57
96.08,9984740.59
96.69,9984740.58
97.3,9984740.61
97.91,9984740.63
98.52,9984740.67
99.13,9984740.69
99.94,9984740.73
100.55,9984740.82
101.16,9984740.86
101.78,9984740.92
102.39,9984740.96
103.01,9984741
103.81,9984741.04
104.43,9984741.09
105.04,9984741.13
105.65,9984741.16
106.25,9984741.12
107.08,9984741.18
107.67,9984741.22
108.3,9984741.22
108.9,9984741.25
109.51,9984741.29
110.33,9984741.35
110.94,9984741.35
111.56,9984741.39
112.16,9984741.39
112.79,9984741.42
113.4,9984741.41
114.03,9984741.46
114.83,9984741.47
115.45,9984741.49
116.06,9984741.49
116.66,9984741.5
117.29,9984741.52
118.1,9984741.52
118.71,9984741.56
119.31,9984741.59
119.93,9984741.6
120.54,9984741.61
121.35,9984741.64
121.96,9984741.69
122.58,9984741.73
123.19,9984741.76
123.82,9984741.82
124.43,9984741.82
125.24,9984741.86
125.86,9984741.86
126.47,9984741.85
127.08,9984741.87
127.69,9984741.87
128.31,9984741.9
129.11,9984741.93
129.74,9984741.93
130.36,9984741.95
130.99,9984741.95
131.6,9984741.95
132.21,9984741.95
132.83,9984741.85
133.64,9984741.84
134.26,9984741.83
134.86,9984741.81
135.49,9984741.81
136.11,9984741.79
136.72,9984741.79
137.54,9984741.8
138.14,9984741.81
138.76,9984741.78
139.36,9984741.81
139.98,9984741.82
140.8,9984741.86
141.4,9984741.88
142.01,9984741.89
142.61,9984741.8
143.24,9984741.82
143.85,9984741.85
144.66,9984741.87
145.28,9984741.87
145.88,9984741.89
146.5,9984741.89
147.11,9984741.91
147.74,9984741.9
148.55,9984741.93
149.16,9984741.92
149.79,9984741.91
150.4,9984741.9
151.01,9984741.9
151.61,9984741.87
152.44,9984741.89
153.05,9984741.89
