Relative_time,Resonance_Frequency
0,9999946.99
0.56,9999947.17
1.17,9999947.37
2,9999947.7
2.61,9999947.6
3.22,9999947.61
3.83,9999947.58
4.44,9999947.56
5.25,9999947.57
5.86,9999947.22
6.47,9999947.28
7.08,9999947.12
7.69,9999947.05
8.5,9999947.06
9.11,9999947.13
9.72,9999947.16
10.33,9999947.2
10.94,9999947.22
11.75,9999947.09
12.36,9999946.89
12.97,9999946.87
13.58,9999946.89
14.19,9999946.93
15,9999946.89
15.61,9999946.79
16.22,9999946.8
16.83,9999946.25
17.44,9999946.25
18.25,9999946.31
18.86,9999946.35
19.47,9999946.47
20.08,9999946.39
20.89,9999946.37
21.5,9999946.39
22.11,9999946.47
22.72,9999946.59
23.33,9999946.47
24.14,9999946.77
24.75,9999946.79
25.36,9999946.79
25.97,9999946.38
26.58,9999946.36
27.39,9999946.44
28,9999946.51
28.61,9999946.54
29.22,9999946.62
29.83,9999946.81
30.64,9999946.71
31.25,9999946.75
31.86,9999946.87
32.47,9999947.02
33.08,9999946.65
33.89,9999946.62
34.5,9999946.58
35.11,9999946.64
35.72,9999946.73
36.33,9999946.43
37.14,9999946.61
37.75,9999946.64
38.36,9999946.67
38.97,9999946.61
39.59,9999946.83
40.41,9999947.15
41.01,9999946.91
41.63,9999946.89
42.23,9999947.08
42.85,9999946.77
43.66,9999946.88
44.26,9999947.02
44.88,9999947.09
45.48,9999947.13
46.1,9999947.11
46.91,9999947.06
47.51,9999947.01
48.13,9999947.15
48.73,9999946.95
49.55,9999947.27
50.16,9999947.2
50.76,9999947.15
51.38,9999947.24
52,9999947.07
52.61,9999947.01
53.42,9999947.17
54.03,9999947.01
54.64,9999946.97
55.25,9999946.93
56.07,9999947.03
56.67,9999947.02
57.28,9999947.21
57.89,9999947.05
58.5,9999947.39
59.32,9999947.19
59.92,9999947.2
60.53,9999947.3
61.14,9999947.16
61.75,9999946.93
62.56,9999946.67
63.17,9999946.61
63.78,9999946.59
64.4,9999946.57
65.01,9999946.58
65.83,9999946.75
66.44,9999946.57
67.07,9999946.53
67.67,9999946.53
68.28,9999946.55
68.9,9999946.68
69.72,9999946.63
70.34,9999946.62
70.95,9999946.79
71.57,9999946.67
72.17,9999946.79
73,9999946.75
73.61,9999946.97
74.22,9999947.07
74.84,9999947.03
75.45,9999947.11
76.07,9999947.1
76.88,9999947.27
77.48,9999947.24
78.1,9999947.35
78.7,9999947.27
79.32,9999947.26
80.13,9999947.33
80.75,9999947.35
81.36,9999947.45
81.98,9999947.38
82.59,9999947.46
83.41,9999947.47
84.01,9999947.43
84.63,9999947.53
85.23,9999947.57
85.85,9999947.49
86.66,9999947.61
87.26,9999947.45
87.88,9999947.43
88.48,9999947.45
89.1,9999947.56
89.9,9999947.44
90.51,9999947.53
91.13,9999947.43
91.73,9999947.44
92.34,9999947.53
93.15,9999947.48
93.77,9999947.52
94.37,9999947.83
94.98,9999948.02
95.8,9999947.81
96.4,9999947.87
97.02,9999947.95
97.62,9999947.91
98.23,9999947.81
99.05,9999947.85
99.66,9999947.43
100.26,9999947.41
100.88,9999947.42
101.48,9999947.29
102.3,9999947.39
102.91,9999947.54
103.51,9999947.38
104.12,9999947.5
104.73,9999947.6
