Relative_time,Resonance_Frequency
0,9993813.99
0.82,9993814.01
1.43,9993814.08
2.03,9993814.2
2.64,9993814.28
3.25,9993814.27
4.07,9993814.3
4.67,9993814.33
5.28,9993814.37
5.9,9993814.43
6.5,9993814.44
7.33,9993814.47
7.94,9993814.47
8.55,9993814.45
9.16,9993814.46
9.78,9993814.48
10.6,9993814.41
11.22,9993814.4
11.83,9993814.38
12.44,9993814.36
13.05,9993814.34
13.87,9993814.36
14.49,9993814.39
15.1,9993814.39
15.71,9993814.42
16.32,9993814.42
16.93,9993814.34
17.74,9993814.35
18.35,9993814.36
18.96,9993814.39
19.58,9993814.39
20.19,9993814.3
21,9993814.34
21.63,9993814.38
22.24,9993814.38
22.85,9993814.32
23.46,9993814.41
24.28,9993814.43
24.9,9993814.29
25.5,9993814.31
26.12,9993814.27
26.74,9993814.26
27.35,9993814.24
28.15,9993814.24
28.77,9993814.22
29.37,9993814.21
30.02,9993814.23
30.63,9993814.25
31.44,9993814.28
32.05,9993814.27
32.66,9993814.29
33.27,9993814.29
33.87,9993814.31
34.69,9993814.33
35.3,9993814.38
35.91,9993814.43
36.52,9993814.46
37.13,9993814.4
37.94,9993814.29
38.55,9993814.21
39.16,9993814.19
39.78,9993814.19
40.39,9993814.19
41.21,9993814.24
41.83,9993814.26
42.44,9993814.24
43.05,9993814.34
43.67,9993814.43
44.47,9993814.44
45.08,9993814.49
45.69,9993814.41
46.3,9993814.45
46.91,9993814.47
47.72,9993814.51
48.33,9993814.53
49.16,9993814.59
49.56,9993814.61
50.17,9993814.64
51,9993814.65
51.63,9993814.65
52.24,9993814.66
52.85,9993814.67
53.46,9993814.68
54.27,9993814.69
54.88,9993814.91
55.51,9993814.93
56.1,9993815
56.71,9993815.01
57.52,9993815.04
58.12,9993815.03
58.74,9993814.95
59.34,9993814.99
60.11,9993814.99
60.77,9993814.99
61.38,9993815.03
61.99,9993815.07
62.6,9993814.99
63.2,9993815.02
64.02,9993814.98
64.63,9993814.97
65.24,9993814.91
65.85,9993814.89
66.46,9993814.84
67.27,9993814.79
67.88,9993814.76
68.49,9993814.74
69.1,9993814.73
69.91,9993814.79
70.52,9993814.89
71.13,9993814.96
71.74,9993815.01
72.35,9993815.03
73.16,9993815.02
73.77,9993815.02
74.38,9993815.05
74.99,9993815.07
75.61,9993815.13
76.43,9993815.09
77.03,9993815.12
77.65,9993815.15
78.27,9993815.19
78.88,9993815.19
79.49,9993815.19
80.31,9993815.23
80.93,9993815.23
81.53,9993815.18
82.15,9993815.18
82.75,9993815.19
83.56,9993815.19
84.17,9993815.21
84.79,9993815.22
85.41,9993815.19
86.02,9993815.31
86.83,9993815.31
87.45,9993814.93
88.07,9993814.91
88.67,9993814.91
89.29,9993814.92
90.11,9993814.95
90.72,9993814.95
91.33,9993815.03
91.95,9993815.03
92.57,9993815.07
93.17,9993815.06
94,9993815.05
94.61,9993815.01
95.22,9993814.99
95.83,9993814.9
96.45,9993814.87
97.27,9993814.83
97.88,9993814.82
98.5,9993814.81
99.11,9993814.78
99.72,9993814.79
100.54,9993814.83
101.16,9993814.8
101.77,9993814.8
102.38,9993814.79
103.17,9993814.79
103.8,9993814.77
104.41,9993814.76
105.04,9993814.75
105.65,9993814.7
106.25,9993814.69
