Relative_time,Resonance_Frequency
0,9983656.97
0.61,9983656.93
1.23,9983656.91
1.86,9983656.86
2.48,9983656.91
3.1,9983656.96
3.73,9983656.98
4.36,9983656.98
5.2,9983657.03
5.83,9983657.07
6.45,9983657.07
7.09,9983657.12
7.74,9983657.13
8.35,9983657.15
8.96,9983657.11
9.56,9983657.13
10.2,9983657.09
11.02,9983657.09
11.62,9983657.12
12.24,9983657.15
12.85,9983657.12
13.48,9983657.13
14.12,9983657.09
14.73,9983657.11
15.55,9983657.08
16.17,9983657.08
16.8,9983657.11
17.42,9983657.15
18.06,9983657.09
18.68,9983657.13
19.28,9983657.19
20.1,9983657.24
20.71,9983657.26
21.33,9983657.29
21.94,9983657.3
22.55,9983657.37
23.17,9983657.4
23.98,9983657.47
24.6,9983657.52
25.24,9983657.5
25.86,9983657.51
26.47,9983657.53
27.1,9983657.51
27.73,9983657.48
28.34,9983657.52
29.15,9983657.53
29.75,9983657.52
30.38,9983657.52
31,9983657.48
31.63,9983657.51
32.26,9983657.49
32.87,9983657.54
33.68,9983657.6
34.31,9983657.64
34.91,9983657.59
35.52,9983657.61
36.13,9983657.63
36.95,9983657.6
37.58,9983657.57
38.2,9983657.54
38.82,9983657.61
39.44,9983657.57
40.07,9983657.63
40.69,9983657.67
41.31,9983657.73
42.13,9983657.75
42.74,9983657.81
43.34,9983657.79
43.98,9983657.79
44.64,9983657.77
45.25,9983657.71
45.86,9983657.67
46.67,9983657.72
47.28,9983657.79
47.89,9983657.84
48.5,9983657.87
49.11,9983657.87
49.72,9983657.89
50.54,9983657.95
51.17,9983657.96
51.8,9983657.91
52.41,9983657.91
53.02,9983657.93
53.63,9983657.93
54.44,9983657.95
55.04,9983657.94
55.65,9983657.97
56.26,9983657.92
56.87,9983657.91
57.49,9983657.91
58.32,9983657.89
58.94,9983657.91
59.56,9983657.98
60.2,9983658
60.82,9983658.02
61.44,9983658.02
62.06,9983658.07
62.7,9983658.11
63.34,9983658.09
63.98,9983658.08
64.83,9983658.08
65.43,9983658.1
66.06,9983658.09
66.68,9983658.06
67.31,9983658.1
67.92,9983658.14
68.56,9983658.09
69.19,9983658.11
69.81,9983658.13
70.64,9983658.11
71.25,9983658.11
71.87,9983658.16
72.49,9983658.16
73.09,9983658.13
73.71,9983658.04
74.34,9983658.03
75.18,9983657.99
75.81,9983657.96
76.44,9983657.97
77.08,9983657.96
77.72,9983658.03
78.33,9983658.07
78.97,9983658.05
79.62,9983658.05
80.25,9983658.01
80.87,9983657.99
81.51,9983657.93
82.15,9983657.91
82.79,9983657.86
83.44,9983657.84
84.06,9983657.81
84.88,9983657.77
85.48,9983657.71
86.11,9983657.7
86.73,9983657.68
87.36,9983657.68
87.98,9983657.61
88.61,9983657.65
89.44,9983657.62
90.06,9983657.68
90.7,9983657.7
91.31,9983657.69
91.95,9983657.67
92.59,9983657.69
93.22,9983657.62
93.84,9983657.64
94.48,9983657.61
95.11,9983657.54
95.74,9983657.53
96.55,9983657.56
97.17,9983657.51
97.79,9983657.51
98.44,9983657.49
99.06,9983657.46
99.7,9983657.42
100.33,9983657.37
100.96,9983657.36
101.57,9983657.41
102.39,9983657.43
103.01,9983657.46
103.62,9983657.41
104.26,9983657.4
104.91,9983657.32
105.54,9983657.32
106.16,9983657.31
106.77,9983657.31
107.59,9983657.35
108.22,9983657.33
108.83,9983657.35
109.48,9983657.33
110.1,9983657.34
110.73,9983657.29
111.36,9983657.3
111.98,9983657.29
112.62,9983657.31
113.24,9983657.31
113.86,9983657.35
114.68,9983657.3
115.29,9983657.35
115.92,9983657.3
116.54,9983657.36
117.2,9983657.4
117.83,9983657.4
118.45,9983657.4
119.08,9983657.41
119.69,9983657.33
120.53,9983657.36
121.15,9983657.38
121.77,9983657.38
122.39,9983657.38
123.01,9983657.4
123.64,9983657.32
124.27,9983657.31
124.91,9983657.31
125.73,9983657.37
126.36,9983657.36
126.97,9983657.41
127.6,9983657.47
128.22,9983657.52
128.84,9983657.41
129.45,9983657.45
130.07,9983657.46
130.9,9983657.48
131.54,9983657.45
132.16,9983657.43
132.78,9983657.4
133.4,9983657.36
134.05,9983657.32
134.66,9983657.29
135.28,9983657.26
135.91,9983657.25
136.72,9983657.25
137.34,9983657.32
137.96,9983657.32
138.58,9983657.36
139.2,9983657.37
139.81,9983657.38
140.44,9983657.41
141.26,9983657.3
141.9,9983657.31
142.52,9983657.33
143.14,9983657.36
143.77,9983657.36
144.41,9983657.36
145.03,9983657.36
145.64,9983657.37
146.27,9983657.38
146.92,9983657.42
147.75,9983657.39
148.37,9983657.42
149,9983657.34
149.62,9983657.34
150.24,9983657.36
150.85,9983657.38
151.48,9983657.38
152.12,9983657.42
152.76,9983657.34
153.58,9983657.34
154.21,9983657.37
154.84,9983657.39
155.47,9983657.35
156.08,9983657.41
156.69,9983657.39
157.29,9983657.39
157.92,9983657.39
158.76,9983657.4
159.39,9983657.4
160,9983657.42
160.61,9983657.42
161.23,9983657.46
161.87,9983657.47
162.5,9983657.47
163.11,9983657.45
163.76,9983657.51
164.4,9983657.59
165.26,9983657.59
165.9,9983657.63
166.53,9983657.66
167.15,9983657.67
167.77,9983657.67
168.37,9983657.67
169,9983657.61
169.62,9983657.59
170.44,9983657.5
171.05,9983657.49
171.68,9983657.52
172.29,9983657.51
172.91,9983657.51
173.53,9983657.56
174.14,9983657.56
174.97,9983657.56
175.58,9983657.56
176.2,9983657.53
176.82,9983657.53
177.44,9983657.46
178.05,9983657.46
178.67,9983657.48
179.31,9983657.45
180.14,9983657.47
180.77,9983657.4
181.37,9983657.44
181.98,9983657.46
