Relative_time,Resonance_Frequency
0,9983646.02
0.63,9983646.09
1.25,9983646.08
1.87,9983646.11
2.49,9983646.14
3.11,9983646.16
3.75,9983646.15
4.56,9983646.17
5.18,9983646.2
5.81,9983646.22
6.45,9983646.22
7.09,9983646.24
7.71,9983646.28
8.36,9983646.3
8.98,9983646.29
9.59,9983646.3
10.24,9983646.3
11.06,9983646.31
11.71,9983646.34
12.34,9983646.35
12.96,9983646.37
13.56,9983646.42
14.17,9983646.44
14.8,9983646.43
15.42,9983646.46
16.06,9983646.48
16.88,9983646.45
17.5,9983646.46
18.11,9983646.46
18.72,9983646.48
19.38,9983646.51
20.02,9983646.53
20.64,9983646.52
21.26,9983646.54
22.07,9983646.56
22.68,9983646.58
23.29,9983646.6
23.9,9983646.63
24.51,9983646.65
25.13,9983646.68
25.97,9983646.7
26.59,9983646.72
27.22,9983646.74
27.84,9983646.78
28.44,9983646.8
29.06,9983646.8
29.69,9983646.82
30.51,9983646.85
31.11,9983646.86
31.73,9983646.86
32.33,9983646.81
32.97,9983646.8
33.59,9983646.81
34.22,9983646.83
35.03,9983646.84
35.64,9983646.86
36.25,9983646.9
36.86,9983646.89
37.47,9983646.91
38.28,9983646.91
38.9,9983646.93
39.52,9983646.96
40.12,9983646.96
40.76,9983646.96
41.41,9983646.99
42.05,9983647.02
42.67,9983647.04
43.29,9983647.05
43.92,9983647.05
44.75,9983647.06
45.36,9983647.07
45.97,9983647.08
46.58,9983647.09
47.21,9983647.1
47.84,9983647.11
48.45,9983647.11
49.27,9983647.12
49.89,9983647.12
50.5,9983647.12
51.11,9983647.13
51.73,9983647.13
52.36,9983647.15
53.19,9983647.15
53.8,9983647.16
54.42,9983647.16
55.04,9983647.17
55.65,9983647.17
56.26,9983647.14
56.88,9983647.14
57.73,9983647.14
58.37,9983647.14
58.99,9983647.16
59.62,9983647.16
60.24,9983647.14
60.87,9983647.14
61.49,9983647.14
62.1,9983647.15
62.71,9983647.15
63.52,9983647.17
64.13,9983647.17
64.76,9983647.21
65.36,9983647.23
65.98,9983647.24
66.8,9983647.22
67.45,9983647.22
68.08,9983647.21
68.7,9983647.18
69.34,9983647.18
69.99,9983647.19
70.61,9983647.18
71.23,9983647.18
71.83,9983647.18
72.45,9983647.18
73.29,9983647.19
73.89,9983647.16
74.51,9983647.17
75.12,9983647.17
75.74,9983647.18
76.34,9983647.19
77.16,9983647.19
77.79,9983647.16
78.42,9983647.16
79.05,9983647.16
79.67,9983647.16
80.29,9983647.16
80.9,9983647.16
81.51,9983647.08
82.33,9983647.09
82.96,9983647.11
83.56,9983647.09
84.18,9983647.09
84.78,9983646.98
85.39,9983646.95
86.21,9983646.95
86.82,9983646.88
87.44,9983646.88
88.05,9983646.87
88.68,9983646.87
89.29,9983646.88
90.11,9983646.89
90.73,9983646.9
91.33,9983646.87
91.96,9983646.88
92.57,9983646.88
93.19,9983646.89
93.82,9983646.89
94.65,9983646.86
95.25,9983646.86
95.87,9983646.86
96.49,9983646.86
97.12,9983646.87
97.74,9983646.87
98.35,9983646.84
99.16,9983646.84
99.79,9983646.85
100.42,9983646.85
101.04,9983646.86
101.65,9983646.86
102.26,9983646.87
103.06,9983646.87
103.67,9983646.86
104.29,9983646.84
104.9,9983646.85
105.51,9983646.86
106.33,9983646.88
106.95,9983646.85
107.58,9983646.86
108.19,9983646.86
108.8,9983646.87
109.44,9983646.87
110.05,9983646.88
110.87,9983646.88
111.47,9983646.88
112.08,9983646.88
112.71,9983646.9
113.34,9983646.9
113.95,9983646.95
114.56,9983646.98
115.4,9983647
116.01,9983647.04
116.62,9983647.05
117.24,9983647.13
117.86,9983647.17
118.47,9983647.19
119.29,9983647.27
119.91,9983647.29
120.52,9983647.27
121.12,9983647.29
121.76,9983647.3
122.37,9983647.31
122.98,9983647.29
123.81,9983647.33
124.44,9983647.35
125.04,9983647.38
125.66,9983647.4
126.26,9983647.42
126.88,9983647.44
127.71,9983647.46
128.32,9983647.49
128.92,9983647.51
129.56,9983647.54
130.2,9983647.56
130.83,9983647.6
131.45,9983647.62
132.07,9983647.62
132.89,9983647.65
133.5,9983647.62
134.12,9983647.65
134.73,9983647.7
135.33,9983647.69
135.95,9983647.74
136.76,9983647.76
137.39,9983647.77
138.01,9983647.76
138.61,9983647.75
139.25,9983647.78
139.86,9983647.82
140.49,9983647.84
141.3,9983647.85
141.9,9983647.87
142.53,9983647.9
143.14,9983647.93
143.76,9983647.95
144.38,9983647.98
145.21,9983648.01
145.82,9983648.03
