Relative_time,Resonance_Frequency
0,9986459.47
0.61,9986459.46
1.22,9986459.43
1.83,9986459.4
2.64,9986459.33
3.25,9986459.34
3.86,9986459.33
4.47,9986459.33
5.08,9986459.35
5.89,9986459.43
6.5,9986459.46
7.11,9986459.45
7.72,9986459.38
8.33,9986459.32
9.14,9986459.27
9.75,9986459.25
10.36,9986459.22
10.97,9986459.2
11.58,9986459.17
12.39,9986459.17
13,9986459.12
13.61,9986459.12
14.22,9986459.1
15.03,9986459.08
15.64,9986459.07
16.25,9986459.05
16.86,9986459.01
17.47,9986458.95
18.28,9986458.97
18.89,9986458.95
19.5,9986458.97
20.11,9986458.99
20.72,9986458.96
21.55,9986459.03
22.16,9986459.01
22.77,9986458.98
23.38,9986458.96
23.98,9986458.94
24.8,9986458.89
25.41,9986458.87
26.01,9986458.86
26.63,9986458.84
27.23,9986458.9
28.05,9986459.01
28.66,9986459
29.26,9986459
29.88,9986459
30.48,9986459
31.3,9986458.99
31.91,9986458.94
32.51,9986458.89
33.13,9986458.89
33.73,9986458.91
34.55,9986458.91
35.16,9986458.93
35.77,9986458.91
36.38,9986458.96
37.19,9986458.91
37.8,9986458.85
38.41,9986458.79
39.01,9986458.77
39.63,9986458.77
40.44,9986458.81
41.05,9986458.81
41.66,9986458.84
42.26,9986458.82
42.88,9986458.83
43.5,9986458.81
44.32,9986458.81
44.92,9986458.89
45.53,9986458.91
46.14,9986458.98
46.75,9986459
47.57,9986459.03
48.17,9986459.03
48.78,9986459.05
49.39,9986459.18
50.2,9986459.26
50.82,9986459.13
51.42,9986459.23
52.03,9986459.29
52.64,9986459.06
53.45,9986459.11
54.07,9986459.08
54.67,9986459.1
55.28,9986459.12
55.89,9986459.17
56.7,9986459.17
57.32,9986459.2
57.92,9986459.21
58.55,9986459.25
59.16,9986459.24
59.97,9986459.17
60.58,9986459.08
61.19,9986459.05
61.8,9986459.08
62.41,9986459.11
63.22,9986459.11
63.83,9986459.17
64.44,9986459.19
65.05,9986459.24
65.66,9986459.27
66.47,9986459.28
67.08,9986459.29
67.69,9986459.29
68.3,9986459.27
68.91,9986459.32
69.72,9986459.35
70.34,9986459.41
70.95,9986459.41
71.57,9986459.42
72.17,9986459.43
72.98,9986459.44
73.6,9986459.46
74.2,9986459.46
74.82,9986459.48
75.42,9986459.5
76.23,9986459.57
76.85,9986459.6
77.45,9986459.41
78.07,9986459.42
78.67,9986459.44
79.48,9986459.47
80.1,9986459.44
80.7,9986459.49
81.32,9986459.48
81.92,9986459.48
82.73,9986459.34
83.35,9986459.4
83.97,9986459.06
84.58,9986458.96
85.19,9986459.03
86,9986459.02
86.61,9986459.01
87.22,9986459.05
87.83,9986459.08
88.44,9986459.01
89.25,9986459.05
89.86,9986459.07
90.47,9986459.07
91.08,9986459.15
91.69,9986459.18
92.5,9986459.21
93.11,9986459.21
93.72,9986459.23
94.33,9986459.25
95.14,9986459.24
95.75,9986459.23
96.36,9986459.21
96.97,9986459.21
97.58,9986459.22
98.39,9986459.29
99.01,9986459.29
99.63,9986459.33
100.25,9986459.35
100.86,9986459.33
101.47,9986459.21
102.28,9986459.19
102.89,9986459.14
103.5,9986459.11
104.11,9986459.11
104.72,9986459.09
105.53,9986459.05
106.14,9986459.07
106.76,9986459.07
107.38,9986459.05
107.98,9986459.06
108.8,9986459.07
109.41,9986459.04
110.01,9986459.05
110.63,9986459.07
111.23,9986459.13
112.05,9986459.12
112.66,9986459.16
113.26,9986459.16
113.88,9986459.17
114.48,9986459.15
115.3,9986459.21
115.91,9986459.03
116.51,9986459.21
117.13,9986459.24
117.94,9986459.29
118.55,9986459.34
119.16,9986459.33
119.77,9986459.33
120.38,9986459.3
121.19,9986459.3
121.8,9986459.31
122.41,9986459.35
123.02,9986459.36
123.63,9986459.24
124.44,9986459.23
125.05,9986459.29
125.66,9986459.23
126.27,9986459.33
126.88,9986459.33
127.69,9986459.37
128.3,9986459.37
128.91,9986459.34
129.51,9986459.37
130.13,9986459.37
130.94,9986459.24
131.55,9986459.24
132.16,9986459.24
132.77,9986459.25
133.38,9986459.25
134.19,9986459.26
134.8,9986459.28
135.41,9986459.27
136.01,9986459.31
136.63,9986459.37
137.44,9986459.41
138.05,9986459.43
138.66,9986459.69
139.26,9986459.85
139.88,9986460.08
140.69,9986460.21
141.3,9986460.2
