Relative_time,Resonance_Frequency
0,9986458.23
0.61,9986458.07
1.42,9986458.08
2.03,9986458.08
2.64,9986458.05
3.25,9986458.11
4.06,9986458.11
4.67,9986458.14
5.28,9986458.1
5.89,9986458.07
6.5,9986458.11
7.31,9986458.13
7.92,9986458.17
8.54,9986458.19
9.15,9986458
9.76,9986458.01
10.58,9986458.09
11.2,9986458.09
11.81,9986458.19
12.42,9986458.19
13.03,9986458.23
13.64,9986458.22
14.45,9986458.31
15.07,9986458.33
15.69,9986458.39
16.29,9986458.39
16.91,9986458.33
17.73,9986458.33
18.34,9986458.39
18.95,9986458.39
19.57,9986458.28
20.2,9986458.31
20.82,9986458.35
21.64,9986458.35
22.25,9986458.24
22.86,9986458.33
23.47,9986458.32
24.09,9986458.37
24.91,9986458.4
25.53,9986458.43
26.14,9986458.45
26.75,9986458.51
27.37,9986458.53
27.98,9986458.65
28.8,9986458.64
29.43,9986458.75
30.05,9986458.79
30.66,9986458.8
31.28,9986458.8
31.89,9986458.82
32.7,9986458.72
33.31,9986458.7
33.92,9986458.71
34.53,9986458.73
35.14,9986458.77
35.95,9986458.67
36.57,9986458.67
37.19,9986458.67
37.8,9986458.77
38.41,9986458.77
39.23,9986458.8
39.84,9986458.81
40.45,9986458.82
41.07,9986458.83
41.69,9986458.87
42.5,9986458.87
43.12,9986458.77
43.74,9986458.77
44.34,9986458.64
44.95,9986458.67
45.56,9986458.7
46.39,9986458.79
47,9986458.66
47.62,9986458.71
48.23,9986458.75
48.84,9986458.77
49.66,9986458.73
50.28,9986458.75
50.89,9986458.8
51.5,9986458.89
52.1,9986458.96
52.72,9986459.07
53.53,9986459.05
54.14,9986459.13
54.75,9986459.16
55.35,9986459.02
56.18,9986459.04
56.8,9986459.05
57.41,9986459.05
58.01,9986459.11
58.62,9986459.13
59.23,9986459.03
60.04,9986459.04
60.66,9986458.92
61.26,9986459
61.88,9986458.89
62.69,9986458.93
63.29,9986458.96
63.91,9986458.99
64.51,9986458.96
65.12,9986458.97
65.74,9986459.03
66.56,9986459.06
67.17,9986459.08
67.78,9986459.11
68.39,9986459.13
69,9986459.19
69.81,9986459.23
70.42,9986459.11
71.03,9986459.2
71.64,9986459.22
72.26,9986459.24
73.09,9986459.26
73.7,9986459.28
74.31,9986459.31
74.92,9986459.33
75.53,9986459.36
76.34,9986459.41
76.95,9986459.51
77.56,9986459.64
78.17,9986459.63
78.79,9986459.61
79.61,9986459.79
80.22,9986459.77
80.84,9986459.87
81.45,9986459.87
82.06,9986459.75
82.87,9986459.87
83.48,9986459.87
84.09,9986459.88
84.7,9986459.99
85.31,9986459.85
86.12,9986459.98
86.73,9986460.12
87.34,9986460.09
87.95,9986460.21
88.56,9986460.26
89.39,9986460.31
90,9986460.31
90.6,9986460.34
91.22,9986460.36
91.82,9986460.46
92.64,9986460.49
93.26,9986460.56
93.87,9986460.45
94.49,9986460.55
95.1,9986460.57
95.72,9986460.67
96.53,9986460.7
97.14,9986460.73
97.75,9986460.75
98.35,9986460.75
98.97,9986460.84
99.79,9986460.87
100.41,9986460.89
101.01,9986460.91
101.64,9986460.97
102.26,9986461.11
102.88,9986461.07
103.69,9986461
104.29,9986461
104.91,9986461
105.51,9986461.02
106.32,9986461.05
106.95,9986461.04
107.56,9986461.04
108.17,9986461.07
108.79,9986461.02
109.41,9986460.95
110.22,9986460.86
110.82,9986460.83
111.44,9986460.77
112.06,9986460.61
112.68,9986460.63
113.29,9986460.72
114.1,9986460.81
114.72,9986460.81
115.32,9986460.75
115.94,9986460.79
116.55,9986460.72
117.35,9986460.68
117.97,9986460.67
118.57,9986460.59
119.2,9986460.51
119.81,9986460.53
120.62,9986460.42
121.23,9986460.44
121.85,9986460.44
122.47,9986460.51
123.09,9986460.59
123.91,9986460.6
124.51,9986460.51
125.12,9986460.53
125.73,9986460.6
126.34,9986460.62
127.16,9986460.59
127.76,9986460.6
128.37,9986460.51
128.98,9986460.52
129.59,9986460.63
130.41,9986460.69
131.01,9986460.73
131.64,9986460.61
132.25,9986460.61
132.85,9986460.69
133.67,9986460.67
134.28,9986460.65
134.89,9986460.53
135.5,9986460.56
136.1,9986460.59
136.92,9986460.62
137.53,9986460.65
138.14,9986460.73
138.75,9986460.88
139.35,9986460.87
140.18,9986460.95
140.8,9986460.99
141.41,9986461.04
142.01,9986461.09
142.62,9986461.12
143.44,9986461.15
144.06,9986461.17
144.67,9986461.23
145.28,9986461.22
145.89,9986461.19
146.7,9986461.15
147.31,9986461.21
147.92,9986461.21
148.53,9986461.09
149.14,9986461.12
149.95,9986461.11
150.56,9986461.13
151.17,9986461.13
151.78,9986461.21
152.39,9986461.24
153.2,9986461.29
153.82,9986461.31
154.45,9986461.38
155.06,9986461.45
155.67,9986461.39
156.28,9986461.51
157.09,9986461.56
157.7,9986461.61
158.31,9986461.48
158.92,9986461.5
159.53,9986461.5
160.34,9986461.54
160.95,9986461.61
