Relative_time,Resonance_Frequency
0,9976105.68
0.82,9976105.7
1.42,9976105.69
2.03,9976105.71
2.64,9976105.76
3.25,9976105.79
3.98,9976105.79
4.68,9976105.81
5.29,9976105.84
5.9,9976105.86
6.71,9976105.79
7.32,9976105.83
7.93,9976105.79
8.54,9976105.69
9.14,9976105.63
9.96,9976105.6
10.57,9976105.52
11.18,9976105.55
11.79,9976105.54
12.39,9976105.59
13.21,9976105.61
13.82,9976105.59
14.43,9976105.58
15.04,9976105.53
15.64,9976105.46
16.46,9976105.38
17.07,9976105.36
17.68,9976105.34
18.29,9976105.33
18.9,9976105.3
19.72,9976105.28
20.33,9976105.23
20.95,9976105.22
21.55,9976105.24
22.16,9976105.2
22.98,9976105.22
23.58,9976105.19
24.21,9976105.15
24.82,9976105.1
25.43,9976105.05
26.24,9976104.99
26.85,9976104.91
27.46,9976104.87
28.07,9976104.85
28.68,9976104.88
29.49,9976104.85
30.1,9976104.75
30.71,9976104.72
31.32,9976104.67
31.93,9976104.56
32.74,9976104.55
33.35,9976104.59
33.97,9976104.6
34.58,9976104.55
35.21,9976104.6
35.82,9976104.59
36.63,9976104.55
37.24,9976104.53
37.85,9976104.52
38.46,9976104.47
39.07,9976104.5
39.88,9976104.48
40.49,9976104.51
41.1,9976104.45
41.71,9976104.41
42.32,9976104.39
43.13,9976104.32
43.74,9976104.27
44.35,9976104.23
44.97,9976104.22
45.58,9976104.25
46.39,9976104.2
47.01,9976104.18
47.61,9976104.13
48.23,9976104.09
48.83,9976104.08
49.64,9976104.07
50.26,9976104.08
50.86,9976104.06
51.48,9976104.06
52.29,9976104.04
52.89,9976104.03
53.51,9976104.03
54.11,9976103.9
54.73,9976103.94
55.54,9976103.92
56.14,9976103.99
56.76,9976103.93
57.36,9976103.96
57.98,9976103.93
58.79,9976103.98
59.39,9976103.96
60.01,9976103.96
60.61,9976103.94
61.23,9976103.9
62.04,9976103.91
62.64,9976103.92
63.26,9976103.85
63.86,9976103.82
64.48,9976103.82
65.29,9976103.81
65.89,9976103.8
66.51,9976103.83
67.11,9976103.82
67.73,9976103.7
68.54,9976103.68
69.14,9976103.66
69.75,9976103.66
70.38,9976103.63
71.01,9976103.65
71.82,9976103.61
72.43,9976103.67
73.04,9976103.63
73.64,9976103.71
74.26,9976103.72
75.07,9976103.77
75.68,9976103.78
76.29,9976103.74
76.89,9976103.74
77.51,9976103.73
78.32,9976103.63
78.93,9976103.71
79.55,9976103.75
80.18,9976103.7
80.8,9976103.9
81.41,9976103.91
82.23,9976103.99
82.83,9976103.97
83.45,9976103.99
84.05,9976103.98
84.66,9976103.97
85.48,9976103.98
86.08,9976104.01
86.7,9976104.03
87.3,9976103.95
87.91,9976103.95
88.73,9976103.86
89.33,9976103.85
89.95,9976103.85
90.55,9976103.86
91.16,9976103.76
91.98,9976103.77
92.58,9976103.79
93.2,9976103.83
93.8,9976103.83
94.41,9976103.82
95.23,9976103.78
95.83,9976103.79
96.45,9976103.81
97.05,9976103.8
97.86,9976103.77
98.48,9976103.8
99.08,9976103.78
99.7,9976103.8
100.3,9976103.77
101.11,9976103.83
101.73,9976103.95
102.33,9976103.99
102.95,9976104.07
103.55,9976104.1
104.36,9976104.12
104.98,9976104.05
105.58,9976104.07
106.21,9976104.01
106.82,9976103.98
107.63,9976104.02
108.24,9976103.99
108.85,9976104.04
109.46,9976104.11
110.07,9976104.19
110.88,9976104.26
111.49,9976104.23
112.1,9976104.29
112.71,9976104.23
113.32,9976104.07
114.13,9976104.14
114.74,9976104.13
115.35,9976104.08
115.96,9976104.08
116.57,9976104.06
117.38,9976104.02
117.99,9976104.03
118.6,9976103.99
119.22,9976103.98
119.83,9976104.03
120.64,9976104.04
121.26,9976104.01
121.88,9976104.05
122.49,9976104.16
123.1,9976104.11
123.91,9976104.22
124.52,9976104.21
125.13,9976104.17
125.74,9976104.2
126.35,9976104.19
127.16,9976104.27
127.78,9976104.37
128.38,9976104.36
128.99,9976104.34
129.6,9976104.41
130.41,9976104.39
131.02,9976104.37
131.63,9976104.38
132.24,9976104.45
132.85,9976104.43
133.66,9976104.37
134.27,9976104.23
134.88,9976104.17
135.49,9976104.12
136.1,9976104.08
136.91,9976104
137.52,9976104.06
138.13,9976104.16
138.74,9976104.11
139.35,9976104.17
140.16,9976104.15
140.77,9976104.28
141.38,9976104.27
142.01,9976104.21
142.61,9976104.14
143.43,9976104.11
144.04,9976104.09
144.64,9976104.05
145.26,9976104.08
145.86,9976104.11
146.68,9976104.17
147.29,9976104.03
147.89,9976104.08
148.51,9976104.08
149.11,9976104.18
149.93,9976104.21
150.54,9976104.26
151.14,9976104.32
151.76,9976104.37
152.38,9976104.28
153.21,9976104.31
153.82,9976104.38
154.43,9976104.34
155.04,9976104.29
155.65,9976104.34
156.47,9976104.25
157.08,9976104.31
157.7,9976104.31
158.3,9976104.32
158.91,9976104.27
159.73,9976104.27
160.33,9976104.24
160.95,9976104.17
161.55,9976104.24
162.16,9976104.27
162.98,9976104.36
163.58,9976104.26
164.21,9976104.3
164.82,9976104.3
165.43,9976104.33
166.24,9976104.35
166.85,9976104.4
167.46,9976104.42
168.07,9976104.49
168.68,9976104.59
169.49,9976104.59
170.1,9976104.58
170.71,9976104.5
171.32,9976104.52
171.93,9976104.5
172.74,9976104.5
173.35,9976104.43
173.96,9976104.45
174.57,9976104.47
175.18,9976104.51
175.99,9976104.43
176.6,9976104.53
177.21,9976104.54
177.82,9976104.52
178.43,9976104.55
179.24,9976104.49
179.85,9976104.53
180.46,9976104.57
181.07,9976104.63
181.68,9976104.64
182.49,9976104.64
183.1,9976104.56
183.71,9976104.57
184.32,9976104.57
185.13,9976104.71
185.74,9976104.8
186.35,9976104.73
186.97,9976104.75
187.58,9976104.77
188.2,9976104.7
189,9976104.72
189.61,9976104.64
190.23,9976104.67
190.83,9976104.71
191.45,9976104.73
192.26,9976104.68
192.86,9976104.7
193.48,9976104.73
194.08,9976104.69
194.89,9976104.77
195.51,9976104.7
196.11,9976104.74
196.73,9976104.76
197.33,9976104.78
198.14,9976104.84
198.76,9976104.95
199.36,9976105.01
199.98,9976105.03
200.58,9976104.95
201.39,9976104.95
202,9976104.98
202.61,9976105.05
203.22,9976105.07
203.83,9976105.12
204.64,9976105.14
205.26,9976105.09
205.86,9976105.12
206.48,9976105.19
207.08,9976105.25
207.89,9976105.33
208.51,9976105.37
209.11,9976105.34
209.73,9976105.41
210.33,9976105.46
211.14,9976105.41
211.75,9976105.4
212.36,9976105.46
212.98,9976105.51
213.79,9976105.51
214.4,9976105.45
215.01,9976105.48
215.61,9976105.55
216.23,9976105.67
217.04,9976105.68
217.64,9976105.67
218.26,9976105.65
218.86,9976105.67
219.48,9976105.77
220.29,9976105.84
220.89,9976105.87
221.51,9976105.94
