Relative_time,Resonance_Frequency
0,9975951.99
0.61,9975952.02
1.22,9975952.01
1.83,9975952.01
2.44,9975951.96
3.26,9975951.94
3.86,9975951.93
4.47,9975951.91
5.08,9975951.87
5.7,9975951.86
6.52,9975951.84
7.13,9975951.82
7.74,9975951.81
8.35,9975951.85
8.95,9975951.82
9.77,9975951.82
10.38,9975951.8
11,9975951.82
11.62,9975951.83
12.22,9975951.83
13.04,9975951.8
13.66,9975951.74
14.27,9975951.69
14.88,9975951.67
15.49,9975951.73
16.1,9975951.72
16.91,9975951.73
17.52,9975951.68
18.13,9975951.68
18.75,9975951.68
19.37,9975951.7
20.17,9975951.67
20.79,9975951.69
21.41,9975951.74
22.02,9975951.71
22.63,9975951.67
23.45,9975951.69
24.07,9975951.63
24.67,9975951.7
25.29,9975951.7
25.91,9975951.73
26.52,9975951.72
27.33,9975951.71
27.94,9975951.72
28.55,9975951.73
29.16,9975951.74
29.77,9975951.74
30.58,9975951.74
31.2,9975951.76
31.82,9975951.78
32.42,9975951.84
33.04,9975951.78
33.86,9975951.82
34.47,9975951.84
35.08,9975951.86
35.7,9975951.88
36.32,9975951.94
37.13,9975952.01
37.74,9975952
38.35,9975951.99
38.95,9975952.01
39.57,9975952.03
40.38,9975952.02
41,9975951.98
41.62,9975952.01
42.22,9975952.06
42.83,9975952.07
43.45,9975952
44.27,9975951.98
44.88,9975951.98
45.5,9975952
46.11,9975952
46.73,9975951.98
47.54,9975952.07
48.14,9975952.08
48.77,9975952.09
49.38,9975952.09
49.99,9975952.09
