Relative_time,Resonance_Frequency
0,9987539.35
0.61,9987539.28
1.23,9987539.3
2.05,9987539.3
2.66,9987539.29
3.28,9987539.29
3.89,9987539.29
4.5,9987539.28
5.32,9987539.27
5.94,9987539.3
6.55,9987539.29
7.16,9987539.32
7.78,9987539.35
8.39,9987539.35
9.2,9987539.33
9.82,9987539.31
10.44,9987539.29
11.05,9987539.33
11.66,9987539.33
12.48,9987539.31
13.1,9987539.32
13.7,9987539.33
14.32,9987539.37
14.94,9987539.35
15.55,9987539.39
16.36,9987539.39
16.98,9987539.42
17.59,9987539.42
18.21,9987539.41
18.81,9987539.41
19.65,9987539.37
20.25,9987539.38
20.86,9987539.35
21.47,9987539.33
22.08,9987539.31
22.9,9987539.32
23.5,9987539.3
24.11,9987539.28
24.72,9987539.31
25.33,9987539.32
26.15,9987539.29
26.75,9987539.27
27.38,9987539.27
27.98,9987539.25
28.6,9987539.28
29.41,9987539.28
30.02,9987539.26
30.63,9987539.25
31.24,9987539.28
31.85,9987539.27
32.66,9987539.27
33.27,9987539.28
33.88,9987539.27
34.49,9987539.22
35.3,9987539.23
35.92,9987539.24
36.53,9987539.27
37.14,9987539.26
37.75,9987539.24
38.37,9987539.2
39.19,9987539.19
39.8,9987539.23
40.42,9987539.25
41.04,9987539.26
41.64,9987539.27
42.46,9987539.29
43.06,9987539.32
43.68,9987539.31
44.29,9987539.32
44.89,9987539.32
45.71,9987539.35
46.31,9987539.38
46.92,9987539.33
47.53,9987539.32
48.14,9987539.32
48.96,9987539.32
49.58,9987539.31
50.19,9987539.37
50.8,9987539.39
51.41,9987539.43
52.22,9987539.47
52.83,9987539.53
53.44,9987539.55
54.05,9987539.55
54.67,9987539.59
55.49,9987539.58
56.09,9987539.62
56.71,9987539.66
57.33,9987539.63
57.94,9987539.61
58.55,9987539.61
59.36,9987539.65
59.97,9987539.65
60.58,9987539.65
61.19,9987539.63
62,9987539.63
62.62,9987539.64
63.24,9987539.63
63.84,9987539.61
64.46,9987539.61
65.08,9987539.59
65.89,9987539.59
66.5,9987539.58
67.11,9987539.59
67.72,9987539.59
68.33,9987539.59
69.14,9987539.55
69.75,9987539.55
70.37,9987539.58
70.99,9987539.58
71.6,9987539.58
72.41,9987539.57
73.02,9987539.53
73.62,9987539.55
74.24,9987539.57
74.84,9987539.58
75.67,9987539.55
76.28,9987539.57
76.89,9987539.61
77.5,9987539.59
78.12,9987539.58
78.74,9987539.58
79.55,9987539.59
80.16,9987539.55
80.77,9987539.55
81.37,9987539.59
82.19,9987539.59
82.8,9987539.54
83.41,9987539.52
84.02,9987539.5
84.65,9987539.47
85.25,9987539.43
86.06,9987539.44
86.67,9987539.45
87.28,9987539.42
87.89,9987539.43
88.71,9987539.43
89.31,9987539.38
89.92,9987539.39
90.53,9987539.43
91.14,9987539.47
91.95,9987539.43
92.56,9987539.41
93.17,9987539.43
93.78,9987539.46
94.4,9987539.48
95.21,9987539.5
95.83,9987539.49
96.44,9987539.52
97.05,9987539.55
97.67,9987539.52
98.28,9987539.55
99.09,9987539.6
99.71,9987539.62
100.33,9987539.66
100.94,9987539.7
101.55,9987539.72
102.37,9987539.75
102.99,9987539.75
103.59,9987539.76
104.21,9987539.78
104.83,9987539.8
105.65,9987539.83
106.25,9987539.85
106.87,9987539.83
107.49,9987539.83
108.09,9987539.84
108.71,9987539.86
109.52,9987539.88
110.12,9987539.93
110.74,9987539.93
111.34,9987539.95
111.96,9987539.95
112.79,9987539.99
113.39,9987539.99
114,9987540
114.62,9987540.01
115.24,9987540
116.05,9987540.02
116.67,9987540.07
117.28,9987540.09
117.89,9987540.1
118.5,9987540.11
119.12,9987540.11
119.94,9987540.14
120.55,9987540.17
121.17,9987540.16
121.78,9987540.2
122.39,9987540.22
123.21,9987540.23
123.81,9987540.23
124.42,9987540.25
125.03,9987540.3
125.64,9987540.29
126.47,9987540.27
127.08,9987540.27
127.69,9987540.26
128.3,9987540.31
128.91,9987540.29
129.72,9987540.3
130.33,9987540.34
130.94,9987540.31
131.55,9987540.31
132.16,9987540.27
132.99,9987540.29
133.59,9987540.27
134.21,9987540.25
134.83,9987540.24
135.44,9987540.24
136.25,9987540.21
136.86,9987540.19
137.47,9987540.14
138.08,9987540.16
138.69,9987540.14
139.5,9987540.17
140.11,9987540.18
140.73,9987540.15
141.34,9987540.09
141.96,9987540.06
142.77,9987540.02
143.38,9987539.95
143.99,9987539.91
144.59,9987539.85
145.21,9987539.79
146.02,9987539.78
146.63,9987539.73
147.24,9987539.73
147.84,9987539.73
148.46,9987539.73
149.27,9987539.65
149.88,9987539.65
150.49,9987539.67
151.09,9987539.59
151.71,9987539.56
152.52,9987539.55
153.13,9987539.55
153.74,9987539.47
154.34,9987539.43
154.96,9987539.43
155.78,9987539.4
156.4,9987539.36
157,9987539.33
157.63,9987539.3
158.24,9987539.27
159.05,9987539.26
159.66,9987539.27
160.27,9987539.23
160.88,9987539.15
161.49,9987539.13
