Relative_time,Resonance_Frequency
0,9987597.68
0.62,9987597.69
1.24,9987597.61
2.04,9987597.58
2.65,9987597.57
3.27,9987597.63
3.87,9987597.71
4.69,9987597.75
5.3,9987597.86
5.9,9987597.9
6.52,9987597.95
7.12,9987597.86
7.94,9987597.92
8.55,9987597.99
9.15,9987598.06
9.77,9987598.12
10.37,9987598.16
11.19,9987598.18
11.8,9987598.2
12.4,9987598.26
13.03,9987598.3
13.64,9987598.32
14.46,9987598.37
15.06,9987598.44
15.67,9987598.47
16.28,9987598.42
16.89,9987598.39
17.7,9987598.47
18.31,9987598.55
18.92,9987598.63
19.54,9987598.64
20.15,9987598.76
20.97,9987598.69
21.58,9987598.71
22.19,9987598.79
22.8,9987598.68
23.4,9987598.77
24.23,9987598.87
24.84,9987598.92
25.46,9987599.03
26.06,9987599.07
26.68,9987599.11
27.29,9987599.25
28.11,9987599.26
28.72,9987599.39
29.33,9987599.47
29.94,9987599.57
30.55,9987599.59
31.36,9987599.62
31.97,9987599.51
32.59,9987599.55
33.22,9987599.6
33.83,9987599.75
34.64,9987599.85
35.25,9987599.88
35.86,9987599.77
36.47,9987599.73
37.08,9987599.63
37.89,9987599.63
38.5,9987599.73
39.11,9987599.6
39.72,9987599.71
40.33,9987599.74
41.14,9987599.63
41.75,9987599.64
42.36,9987599.68
42.98,9987599.69
43.6,9987599.72
44.4,9987599.76
45.03,9987599.75
45.65,9987599.79
46.27,9987599.81
46.87,9987599.82
47.49,9987599.87
48.3,9987599.88
48.9,9987600.03
49.52,9987600.13
50.12,9987600.16
50.74,9987600.19
51.55,9987600.08
52.15,9987600.13
52.77,9987600.04
53.37,9987600.13
54.19,9987600.23
54.8,9987600.14
55.4,9987600.25
56.01,9987600.32
56.62,9987600.34
57.55,9987600.33
58.05,9987600.35
58.66,9987600.38
59.39,9987600.41
59.89,9987600.28
60.71,9987600.36
61.34,9987600.39
61.94,9987600.41
62.55,9987600.45
63.17,9987600.35
63.99,9987600.37
64.6,9987600.5
65.2,9987600.52
65.81,9987600.54
66.42,9987600.53
67.24,9987600.59
67.85,9987600.43
68.46,9987600.54
69.08,9987600.69
69.69,9987600.81
70.31,9987600.83
71.12,9987600.83
71.74,9987600.94
72.34,9987600.97
72.96,9987601.01
73.58,9987601.1
74.39,9987601.11
75.02,9987601.14
75.64,9987601.14
76.25,9987601.03
76.87,9987601.04
77.49,9987601.13
78.3,9987601.14
78.92,9987601.15
79.53,9987601.05
80.14,9987601.07
80.75,9987601.13
81.37,9987601.14
82.21,9987601.14
82.83,9987601.13
83.44,9987601.17
84.05,9987601.31
84.67,9987601.33
85.28,9987601.33
86.09,9987601.47
86.71,9987601.36
87.33,9987601.38
87.94,9987601.35
88.55,9987601.28
89.37,9987601.29
90,9987601.37
90.62,9987601.4
91.24,9987601.45
91.84,9987601.5
92.46,9987601.62
93.28,9987601.64
93.89,9987601.69
94.5,9987601.75
95.11,9987601.74
95.72,9987601.84
96.53,9987601.86
97.15,9987601.88
97.75,9987601.77
98.36,9987601.79
98.97,9987601.91
99.79,9987601.95
100.39,9987602.09
101,9987602.11
101.62,9987602.16
102.23,9987602.07
103.05,9987602.13
103.67,9987602.21
104.28,9987602.23
104.89,9987602.13
105.5,9987602.15
106.31,9987602.09
106.92,9987602.13
107.54,9987602.21
108.14,9987602.13
108.96,9987602.23
109.56,9987602.29
110.17,9987602.3
110.78,9987602.38
111.39,9987602.43
112.21,9987602.41
112.83,9987602.44
113.44,9987602.48
114.05,9987602.4
114.67,9987602.46
115.28,9987602.45
116.1,9987602.49
116.7,9987602.57
117.31,9987602.59
117.94,9987602.67
118.55,9987602.65
119.37,9987602.82
119.99,9987602.97
120.59,9987603.01
121.21,9987603
121.83,9987602.97
122.44,9987602.95
123.25,9987603.02
123.86,9987603.07
124.47,9987603.08
125.08,9987603.08
125.69,9987603.1
126.5,9987603.12
127.11,9987603.14
127.72,9987603.17
128.33,9987603.09
129.14,9987603.16
129.75,9987603.23
130.36,9987603.35
130.97,9987603.38
131.59,9987603.4
132.21,9987603.43
133.03,9987603.46
133.64,9987603.53
134.25,9987603.55
134.87,9987603.61
135.49,9987603.63
136.3,9987603.69
136.92,9987603.71
137.53,9987603.83
138.14,9987603.69
138.75,9987603.77
139.58,9987603.85
140.19,9987603.87
140.8,9987603.96
141.42,9987603.98
142.03,9987604.01
142.64,9987604.04
143.46,9987603.93
144.08,9987603.86
144.69,9987603.9
145.32,9987603.89
145.94,9987603.91
146.55,9987604.05
