Relative_time,Resonance_Frequency
0,9992266.05
0.62,9992266.11
1.25,9992266.07
1.87,9992266.18
2.57,9992266.23
3.32,9992266.24
3.93,9992266.31
4.54,9992266.38
5.15,9992266.4
5.76,9992266.52
6.58,9992266.49
7.2,9992266.59
7.81,9992266.64
8.42,9992266.63
9.03,9992266.64
9.64,9992266.71
10.47,9992266.8
11.12,9992266.91
11.76,9992266.99
12.39,9992267.11
13,9992267.18
13.61,9992267.27
14.26,9992267.26
14.9,9992267.33
15.53,9992267.36
16.14,9992267.32
16.76,9992267.39
17.4,9992267.48
18.23,9992267.48
18.86,9992267.55
19.5,9992267.63
20.12,9992267.59
20.75,9992267.61
21.38,9992267.59
22,9992267.55
22.61,9992267.54
23.25,9992267.57
24.07,9992267.69
24.7,9992267.67
25.32,9992267.66
25.95,9992267.65
26.57,9992267.54
27.19,9992267.62
27.84,9992267.59
28.48,9992267.61
29.12,9992267.69
29.76,9992267.7
30.37,9992267.76
31.19,9992267.75
31.81,9992267.81
32.44,9992267.89
33.05,9992267.91
33.66,9992267.92
34.3,9992267.91
34.91,9992268.01
35.74,9992268.12
36.37,9992268.19
37,9992268.25
37.64,9992268.31
38.25,9992268.34
38.87,9992268.42
39.51,9992268.48
40.14,9992268.56
40.76,9992268.59
41.38,9992268.62
42.18,9992268.63
42.8,9992268.54
43.43,9992268.53
44.07,9992268.58
44.69,9992268.58
45.3,9992268.6
46.11,9992268.65
46.73,9992268.77
47.36,9992268.69
48,9992268.73
48.61,9992268.76
49.23,9992268.76
49.85,9992268.82
50.47,9992268.92
51.28,9992269.04
51.92,9992269.09
52.54,9992269.2
53.19,9992269.26
53.82,9992269.44
54.44,9992269.55
55.09,9992269.59
55.74,9992269.58
56.36,9992269.57
57,9992269.65
57.63,9992269.79
58.25,9992269.84
58.89,9992269.89
59.51,9992269.91
60.34,9992269.99
60.95,9992270.06
61.57,9992269.99
62.2,9992270.03
62.83,9992270.11
63.45,9992270.08
64.08,9992270.13
64.71,9992270.12
65.35,9992270.16
66.18,9992270.27
66.81,9992270.29
67.42,9992270.28
68.04,9992270.3
68.68,9992270.31
69.29,9992270.27
69.92,9992270.32
70.53,9992270.31
71.35,9992270.35
71.95,9992270.41
72.56,9992270.36
73.18,9992270.42
73.83,9992270.47
74.48,9992270.49
75.1,9992270.55
75.71,9992270.6
76.54,9992270.63
77.17,9992270.7
77.79,9992270.69
78.42,9992270.67
79.05,9992270.63
79.67,9992270.62
80.3,9992270.67
80.92,9992270.71
81.73,9992270.73
82.34,9992270.81
82.95,9992270.73
83.58,9992270.77
84.2,9992270.75
84.81,9992270.83
85.44,9992270.85
86.25,9992270.71
86.86,9992270.72
87.49,9992270.79
88.09,9992270.95
88.7,9992270.89
89.31,9992270.97
90.14,9992271.03
90.75,9992271.03
91.37,9992271.05
91.99,9992271.05
92.59,9992271.1
93.21,9992271.09
94.05,9992271.17
94.7,9992271.26
95.33,9992271.22
95.95,9992271.27
96.58,9992271.23
97.21,9992271.28
97.82,9992271.33
98.43,9992271.35
99.04,9992271.39
99.68,9992271.45
100.53,9992271.39
101.15,9992271.42
101.79,9992271.47
102.44,9992271.41
103.06,9992271.47
103.68,9992271.45
104.32,9992271.49
104.96,9992271.49
105.58,9992271.49
106.21,9992271.51
106.83,9992271.55
107.65,9992271.55
108.27,9992271.57
108.9,9992271.62
109.54,9992271.57
110.18,9992271.61
110.8,9992271.59
111.42,9992271.57
112.04,9992271.61
112.68,9992271.65
113.31,9992271.67
114.12,9992271.69
114.74,9992271.61
115.39,9992271.6
116,9992271.62
116.61,9992271.72
117.23,9992271.68
117.85,9992271.74
118.49,9992271.7
119.32,9992271.79
119.95,9992271.81
120.57,9992271.61
121.21,9992271.67
121.82,9992271.73
122.46,9992271.67
123.08,9992271.73
123.68,9992271.79
124.31,9992271.74
125.12,9992271.76
125.73,9992271.77
126.35,9992271.79
126.98,9992271.81
127.59,9992271.85
128.21,9992271.87
