Relative_time,Resonance_Frequency
0,9982002.95
0.62,9982002.91
1.24,9982002.85
1.86,9982002.81
2.49,9982002.86
3.12,9982002.81
3.76,9982002.71
4.61,9982002.71
5.23,9982002.76
5.87,9982002.75
6.51,9982002.74
7.16,9982002.67
7.77,9982002.71
8.38,9982002.81
8.99,9982002.8
9.61,9982002.8
10.45,9982002.79
11.06,9982002.73
11.69,9982002.73
12.31,9982002.72
13.07,9982002.74
13.58,9982002.75
14.22,9982002.77
14.83,9982002.73
15.46,9982002.66
16.25,9982002.67
16.87,9982002.59
17.48,9982002.61
18.09,9982002.64
18.71,9982002.67
19.34,9982002.67
19.96,9982002.66
20.81,9982002.71
21.47,9982002.74
22.1,9982002.71
22.71,9982002.76
23.34,9982002.81
23.95,9982002.85
24.57,9982002.92
25.2,9982003.07
25.84,9982003.14
26.45,9982003.14
27.29,9982003.16
27.9,9982003.18
28.52,9982003.2
29.14,9982003.23
29.77,9982003.19
30.39,9982003.19
31.02,9982003.15
31.63,9982003.16
32.44,9982003.2
33.05,9982003.2
33.66,9982003.26
34.28,9982003.27
34.9,9982003.29
35.7,9982003.37
36.31,9982003.39
36.93,9982003.35
37.56,9982003.33
38.17,9982003.51
38.78,9982003.49
39.4,9982003.59
40.22,9982003.67
40.83,9982003.52
41.46,9982003.53
42.11,9982003.56
42.74,9982003.57
43.36,9982003.61
44,9982003.6
44.64,9982003.62
45.28,9982003.62
45.91,9982003.63
46.54,9982003.64
47.36,9982003.59
47.98,9982003.61
48.6,9982003.59
49.24,9982003.68
49.87,9982003.69
50.49,9982003.62
51.1,9982003.56
51.71,9982003.55
52.54,9982003.59
53.17,9982003.59
53.8,9982003.55
54.41,9982003.55
55.04,9982003.55
55.65,9982003.49
56.26,9982003.54
56.89,9982003.56
57.73,9982003.54
58.36,9982003.54
58.99,9982003.41
59.62,9982003.35
60.24,9982003.29
60.87,9982003.3
61.49,9982003.21
62.1,9982003.29
62.73,9982003.32
63.57,9982003.33
64.21,9982003.33
64.85,9982003.35
65.46,9982003.37
66.09,9982003.4
66.69,9982003.39
67.31,9982003.43
67.97,9982003.43
68.59,9982003.5
69.22,9982003.59
70.04,9982003.61
70.66,9982003.46
71.28,9982003.52
71.89,9982003.55
72.53,9982003.35
73.15,9982003.43
73.76,9982003.46
74.58,9982003.46
75.19,9982003.5
75.82,9982003.51
76.44,9982003.52
77.06,9982003.52
77.69,9982003.52
78.31,9982003.49
78.95,9982003.47
79.57,9982003.57
80.41,9982003.63
81.04,9982003.64
81.66,9982003.67
82.29,9982003.63
82.9,9982003.72
83.52,9982003.77
84.13,9982003.78
84.95,9982003.8
85.57,9982003.8
86.18,9982003.82
86.8,9982003.83
87.42,9982003.83
88.07,9982003.85
88.69,9982003.83
89.31,9982003.78
89.96,9982003.82
90.59,9982003.81
91.41,9982003.92
92.02,9982004.04
92.64,9982004.13
93.27,9982004.13
93.89,9982004.19
94.53,9982004.17
95.15,9982004.09
95.77,9982004.13
96.62,9982004.16
97.24,9982004.17
97.87,9982004.16
98.48,9982004.16
99.11,9982004.19
99.73,9982004.08
100.35,9982004.05
100.98,9982004.01
101.61,9982004.04
102.45,9982004.06
103.08,9982003.95
103.7,9982003.96
104.34,9982003.99
104.96,9982003.99
105.58,9982003.91
106.2,9982003.91
106.81,9982003.87
107.43,9982003.86
108.24,9982003.9
108.88,9982003.92
109.5,9982003.9
110.11,9982003.95
110.74,9982004.01
111.39,9982004.02
112.03,9982004.04
112.67,9982003.93
113.31,9982003.94
113.94,9982003.97
114.56,9982003.98
115.39,9982003.98
116.02,9982003.98
116.64,9982004
117.28,9982003.97
117.9,9982003.99
118.52,9982004.02
119.14,9982004.01
119.77,9982004.04
120.4,9982004
121.03,9982003.99
121.86,9982004.01
122.47,9982004.03
123.08,9982004.06
123.69,9982004.06
124.3,9982004.07
124.92,9982004.06
125.74,9982004.08
126.37,9982004.12
