Relative_time,Resonance_Frequency
0,9987325.25
0.61,9987325.23
1.23,9987325.23
1.86,9987325.22
2.5,9987325.11
3.13,9987325.09
3.75,9987325.03
4.36,9987324.97
5.19,9987324.89
5.8,9987324.91
6.43,9987324.88
7.03,9987324.89
7.64,9987324.92
8.28,9987324.89
8.89,9987324.89
9.71,9987324.88
10.33,9987324.84
10.96,9987324.85
11.58,9987324.89
12.21,9987324.75
12.83,9987324.77
13.47,9987324.76
14.11,9987324.75
14.74,9987324.72
15.36,9987324.72
16,9987324.74
16.64,9987324.78
17.46,9987324.77
18.08,9987324.71
18.71,9987324.73
19.33,9987324.75
19.95,9987324.76
20.58,9987324.71
21.21,9987324.71
22.02,9987324.7
23.04,9987324.69
23.24,9987324.67
23.87,9987324.7
24.47,9987324.71
25.08,9987324.69
25.92,9987324.7
26.54,9987324.69
27.16,9987324.65
27.79,9987324.62
28.41,9987324.58
29.03,9987324.57
29.66,9987324.59
30.3,9987324.6
30.91,9987324.53
31.75,9987324.54
32.39,9987324.55
33.02,9987324.54
33.64,9987324.53
34.24,9987324.56
34.86,9987324.63
35.47,9987324.62
36.1,9987324.65
36.93,9987324.67
37.56,9987324.71
38.16,9987324.64
38.79,9987324.66
39.43,9987324.65
40.04,9987324.68
40.66,9987324.75
41.28,9987324.81
42.08,9987324.83
42.7,9987324.86
43.32,9987324.87
43.94,9987324.85
44.57,9987324.88
45.19,9987324.91
45.83,9987324.96
46.46,9987324.97
47.29,9987324.95
47.91,9987324.95
48.55,9987324.97
49.19,9987324.96
49.83,9987325.04
50.45,9987325.03
51.08,9987324.98
51.71,9987325
52.33,9987324.98
52.97,9987325.02
53.59,9987325.02
54.44,9987325.05
55.07,9987325.05
55.69,9987325.1
56.31,9987325.17
56.93,9987325.13
57.55,9987325.18
58.18,9987325.25
58.79,9987325.37
59.44,9987325.45
60.09,9987325.41
60.71,9987325.45
61.53,9987325.48
62.16,9987325.51
62.77,9987325.45
63.39,9987325.43
64,9987325.49
64.65,9987325.49
65.28,9987325.55
66.08,9987325.57
66.71,9987325.61
67.32,9987325.51
67.93,9987325.53
68.55,9987325.52
69.16,9987325.52
69.98,9987325.51
70.6,9987325.51
71.22,9987325.61
71.86,9987325.57
72.48,9987325.53
73.13,9987325.57
73.75,9987325.54
74.36,9987325.53
74.99,9987325.55
75.61,9987325.59
76.44,9987325.66
77.07,9987325.65
77.69,9987325.64
78.32,9987325.62
78.94,9987325.64
79.56,9987325.65
80.19,9987325.66
80.83,9987325.69
81.45,9987325.67
82.1,9987325.61
82.92,9987325.65
83.53,9987325.71
84.16,9987325.69
84.77,9987325.69
85.4,9987325.68
86.01,9987325.68
86.66,9987325.71
87.3,9987325.73
87.93,9987325.73
88.75,9987325.66
89.38,9987325.68
90.01,9987325.72
90.66,9987325.61
91.29,9987325.57
91.91,9987325.47
92.55,9987325.45
93.19,9987325.43
93.83,9987325.48
94.46,9987325.45
95.07,9987325.53
95.69,9987325.59
96.52,9987325.51
97.14,9987325.53
97.77,9987325.49
98.38,9987325.47
98.99,9987325.44
99.62,9987325.51
100.25,9987325.5
100.9,9987325.49
101.52,9987325.53
102.37,9987325.57
103,9987325.61
103.64,9987325.48
104.26,9987325.57
104.87,9987325.58
105.49,9987325.54
106.11,9987325.52
106.72,9987325.53
107.36,9987325.55
108.18,9987325.53
108.8,9987325.47
109.44,9987325.47
110.07,9987325.46
110.69,9987325.49
111.32,9987325.49
111.93,9987325.49
112.54,9987325.51
113.37,9987325.49
113.98,9987325.51
114.61,9987325.5
115.23,9987325.5
115.85,9987325.47
116.47,9987325.51
117.11,9987325.59
117.72,9987325.62
118.55,9987325.65
119.18,9987325.62
119.81,9987325.63
120.45,9987325.55
121.07,9987325.58
121.7,9987325.61
122.33,9987325.52
122.96,9987325.54
123.58,9987325.58
124.21,9987325.58
125.04,9987325.62
125.67,9987325.62
126.28,9987325.56
126.88,9987325.59
127.49,9987325.6
128.1,9987325.54
128.92,9987325.53
129.54,9987325.55
130.15,9987325.57
130.75,9987325.58
131.36,9987325.58
131.97,9987325.58
132.79,9987325.63
