Relative_time,Resonance_Frequency
0,9984164.87
0.61,9984164.84
1.22,9984164.81
1.83,9984164.76
2.45,9984164.74
3.27,9984164.72
3.87,9984164.7
4.48,9984164.68
5.11,9984164.67
5.72,9984164.64
6.53,9984164.61
7.14,9984164.57
7.75,9984164.56
8.36,9984164.56
8.97,9984164.54
9.78,9984164.52
10.39,9984164.51
11,9984164.52
11.61,9984164.51
12.22,9984164.43
13.03,9984164.4
13.65,9984164.37
14.27,9984164.33
14.87,9984164.31
15.49,9984164.3
16.31,9984164.25
16.92,9984164.23
17.53,9984164.19
18.15,9984164.17
18.77,9984164.16
19.37,9984164.11
20.19,9984164.1
20.8,9984164.09
21.4,9984164.09
22.02,9984164.06
22.63,9984164.07
23.44,9984164.03
24.05,9984164.02
24.65,9984163.98
25.28,9984163.97
25.89,9984163.93
26.71,9984163.91
27.31,9984163.87
27.92,9984163.84
28.55,9984163.8
29.16,9984163.77
29.97,9984163.72
30.58,9984163.7
31.19,9984163.68
31.8,9984163.66
32.41,9984163.64
33.22,9984163.63
33.83,9984163.61
34.44,9984163.6
35.05,9984163.58
35.66,9984163.56
36.47,9984163.51
37.09,9984163.49
37.71,9984163.45
38.31,9984163.43
38.93,9984163.39
39.74,9984163.37
40.36,9984163.34
40.97,9984163.28
41.58,9984163.27
42.19,9984163.24
43,9984163.19
43.61,9984163.19
44.22,9984163.13
44.84,9984163.13
45.46,9984163.11
46.27,9984163.07
46.89,9984163.05
47.51,9984163.02
48.12,9984163
48.74,9984162.98
49.35,9984162.95
50.15,9984162.92
50.78,9984162.89
51.39,9984162.85
52,9984162.82
52.62,9984162.78
53.43,9984162.71
54.03,9984162.69
54.66,9984162.66
55.27,9984162.63
55.89,9984162.61
56.7,9984162.57
57.32,9984162.55
57.92,9984162.47
58.53,9984162.45
59.14,9984162.44
59.96,9984162.42
60.56,9984162.4
61.18,9984162.38
61.78,9984162.36
62.39,9984162.35
63.21,9984162.33
63.82,9984162.29
64.43,9984162.27
65.03,9984162.23
65.65,9984162.17
66.46,9984162.16
67.08,9984162.14
67.69,9984162.13
68.3,9984162.08
68.91,9984162.08
69.72,9984162.04
70.33,9984162.04
70.93,9984161.99
71.54,9984161.99
72.15,9984161.99
73.29,9984161.95
73.59,9984161.95
74.2,9984161.92
74.95,9984161.92
75.42,9984161.88
76.24,9984161.85
76.84,9984161.86
77.46,9984161.83
78.08,9984161.83
78.69,9984161.82
79.5,9984161.81
80.11,9984161.78
80.72,9984161.74
81.33,9984161.72
81.94,9984161.71
82.75,9984161.69
83.36,9984161.69
83.97,9984161.67
84.58,9984161.67
85.19,9984161.65
86,9984161.65
86.61,9984161.6
87.22,9984161.58
87.83,9984161.56
88.44,9984161.54
89.25,9984161.53
89.86,9984161.48
90.47,9984161.47
91.08,9984161.43
91.69,9984161.43
92.51,9984161.4
93.11,9984161.38
93.72,9984161.37
94.34,9984161.32
94.96,9984161.28
95.77,9984161.26
96.39,9984161.23
97,9984161.24
97.61,9984161.24
98.22,9984161.22
99.05,9984161.17
99.66,9984161.16
100.27,9984161.15
100.89,9984161.15
101.5,9984161.13
102.11,9984161.14
102.93,9984161.09
103.55,9984161.11
104.16,9984161.11
104.77,9984161.06
105.39,9984161.07
106.21,9984161.06
106.81,9984161.05
107.43,9984161.03
108.05,9984161.03
108.66,9984161.02
109.27,9984160.97
110.08,9984161.01
110.69,9984161.01
111.3,9984161.01
111.91,9984160.98
112.72,9984160.98
113.34,9984161
113.96,9984161
114.56,9984161
115.18,9984161
115.8,9984160.99
116.61,9984161.02
117.22,9984161.04
117.83,9984161.03
118.44,9984161.04
119.05,9984161.07
119.86,9984161.09
120.47,9984161.12
121.09,9984161.12
121.7,9984161.13
122.31,9984161.15
123.14,9984161.16
123.75,9984161.17
124.36,9984161.19
124.97,9984161.19
125.59,9984161.22
126.21,9984161.22
127.02,9984161.24
127.63,9984161.26
128.24,9984161.26
128.84,9984161.29
129.66,9984161.29
130.27,9984161.32
130.88,9984161.35
131.48,9984161.33
132.11,9984161.35
132.93,9984161.35
133.55,9984161.38
134.16,9984161.39
134.77,9984161.38
