Relative_time,Resonance_Frequency
0,9984129.86
0.81,9984129.93
1.43,9984129.89
2.05,9984129.91
2.65,9984129.89
3.26,9984129.86
4.09,9984129.88
4.7,9984129.86
5.31,9984129.8
5.92,9984129.77
6.52,9984129.75
7.34,9984129.73
7.95,9984129.69
8.56,9984129.7
9.17,9984129.73
9.77,9984129.71
10.59,9984129.71
11.2,9984129.77
11.81,9984129.72
12.43,9984129.64
13.05,9984129.67
13.85,9984129.65
14.47,9984129.63
15.09,9984129.69
15.7,9984129.75
16.31,9984129.63
17.12,9984129.61
17.73,9984129.53
18.34,9984129.51
18.95,9984129.46
19.57,9984129.43
20.38,9984129.44
21,9984129.45
21.6,9984129.41
22.23,9984129.37
22.84,9984129.36
23.45,9984129.35
24.26,9984129.38
24.87,9984129.33
25.48,9984129.32
26.09,9984129.21
26.9,9984129.12
27.51,9984129.06
28.12,9984129.02
28.74,9984129.02
29.36,9984129.02
29.97,9984128.95
30.79,9984129
31.4,9984128.92
32.03,9984128.93
32.63,9984128.88
33.25,9984128.83
34.06,9984128.83
34.68,9984128.82
35.29,9984128.75
35.9,9984128.72
36.51,9984128.69
37.13,9984128.7
37.95,9984128.73
38.56,9984128.73
39.17,9984128.61
39.77,9984128.61
40.4,9984128.63
41.21,9984128.61
41.82,9984128.54
42.43,9984128.57
43.04,9984128.49
43.85,9984128.44
44.47,9984128.42
45.09,9984128.44
45.7,9984128.39
46.31,9984128.41
46.92,9984128.4
47.73,9984128.35
48.34,9984128.31
48.95,9984128.23
49.56,9984128.26
50.18,9984128.23
51,9984128.27
51.6,9984128.21
52.22,9984128.28
52.84,9984128.22
53.45,9984128.19
54.26,9984128.13
54.87,9984128.14
55.48,9984128.15
56.09,9984128.15
56.7,9984128.17
57.51,9984128.14
58.12,9984128.08
58.73,9984128.09
59.34,9984128.15
59.95,9984128.17
60.76,9984128.16
61.37,9984128.18
61.98,9984128.17
62.59,9984128.23
63.2,9984128.09
64.02,9984128.15
64.63,9984128.09
65.25,9984128.1
65.85,9984128.09
66.47,9984128.04
67.28,9984128.03
67.88,9984128.01
68.5,9984127.97
69.1,9984127.98
69.72,9984127.92
70.53,9984127.88
71.13,9984127.83
71.75,9984127.91
72.35,9984127.88
72.97,9984127.85
73.77,9984127.81
74.38,9984127.8
75,9984127.73
75.6,9984127.71
76.41,9984127.68
77.03,9984127.75
77.63,9984127.79
78.25,9984127.8
78.86,9984127.78
79.66,9984127.75
80.28,9984127.76
80.88,9984127.76
81.5,9984127.75
82.1,9984127.72
82.91,9984127.68
83.53,9984127.59
84.15,9984127.62
84.76,9984127.58
85.37,9984127.64
86.18,9984127.67
86.79,9984127.78
87.4,9984127.71
88.01,9984127.69
88.62,9984127.67
89.43,9984127.67
90.06,9984127.73
90.66,9984127.54
91.27,9984127.58
91.88,9984127.63
92.7,9984127.6
93.31,9984127.51
93.92,9984127.5
94.53,9984127.43
95.34,9984127.39
95.94,9984127.38
96.57,9984127.26
97.18,9984127.29
97.8,9984127.29
98.6,9984127.25
99.22,9984127.23
99.82,9984127.24
100.43,9984127.22
101.04,9984127.23
101.85,9984127.13
102.46,9984127.15
103.07,9984127.15
103.68,9984127.16
104.49,9984127.08
105.12,9984127.08
105.73,9984127.07
106.33,9984127.03
106.95,9984127.05
107.76,9984127.05
108.37,9984127.05
108.99,9984127.03
109.62,9984127.02
110.23,9984127
110.84,9984126.9
111.66,9984126.91
112.28,9984126.83
112.88,9984126.8
113.5,9984126.71
114.1,9984126.7
114.91,9984126.74
115.53,9984126.74
116.13,9984126.79
116.75,9984126.85
117.56,9984126.79
118.17,9984126.77
118.8,9984126.79
119.41,9984126.68
120.01,9984126.72
120.82,9984126.75
121.43,9984126.67
122.06,9984126.66
122.67,9984126.62
123.27,9984126.71
123.9,9984126.71
124.71,9984126.65
125.32,9984126.67
125.93,9984126.7
126.54,9984126.61
127.35,9984126.69
127.96,9984126.73
128.57,9984126.82
129.18,9984126.85
129.8,9984126.85
