Relative_time,Resonance_Frequency
0,9990369.51
0.6,9990369.6
1.21,9990369.62
1.83,9990369.61
2.45,9990369.51
3.26,9990369.53
3.87,9990369.51
4.48,9990369.4
5.08,9990369.41
5.7,9990369.39
6.51,9990369.39
7.13,9990369.33
7.74,9990369.29
8.35,9990369.14
8.96,9990369.1
9.58,9990369.06
10.4,9990369.05
11.01,9990369.05
11.63,9990369.02
12.25,9990369.04
12.85,9990368.97
13.67,9990368.99
14.29,9990369.05
14.9,9990369.03
15.51,9990368.9
16.13,9990368.91
16.74,9990368.9
17.56,9990368.78
18.17,9990368.77
18.79,9990368.79
19.4,9990368.77
20.02,9990368.82
20.83,9990368.8
21.45,9990368.8
22.06,9990368.8
22.67,9990368.79
23.27,9990368.74
24.08,9990368.73
24.7,9990368.65
25.3,9990368.72
25.92,9990368.61
26.54,9990368.61
27.35,9990368.57
27.98,9990368.67
28.58,9990368.75
29.2,9990368.63
29.8,9990368.66
30.42,9990368.67
31.23,9990368.68
31.83,9990368.67
32.45,9990368.57
33.05,9990368.53
33.67,9990368.46
34.49,9990368.39
35.1,9990368.38
35.71,9990368.41
36.33,9990368.42
36.95,9990368.47
37.76,9990368.4
38.38,9990368.43
38.99,9990368.42
39.6,9990368.47
40.21,9990368.45
41.04,9990368.48
41.65,9990368.43
42.26,9990368.37
42.88,9990368.39
43.49,9990368.41
44.1,9990368.39
44.92,9990368.25
45.54,9990368.29
46.15,9990368.27
46.76,9990368.19
47.38,9990368.25
48,9990368.35
48.81,9990368.41
49.42,9990368.39
50.02,9990368.45
50.63,9990368.47
51.45,9990368.37
52.05,9990368.32
52.67,9990368.26
53.29,9990368.32
53.9,9990368.39
54.51,9990368.34
55.33,9990368.32
55.95,9990368.29
56.55,9990368.19
57.17,9990368.17
57.79,9990368.02
58.6,9990368.01
59.21,9990367.97
59.83,9990367.83
60.45,9990367.82
61.06,9990367.67
61.67,9990367.75
62.49,9990367.7
63.11,9990367.64
63.71,9990367.6
64.33,9990367.65
64.95,9990367.75
65.76,9990367.67
66.38,9990367.73
66.99,9990367.71
67.6,9990367.71
68.21,9990367.7
69.04,9990367.7
69.65,9990367.61
70.26,9990367.6
70.87,9990367.53
71.49,9990367.46
72.1,9990367.38
72.92,9990367.36
73.54,9990367.35
74.15,9990367.23
74.76,9990367.21
75.37,9990367.16
76.18,9990367.15
76.79,9990367.13
77.4,9990367.17
78.01,9990367.11
78.62,9990367.2
79.43,9990367.14
80.04,9990367.04
80.65,9990366.99
81.26,9990366.9
81.87,9990366.84
82.7,9990366.75
83.3,9990366.6
83.92,9990366.65
84.54,9990366.61
85.15,9990366.54
85.96,9990366.49
86.58,9990366.35
87.2,9990366.33
87.8,9990366.32
88.42,9990366.27
89.02,9990366.25
89.83,9990366.27
90.45,9990366.25
91.05,9990366.29
91.67,9990366.33
92.29,9990366.36
93.1,9990366.25
93.71,9990366.25
94.33,9990366.09
94.95,9990366.13
95.55,9990366.17
96.38,9990366.21
97,9990366.1
97.6,9990366.06
98.21,9990366.11
98.83,9990366.09
99.45,9990366.08
100.26,9990366.08
100.87,9990365.97
101.48,9990365.87
102.08,9990365.91
102.7,9990365.97
103.51,9990366.06
104.13,9990366.12
104.74,9990365.99
105.35,9990366.05
105.96,9990366.11
106.77,9990366.19
107.38,9990366.15
107.99,9990366.16
108.6,9990366.19
109.21,9990366.17
110.04,9990366.08
110.65,9990366.17
111.26,9990366.09
111.88,9990366.08
112.5,9990366.11
113.3,9990366.06
113.92,9990366.11
114.54,9990366.19
115.15,9990366.17
115.76,9990366.19
116.38,9990366.08
117.2,9990366.07
117.8,9990366.1
118.42,9990366.05
119.04,9990366.07
119.65,9990366.13
120.46,9990366.13
121.08,9990366.23
121.7,9990366.2
122.3,9990366.23
122.92,9990366.31
123.54,9990366.25
124.35,9990366.29
124.96,9990366.29
125.58,9990366.27
126.2,9990366.29
126.8,9990366.28
127.63,9990366.21
128.24,9990366.22
128.85,9990366.14
129.46,9990366.18
130.08,9990366.21
130.7,9990366.12
131.51,9990366.04
132.13,9990366.01
132.74,9990365.94
133.35,9990365.97
133.96,9990366.05
134.79,9990365.98
135.4,9990365.95
136.01,9990365.96
136.63,9990365.99
