Relative_time,Resonance_Frequency
0,9990364.41
0.61,9990364.37
1.22,9990364.29
1.83,9990364.32
2.44,9990364.32
3.25,9990364.25
3.86,9990364.28
4.47,9990364.28
5.08,9990364.23
5.7,9990364.17
6.52,9990364.14
7.13,9990364.13
7.74,9990364.14
8.35,9990364.12
8.95,9990364.15
9.77,9990364.21
10.38,9990364.17
10.99,9990364.15
11.6,9990364.1
12.22,9990364.03
13.04,9990364.09
13.66,9990364.14
14.27,9990364.21
14.88,9990364.15
15.5,9990364.07
16.13,9990364.13
16.94,9990364.27
17.55,9990364.23
18.16,9990364.17
18.77,9990364.19
19.38,9990364.17
20.2,9990364.15
20.82,9990364.21
21.42,9990364.2
22.04,9990364.11
22.66,9990364.16
23.27,9990364.24
24.08,9990364.19
24.7,9990364.26
25.32,9990364.26
25.92,9990364.24
26.54,9990364.22
27.35,9990364.23
27.95,9990364.2
28.57,9990364.26
29.17,9990364.27
29.79,9990364.25
30.61,9990364.2
31.22,9990364.18
31.83,9990364.2
32.45,9990364.18
33.07,9990364.21
33.88,9990364.2
34.5,9990364.1
35.11,9990364.09
35.72,9990364.08
36.35,9990364.02
36.95,9990364.03
37.77,9990364.07
38.38,9990364.13
39,9990364
39.61,9990364.06
40.22,9990364.13
41.04,9990364.08
41.66,9990364.05
42.27,9990364.01
42.88,9990364.05
43.5,9990364.09
44.11,9990364.04
44.93,9990364.07
45.54,9990364.07
46.14,9990364.01
46.76,9990363.92
47.36,9990364.01
48.17,9990364.06
48.79,9990363.99
49.39,9990363.9
50.02,9990363.89
50.63,9990363.87
51.45,9990363.79
52.07,9990363.75
52.67,9990363.72
53.29,9990363.66
53.91,9990363.75
54.52,9990363.65
55.33,9990363.65
55.95,9990363.64
56.57,9990363.61
57.17,9990363.56
57.79,9990363.59
58.61,9990363.58
59.22,9990363.58
59.83,9990363.6
60.45,9990363.58
61.07,9990363.47
61.88,9990363.46
62.5,9990363.46
63.11,9990363.4
63.72,9990363.4
64.33,9990363.38
64.95,9990363.39
65.77,9990363.38
66.38,9990363.37
67,9990363.35
67.62,9990363.36
68.22,9990363.42
69.04,9990363.49
69.66,9990363.5
70.27,9990363.43
70.89,9990363.39
71.5,9990363.41
72.11,9990363.39
72.93,9990363.42
73.54,9990363.41
74.14,9990363.5
74.76,9990363.42
75.36,9990363.43
76.17,9990363.34
76.79,9990363.34
77.41,9990363.29
78.02,9990363.24
78.63,9990363.29
79.45,9990363.22
80.07,9990363.2
80.67,9990363.08
81.29,9990363.07
81.91,9990363.02
82.52,9990363
83.33,9990362.98
83.94,9990362.96
84.55,9990362.98
85.17,9990362.96
85.79,9990362.95
86.61,9990362.87
87.22,9990362.86
87.83,9990362.81
88.45,9990362.69
89.07,9990362.67
89.68,9990362.64
90.49,9990362.54
91.1,9990362.53
91.7,9990362.51
92.32,9990362.49
