Relative_time,Resonance_Frequency
0,9990366.08
0.61,9990366.05
1.22,9990366.18
2.03,9990366.13
2.64,9990366.18
3.25,9990366.15
3.86,9990366
4.47,9990365.97
5.28,9990365.97
5.89,9990365.91
6.51,9990365.91
7.13,9990365.86
7.74,9990365.91
8.55,9990365.91
9.18,9990365.92
9.78,9990365.85
10.39,9990365.79
11,9990365.69
11.81,9990365.59
12.43,9990365.59
13.05,9990365.62
13.66,9990365.54
14.28,9990365.59
14.9,9990365.59
15.72,9990365.59
16.33,9990365.59
16.94,9990365.54
17.55,9990365.52
18.16,9990365.46
18.97,9990365.44
19.58,9990365.44
20.19,9990365.43
20.8,9990365.43
21.41,9990365.38
22.22,9990365.36
22.83,9990365.34
23.45,9990365.32
24.07,9990365.3
24.68,9990365.3
25.3,9990365.29
26.11,9990365.19
26.72,9990365.25
27.33,9990365.23
27.94,9990365.2
28.75,9990365.18
29.36,9990365.16
29.97,9990365.14
30.58,9990365.23
31.19,9990365.23
32.01,9990365.1
32.62,9990365.07
33.25,9990364.99
33.86,9990364.91
34.47,9990364.89
35.08,9990364.95
35.89,9990364.92
36.5,9990364.97
37.11,9990365.05
37.72,9990364.99
38.33,9990365
39.15,9990365.08
39.77,9990365.15
40.37,9990364.99
40.99,9990364.99
41.61,9990365.01
42.42,9990364.99
43.05,9990365.01
43.65,9990364.99
44.26,9990365
44.87,9990364.98
45.49,9990364.92
46.31,9990364.9
46.92,9990364.85
47.53,9990364.83
48.15,9990364.83
48.77,9990364.87
49.58,9990364.89
50.2,9990364.89
50.81,9990364.8
51.42,9990364.78
52.03,9990364.78
52.65,9990364.75
53.47,9990364.75
54.08,9990364.81
54.69,9990364.81
55.31,9990364.84
55.92,9990364.84
56.74,9990364.85
57.36,9990364.85
57.97,9990364.95
58.58,9990364.93
59.19,9990364.86
60,9990364.84
60.61,9990364.81
61.22,9990364.79
61.84,9990364.78
62.45,9990364.78
63.27,9990364.67
63.87,9990364.65
64.49,9990364.64
65.11,9990364.65
65.72,9990364.65
66.33,9990364.54
67.14,9990364.52
67.75,9990364.45
68.36,9990364.49
68.97,9990364.41
69.58,9990364.35
70.4,9990364.44
71.02,9990364.51
71.62,9990364.38
72.24,9990364.33
72.86,9990364.41
73.67,9990364.37
74.28,9990364.32
74.89,9990364.3
75.51,9990364.33
76.12,9990364.34
76.74,9990364.43
77.56,9990364.53
78.17,9990364.48
78.78,9990364.47
79.41,9990364.5
80.02,9990364.54
80.84,9990364.55
81.45,9990364.4
82.08,9990364.4
82.7,9990364.42
83.31,9990364.42
83.92,9990364.43
84.74,9990364.43
85.36,9990364.51
85.97,9990364.48
86.58,9990364.38
87.2,9990364.37
87.82,9990364.36
88.65,9990364.36
89.27,9990364.37
89.87,9990364.35
90.49,9990364.25
91.09,9990364.3
91.72,9990364.27
92.53,9990364.28
93.15,9990364.29
93.77,9990364.31
94.37,9990364.29
94.99,9990364.35
95.81,9990364.38
96.42,9990364.41
97.03,9990364.45
97.65,9990364.42
98.27,9990364.49
99.08,9990364.6
99.7,9990364.6
100.31,9990364.7
100.92,9990364.59
101.55,9990364.65
102.15,9990364.63
102.97,9990364.55
103.58,9990364.51
104.2,9990364.5
104.82,9990364.5
105.42,9990364.45
106.24,9990364.45
106.86,9990364.51
107.47,9990364.56
108.08,9990364.47
108.7,9990364.44
109.31,9990364.36
110.12,9990364.32
110.74,9990364.42
111.36,9990364.38
111.97,9990364.34
112.58,9990364.33
113.4,9990364.31
114.02,9990364.3
114.62,9990364.28
115.24,9990364.3
115.84,9990364.37
116.65,9990364.35
117.27,9990364.38
117.87,9990364.33
118.49,9990364.35
119.09,9990364.36
119.92,9990364.4
120.53,9990364.39
121.15,9990364.38
121.77,9990364.43
122.37,9990364.42
122.99,9990364.39
123.82,9990364.34
124.42,9990364.34
125.05,9990364.37
125.65,9990364.37
126.27,9990364.35
127.08,9990364.37
127.7,9990364.25
128.31,9990364.23
128.92,9990364.21
129.53,9990364.17
130.15,9990364.15
130.97,9990364.09
131.58,9990363.99
132.2,9990364.01
132.81,9990363.89
133.42,9990363.89
134.05,9990363.89
134.86,9990363.93
135.47,9990363.93
136.08,9990363.82
136.7,9990363.83
137.31,9990363.83
138.12,9990363.79
138.74,9990363.83
139.34,9990363.89
139.95,9990363.82
140.56,9990363.82
141.37,9990363.91
141.99,9990363.94
142.61,9990363.85
143.22,9990363.79
143.84,9990363.79
144.65,9990363.85
145.27,9990363.93
145.87,9990363.91
146.49,9990364.01
147.11,9990364
147.92,9990363.96
148.53,9990363.85
149.15,9990363.89
149.77,9990363.87
150.37,9990363.83
150.99,9990363.83
151.81,9990363.83
152.42,9990363.73
153.05,9990363.75
153.67,9990363.77
154.28,9990363.66
154.9,9990363.66
155.72,9990363.73
156.33,9990363.79
156.95,9990363.79
157.56,9990363.78
158.17,9990363.79
158.99,9990363.81
159.61,9990363.76
160.22,9990363.77
160.83,9990363.78
161.45,9990363.76
162.06,9990363.8
162.87,9990363.78
163.49,9990363.85
164.11,9990363.93
164.72,9990363.96
165.33,9990363.94
166.15,9990363.98
166.76,9990363.98
167.37,9990364.05
167.98,9990364.08
168.61,9990364.07
169.22,9990364.07
170.03,9990364.13
170.64,9990364.19
