Relative_time,Resonance_Frequency
0,10002938.16
0.84,10002938.17
1.45,10002938.17
2.09,10002938.09
2.7,10002938.1
3.32,10002938.09
3.93,10002938.13
4.56,10002938.13
5.38,10002938.17
5.98,10002938.13
6.59,10002938.2
7.24,10002938.27
7.85,10002938.26
8.48,10002938.28
9.14,10002938.28
9.75,10002938.3
10.57,10002938.29
11.19,10002938.38
11.8,10002938.42
12.41,10002938.47
13.03,10002938.34
13.65,10002938.28
14.26,10002938.13
15.08,10002938.15
15.7,10002938.13
16.31,10002937.99
16.95,10002938.01
17.56,10002938.05
18.2,10002938.03
18.81,10002938.01
19.63,10002937.99
20.28,10002938.01
20.89,10002938.1
21.5,10002938.14
22.11,10002938.16
22.72,10002938.14
23.35,10002938.2
24.17,10002938.33
24.8,10002938.35
25.42,10002938.39
26.05,10002938.41
26.66,10002938.41
27.27,10002938.28
27.91,10002938.31
28.53,10002938.26
29.34,10002938.2
29.95,10002938.15
30.57,10002938.23
31.17,10002938.26
31.79,10002938.21
32.41,10002938.21
33.22,10002938.23
33.84,10002938.23
34.48,10002938.24
35.1,10002938.25
35.73,10002938.27
36.33,10002938.22
36.94,10002938.14
37.75,10002938.12
38.36,10002938.16
38.97,10002938.03
39.58,10002937.98
40.19,10002938
41.01,10002938
41.63,10002937.99
42.23,10002937.99
42.85,10002937.96
43.45,10002937.81
44.06,10002937.81
44.88,10002937.79
45.48,10002937.8
46.09,10002937.79
46.72,10002937.82
47.35,10002937.8
47.95,10002937.83
48.77,10002937.87
49.38,10002937.85
50.01,10002937.78
50.64,10002937.77
51.25,10002937.75
51.88,10002937.79
52.48,10002937.78
53.3,10002937.73
53.91,10002937.68
54.53,10002937.7
55.14,10002937.69
55.78,10002937.65
56.39,10002937.65
57.2,10002937.62
57.81,10002937.65
58.44,10002937.67
59.05,10002937.67
59.67,10002937.71
60.31,10002937.76
60.94,10002937.89
61.55,10002937.8
62.36,10002937.92
62.98,10002938.05
63.63,10002938.02
64.24,10002938.09
64.84,10002938.12
65.45,10002938.07
66.28,10002938.09
66.89,10002938.11
67.5,10002938.11
68.14,10002938.14
68.76,10002938.19
69.36,10002938.3
69.97,10002938.32
70.78,10002938.33
71.39,10002938.39
72,10002938.48
72.62,10002938.47
73.23,10002938.53
73.85,10002938.55
74.7,10002938.56
75.31,10002938.62
75.95,10002938.66
76.56,10002938.71
77.19,10002938.75
77.8,10002938.77
78.41,10002938.78
79.22,10002938.76
79.84,10002938.77
80.48,10002938.82
81.12,10002938.79
81.73,10002938.84
82.39,10002938.89
83,10002938.9
83.64,10002938.91
84.27,10002938.95
84.89,10002939.01
85.53,10002938.89
86.17,10002938.97
86.81,10002938.99
87.64,10002938.99
88.26,10002938.99
88.86,10002938.93
89.48,10002938.94
90.09,10002939.01
90.73,10002939.02
91.36,10002939.05
92.2,10002939.09
92.81,10002939.09
93.42,10002938.98
94.06,10002938.98
94.69,10002938.95
95.31,10002938.82
95.93,10002938.83
96.56,10002938.86
97.2,10002938.83
98.03,10002938.95
98.64,10002938.95
99.26,10002939.02
99.86,10002939.05
100.48,10002939.03
101.11,10002939.06
101.73,10002939.06
102.56,10002939.08
103.19,10002939.05
103.8,10002939.06
104.41,10002938.96
105.03,10002938.98
105.64,10002939.01
106.25,10002939.02
106.89,10002939.03
107.71,10002939.03
108.32,10002938.99
108.94,10002938.99
109.56,10002939.02
110.2,10002938.99
110.81,10002939.01
111.43,10002939.01
112.26,10002939.03
112.88,10002939.04
113.52,10002939.12
114.13,10002939.09
114.74,10002939.08
115.38,10002939.19
115.98,10002939.25
116.64,10002939.24
117.26,10002939.18
118.07,10002939.18
118.69,10002939.21
119.3,10002939.23
119.92,10002939.34
120.55,10002939.49
121.16,10002939.47
121.98,10002939.49
122.62,10002939.45
123.22,10002939.47
123.85,10002939.4
124.48,10002939.41
125.14,10002939.45
125.77,10002939.51
126.39,10002939.5
127,10002939.5
127.82,10002939.53
128.44,10002939.57
129.06,10002939.62
129.67,10002939.65
130.29,10002939.51
130.91,10002939.49
