Relative_time,Resonance_Frequency
0,10002794.21
0.63,10002794.19
1.23,10002794.2
1.85,10002794.21
2.46,10002794.18
3.29,10002794.18
3.9,10002794.18
4.51,10002794.19
5.12,10002794.22
5.73,10002794.24
6.35,10002794.26
6.99,10002794.28
7.82,10002794.28
8.43,10002794.3
9.04,10002794.27
9.68,10002794.29
10.3,10002794.27
10.92,10002794.29
11.53,10002794.29
12.35,10002794.3
12.96,10002794.3
13.57,10002794.3
14.19,10002794.3
14.81,10002794.3
15.42,10002794.3
16.24,10002794.26
16.85,10002794.27
17.48,10002794.31
18.1,10002794.28
18.75,10002794.28
19.35,10002794.29
20.01,10002794.32
20.64,10002794.31
21.29,10002794.33
21.92,10002794.33
22.53,10002794.3
23.34,10002794.31
23.95,10002794.31
24.57,10002794.28
25.2,10002794.3
25.81,10002794.29
26.43,10002794.29
27.07,10002794.28
27.71,10002794.28
28.56,10002794.28
29.18,10002794.28
29.82,10002794.27
30.44,10002794.27
31.06,10002794.24
31.67,10002794.26
32.28,10002794.29
32.89,10002794.28
33.72,10002794.27
34.34,10002794.29
34.96,10002794.29
35.57,10002794.32
36.19,10002794.34
36.82,10002794.31
37.46,10002794.31
38.1,10002794.29
38.93,10002794.26
39.54,10002794.23
40.17,10002794.22
40.78,10002794.21
41.4,10002794.23
42.03,10002794.23
42.64,10002794.24
43.26,10002794.22
44.11,10002794.23
44.72,10002794.21
45.33,10002794.23
45.95,10002794.26
46.57,10002794.17
47.18,10002794.21
47.82,10002794.23
48.46,10002794.18
49.28,10002794.17
49.9,10002794.17
50.53,10002794.19
51.14,10002794.18
51.75,10002794.03
52.38,10002793.94
52.99,10002793.84
53.82,10002793.75
54.43,10002793.72
55.05,10002793.67
55.66,10002793.62
56.26,10002793.57
56.89,10002793.53
57.52,10002793.52
58.33,10002793.53
58.94,10002793.51
59.54,10002793.51
60.15,10002793.49
60.78,10002793.49
61.4,10002793.46
62.21,10002793.46
62.86,10002793.47
63.47,10002793.46
64.1,10002793.44
64.76,10002793.32
65.37,10002793.3
65.98,10002793.25
66.6,10002793.21
67.26,10002793.21
67.89,10002793.15
68.71,10002793.13
69.35,10002793.12
70.01,10002793.1
70.65,10002793.1
71.27,10002793.07
71.89,10002793.1
72.51,10002793.12
73.13,10002793.12
73.74,10002793.11
74.36,10002793.08
75.17,10002793.09
75.78,10002793.11
76.39,10002793.09
77,10002793.05
77.63,10002793.07
78.24,10002793.03
79.07,10002793.08
79.7,10002793.09
80.31,10002793.03
80.93,10002793.11
81.56,10002793.08
82.17,10002793.09
82.78,10002793
83.6,10002792.95
84.22,10002793.09
84.83,10002793.2
85.46,10002793.27
86.11,10002793.35
86.72,10002793.37
87.35,10002793.45
88.01,10002793.53
88.65,10002793.53
89.29,10002793.55
89.92,10002793.56
90.75,10002793.56
91.38,10002793.56
92,10002793.56
92.6,10002793.57
93.21,10002793.6
93.82,10002793.59
94.44,10002793.61
95.28,10002793.61
95.89,10002793.62
96.51,10002793.62
97.13,10002793.7
97.76,10002793.67
98.38,10002793.68
99.01,10002793.69
99.83,10002793.69
100.45,10002793.73
101.06,10002793.74
101.68,10002793.75
102.31,10002793.75
102.92,10002793.75
103.53,10002793.79
104.36,10002793.76
104.96,10002793.73
105.59,10002793.69
106.21,10002793.69
106.87,10002793.71
107.49,10002793.71
108.12,10002793.71
108.76,10002793.71
109.4,10002793.73
110.03,10002793.7
110.65,10002793.73
111.47,10002793.74
112.08,10002793.72
112.68,10002793.76
113.3,10002793.73
113.9,10002793.79
114.72,10002793.79
115.32,10002793.87
115.93,10002793.89
116.54,10002793.87
117.15,10002793.88
117.76,10002793.91
118.58,10002793.89
119.21,10002793.89
119.84,10002793.87
120.47,10002793.82
121.08,10002793.85
121.68,10002793.86
122.31,10002793.86
123.13,10002793.86
123.76,10002793.79
124.38,10002793.78
