Relative_time,Resonance_Frequency
0,10002958.39
0.64,10002958.46
1.27,10002958.46
1.88,10002958.49
2.7,10002958.42
3.32,10002958.45
3.94,10002958.54
4.55,10002958.43
5.17,10002958.43
5.79,10002958.39
6.42,10002958.4
7.24,10002958.4
7.88,10002958.42
8.5,10002958.44
9.11,10002958.45
9.72,10002958.39
10.33,10002958.35
10.94,10002958.37
11.77,10002958.33
12.38,10002958.26
13,10002958.23
13.62,10002958.26
14.22,10002958.28
14.84,10002958.25
15.48,10002958.32
16.3,10002958.34
16.91,10002958.31
17.53,10002958.19
18.16,10002958.21
18.77,10002958.27
19.38,10002958.19
20.2,10002958.21
20.82,10002958.2
21.44,10002958.21
22.05,10002958.3
22.67,10002958.34
23.29,10002958.38
23.9,10002958.4
24.72,10002958.39
25.34,10002958.43
25.95,10002958.39
26.58,10002958.31
27.2,10002958.27
27.82,10002958.33
28.42,10002958.4
29.27,10002958.43
29.89,10002958.4
30.52,10002958.33
31.13,10002958.31
31.75,10002958.31
32.36,10002958.26
32.97,10002958.25
33.81,10002958.18
34.44,10002958.16
35.05,10002958.21
35.66,10002958.22
36.27,10002958.19
36.88,10002958.19
37.52,10002958.25
38.34,10002958.31
39,10002958.32
39.61,10002958.32
40.25,10002958.33
40.89,10002958.25
41.5,10002958.29
42.11,10002958.29
42.72,10002958.33
43.33,10002958.35
44.24,10002958.27
44.76,10002958.33
45.37,10002958.28
45.98,10002958.29
46.59,10002958.21
47.2,10002958.22
48.02,10002958.13
48.64,10002958.2
49.26,10002958.25
49.89,10002958.37
50.51,10002958.29
51.14,10002958.31
51.75,10002958.38
52.58,10002958.45
53.18,10002958.32
53.79,10002958.38
54.43,10002958.3
55.09,10002958.34
55.72,10002958.37
56.35,10002958.39
56.96,10002958.39
57.76,10002958.3
58.39,10002958.29
59,10002958.35
59.61,10002958.24
60.22,10002958.25
60.83,10002958.22
61.45,10002958.22
62.3,10002958.29
62.94,10002958.3
63.54,10002958.36
64.16,10002958.35
64.77,10002958.36
65.37,10002958.36
66,10002958.42
66.82,10002958.44
67.42,10002958.31
68.03,10002958.34
68.64,10002958.35
69.25,10002958.39
70.06,10002958.37
70.67,10002958.28
71.28,10002958.22
71.91,10002958.16
72.52,10002958.08
73.13,10002958.08
73.95,10002958.07
74.61,10002958.14
75.24,10002958.17
75.85,10002958.12
76.45,10002958.2
77.06,10002958.19
77.68,10002958.25
78.49,10002958.27
79.1,10002958.34
79.7,10002958.32
80.31,10002958.28
80.92,10002958.26
81.74,10002958.17
82.35,10002958.15
82.95,10002958.13
83.56,10002958.1
84.18,10002958.16
84.78,10002958.14
85.61,10002958.22
86.25,10002958.22
86.87,10002958.26
87.47,10002958.25
88.08,10002958.25
88.69,10002958.24
89.5,10002958.22
90.11,10002958.23
90.72,10002958.29
91.33,10002958.22
91.94,10002958.31
92.56,10002958.41
93.2,10002958.41
94.02,10002958.43
94.64,10002958.37
95.27,10002958.42
95.88,10002958.45
96.49,10002958.46
97.1,10002958.51
97.75,10002958.53
98.56,10002958.49
99.2,10002958.45
99.82,10002958.5
100.42,10002958.52
101.03,10002958.45
101.64,10002958.44
102.45,10002958.41
103.07,10002958.49
103.69,10002958.58
104.31,10002958.61
104.94,10002958.71
105.55,10002958.71
106.17,10002958.65
106.98,10002958.56
107.59,10002958.52
108.21,10002958.58
108.82,10002958.58
109.44,10002958.57
110.05,10002958.62
110.86,10002958.56
111.47,10002958.57
112.09,10002958.58
112.72,10002958.65
113.33,10002958.66
113.94,10002958.76
114.75,10002958.78
115.37,10002958.77
115.98,10002958.78
116.59,10002958.74
117.2,10002958.77
118.02,10002958.78
118.62,10002958.77
119.23,10002958.77
119.84,10002958.78
120.45,10002958.78
121.06,10002958.8
121.87,10002958.81
122.48,10002958.87
123.09,10002958.85
123.72,10002958.83
124.33,10002958.83
125.15,10002958.72
125.75,10002958.71
126.37,10002958.67
126.98,10002958.72
127.59,10002958.73
128.21,10002958.72
128.84,10002958.75
129.67,10002958.67
130.29,10002958.65
130.9,10002958.76
131.52,10002958.75
132.12,10002958.74
132.78,10002958.73
133.41,10002958.76
134.02,10002958.78
134.83,10002958.69
135.44,10002958.7
136.06,10002958.65
136.67,10002958.69
137.29,10002958.6
138.09,10002958.61
138.7,10002958.65
139.31,10002958.67
139.92,10002958.67
140.53,10002958.64
141.14,10002958.64
141.96,10002958.59
142.58,10002958.51
143.2,10002958.45
143.83,10002958.45
144.44,10002958.51
145.05,10002958.49
145.88,10002958.49
146.5,10002958.47
147.11,10002958.41
147.73,10002958.45
148.34,10002958.47
148.98,10002958.49
149.58,10002958.48
150.4,10002958.45
151.02,10002958.43
151.65,10002958.45
152.26,10002958.45
152.87,10002958.41
153.47,10002958.43
154.29,10002958.42
154.9,10002958.43
155.52,10002958.47
156.13,10002958.45
156.75,10002958.42
157.35,10002958.53
158.16,10002958.51
158.77,10002958.51
159.38,10002958.5
159.99,10002958.51
160.6,10002958.53
161.41,10002958.53
