Relative_time,Resonance_Frequency
0.0,9983981.52
0.83,9983981.52
1.46,9983981.53
2.07,9983981.52
2.69,9983981.55
3.31,9983981.59
3.93,9983981.61
4.54,9983981.62
5.36,9983981.64
5.98,9983981.66
6.61,9983981.68
7.23,9983981.7
7.84,9983981.72
8.46,9983981.75
9.29,9983981.77
9.91,9983981.77
10.53,9983981.79
11.14,9983981.78
11.77,9983981.8
12.39,9983981.83
13.0,9983981.85
13.81,9983981.84
14.43,9983981.86
15.05,9983981.88
15.66,9983981.93
16.27,9983981.95
17.1,9983981.99
17.71,9983981.99
18.33,9983982.03
18.96,9983982.03
19.58,9983982.07
20.21,9983982.07
20.83,9983982.12
21.65,9983982.14
22.27,9983982.17
22.9,9983982.18
23.52,9983982.15
24.15,9983982.16
24.77,9983982.16
25.4,9983982.17
26.23,9983982.21
26.84,9983982.23
27.46,9983982.23
28.08,9983982.24
28.7,9983982.25
29.33,9983982.28
29.95,9983982.3
30.77,9983982.32
31.41,9983982.34
32.02,9983982.37
32.64,9983982.38
33.26,9983982.4
33.87,9983982.45
34.48,9983982.47
35.31,9983982.48
35.91,9983982.4
36.54,9983982.41
37.16,9983982.41
37.79,9983982.42
38.42,9983982.42
39.04,9983982.42
39.87,9983982.42
40.48,9983982.43
41.08,9983982.43
41.69,9983982.44
42.31,9983982.45
43.15,9983982.49
43.77,9983982.49
44.4,9983982.5
45.02,9983982.5
45.63,9983982.51
46.24,9983982.54
46.87,9983982.57
47.7,9983982.59
48.33,9983982.57
48.95,9983982.57
49.56,9983982.61
50.18,9983982.63
50.81,9983982.57
51.43,9983982.6
52.24,9983982.62
52.85,9983982.63
53.46,9983982.59
54.07,9983982.63
54.68,9983982.66
55.33,9983982.66
56.16,9983982.68
56.77,9983982.68
57.4,9983982.7
58.0,9983982.71
58.62,9983982.71
59.25,9983982.71
60.05,9983982.75
60.69,9983982.76
61.31,9983982.79
61.94,9983982.79
62.56,9983982.8
63.21,9983982.8
63.84,9983982.81
64.46,9983982.85
65.09,9983982.85
65.91,9983982.87
66.54,9983982.84
67.16,9983982.86
67.79,9983982.89
68.41,9983982.91
69.02,9983982.9
69.64,9983982.89
70.45,9983982.9
71.06,9983982.91
71.68,9983982.95
72.3,9983982.98
72.91,9983982.97
