Relative_time,Resonance_Frequency
0.0,9983767.71
0.61,9983767.72
1.23,9983767.73
2.06,9983767.76
2.69,9983767.79
3.32,9983767.78
3.94,9983767.82
4.55,9983767.85
5.16,9983767.84
5.97,9983767.88
6.58,9983767.93
7.19,9983767.93
7.8,9983767.94
8.41,9983767.95
9.22,9983767.98
9.83,9983767.97
10.43,9983767.98
11.04,9983767.99
11.65,9983768.03
12.48,9983768.01
13.09,9983768.05
13.7,9983768.06
14.31,9983768.06
14.92,9983768.07
15.73,9983768.06
16.34,9983768.08
16.96,9983768.11
17.58,9983768.14
18.18,9983768.17
18.81,9983768.17
19.64,9983768.19
20.25,9983768.23
20.86,9983768.24
21.48,9983768.25
22.11,9983768.25
22.73,9983768.27
23.55,9983768.27
24.17,9983768.29
24.8,9983768.3
25.42,9983768.34
26.05,9983768.36
26.66,9983768.36
27.28,9983768.36
28.1,9983768.38
28.73,9983768.38
29.34,9983768.4
29.95,9983768.4
30.58,9983768.39
31.19,9983768.36
32.02,9983768.37
32.62,9983768.39
33.25,9983768.38
33.85,9983768.37
34.46,9983768.36
35.29,9983768.35
35.92,9983768.34
36.54,9983768.29
37.18,9983768.27
37.81,9983768.26
38.42,9983768.25
39.03,9983768.22
39.84,9983768.23
40.45,9983768.22
41.07,9983768.21
41.69,9983768.18
42.3,9983768.19
43.11,9983768.18
43.73,9983768.17
44.34,9983768.14
44.96,9983768.14
45.59,9983768.15
46.21,9983768.15
46.83,9983768.16
47.64,9983768.16
48.27,9983768.17
48.89,9983768.17
49.52,9983768.15
50.14,9983768.16
50.75,9983768.19
51.58,9983768.17
52.21,9983768.18
52.83,9983768.2
53.45,9983768.2
54.06,9983768.19
54.67,9983768.19
55.29,9983768.17
56.11,9983768.21
56.73,9983768.22
57.34,9983768.19
57.96,9983768.2
58.56,9983768.2
59.4,9983768.19
60.02,9983768.2
60.65,9983768.22
61.25,9983768.25
61.88,9983768.24
62.5,9983768.28
63.13,9983768.27
63.96,9983768.31
64.59,9983768.34
65.2,9983768.37
65.8,9983768.39
66.43,9983768.38
67.06,9983768.4
67.87,9983768.43
68.48,9983768.45
69.1,9983768.48
69.71,9983768.51
70.33,9983768.56
70.96,9983768.6
71.79,9983768.61
72.42,9983768.64
73.04,9983768.66
73.67,9983768.69
74.29,9983768.74
74.9,9983768.78
75.52,9983768.79
76.33,9983768.82
76.94,9983768.85
77.56,9983768.88
78.19,9983768.9
78.82,9983768.94
79.44,9983768.98
80.05,9983769.02
80.86,9983769.04
81.48,9983769.08
82.09,9983769.11
82.71,9983769.15
83.32,9983769.14
84.13,9983769.2
84.73,9983769.27
85.34,9983769.27
85.96,9983769.32
86.57,9983769.37
87.39,9983769.37
88.02,9983769.39
88.64,9983769.43
89.27,9983769.45
89.87,9983769.48
90.5,9983769.51
91.33,9983769.52
91.96,9983769.57
92.58,9983769.6
93.21,9983769.62
93.81,9983769.65
94.44,9983769.67
95.06,9983769.64
95.69,9983769.66
96.51,9983769.67
97.15,9983769.7
97.77,9983769.72
98.4,9983769.75
99.01,9983769.77
99.63,9983769.8
100.25,9983769.79
101.07,9983769.81
101.69,9983769.81
102.3,9983769.79
102.92,9983769.79
103.52,9983769.76
104.34,9983769.77
104.95,9983769.81
105.58,9983769.82
106.19,9983769.82
106.79,9983769.83
107.41,9983769.79
108.21,9983769.81
108.82,9983769.85
109.45,9983769.86
110.06,9983769.86
110.67,9983769.86
111.48,9983769.86
112.11,9983769.87
112.73,9983769.87
113.34,9983769.89
113.95,9983769.89
114.77,9983769.9
115.39,9983769.91
116.0,9983769.87
116.61,9983769.86
117.23,9983769.84
117.84,9983769.84
118.66,9983769.85
119.27,9983769.85
119.9,9983769.83
120.51,9983769.83
121.13,9983769.84
121.73,9983769.84
122.54,9983769.84
123.16,9983769.84
123.77,9983769.84
124.38,9983769.84
125.02,9983769.84
125.64,9983769.84
126.46,9983769.85
127.07,9983769.84
127.69,9983769.87
128.31,9983769.88
128.92,9983769.88
129.73,9983769.89
130.36,9983769.89
131.0,9983769.87
131.61,9983769.88
132.23,9983769.92
132.86,9983769.95
133.48,9983769.99
134.11,9983769.98
134.94,9983770.01
135.55,9983770.04
136.17,9983770.06
136.78,9983770.06
137.4,9983770.07
138.21,9983770.07
138.84,9983770.09
139.46,9983770.1
140.09,9983770.14
140.68,9983770.16
141.3,9983770.15
141.93,9983770.16
142.74,9983770.16
143.35,9983770.17
143.96,9983770.2
144.58,9983770.2
145.19,9983770.21
146.01,9983770.19
146.62,9983770.19
147.23,9983770.21
147.84,9983770.21
148.46,9983770.22
149.29,9983770.22
149.9,9983770.22
150.51,9983770.22
151.15,9983770.23
151.77,9983770.23
152.4,9983770.25
153.02,9983770.25
153.65,9983770.26
154.46,9983770.26
155.08,9983770.26
155.69,9983770.26
156.3,9983770.26
156.92,9983770.26
157.76,9983770.27
158.38,9983770.27
158.99,9983770.29
159.6,9983770.29
160.23,9983770.3
160.85,9983770.31
161.48,9983770.31
162.29,9983770.33
162.91,9983770.33
163.52,9983770.33
164.12,9983770.33
164.75,9983770.26
165.58,9983770.26
166.21,9983770.28
166.83,9983770.28
167.46,9983770.27
168.08,9983770.27
168.71,9983770.3
169.31,9983770.3
170.13,9983770.29
170.75,9983770.33
171.36,9983770.34
171.98,9983770.31
172.59,9983770.32
173.21,9983770.29
174.03,9983770.3
174.65,9983770.28
175.25,9983770.27
175.88,9983770.27
176.5,9983770.24
177.13,9983770.26
177.76,9983770.26
178.58,9983770.25
179.18,9983770.28
179.81,9983770.27
