Relative_time,Resonance_Frequency
0,9989567.87
0.63,9989567.68
1.24,9989567.61
1.85,9989567.43
2.46,9989567.28
3.27,9989567.25
3.89,9989567.19
4.5,9989567.03
5.14,9989566.89
5.76,9989566.87
6.39,9989566.66
7,9989565.69
7.82,9989565.46
8.42,9989565.33
9.05,9989565.37
9.67,9989565.47
10.31,9989565.59
10.93,9989565.04
11.55,9989564.88
12.36,9989564.76
12.98,9989564.63
13.58,9989564.52
14.2,9989564.44
14.84,9989564.25
15.48,9989563.93
16.09,9989563.73
16.91,9989563.46
17.52,9989563.1
18.14,9989562.89
18.75,9989562.46
19.39,9989562.36
20.03,9989562.26
20.66,9989562.16
21.27,9989561.99
21.89,9989562.03
22.71,9989562.02
23.35,9989561.98
23.95,9989561.99
24.6,9989562.08
25.21,9989562.1
25.82,9989561.97
26.63,9989561.99
27.25,9989561.99
27.88,9989561.99
28.49,9989561.79
29.12,9989561.83
29.72,9989561.89
30.33,9989561.93
31.14,9989561.88
31.75,9989561.85
32.39,9989561.88
33,9989561.93
33.61,9989561.91
34.25,9989561.97
34.88,9989561.95
35.7,9989561.91
36.34,9989561.81
36.95,9989561.82
37.57,9989561.74
38.21,9989561.75
38.83,9989561.77
39.45,9989561.75
40.06,9989561.8
40.7,9989561.82
41.53,9989561.67
42.16,9989561.63
42.77,9989561.69
43.39,9989561.59
44.01,9989561.64
44.62,9989561.63
45.42,9989561.62
46.06,9989561.67
46.69,9989561.57
47.31,9989561.64
47.95,9989561.69
48.59,9989561.85
49.24,9989561.93
49.89,9989561.95
50.51,9989562.04
51.13,9989562.03
51.78,9989562.09
52.41,9989562.05
53.03,9989562.13
53.67,9989562.08
54.31,9989562.13
54.95,9989562.15
55.78,9989562.15
56.41,9989562.15
57.02,9989562.16
57.66,9989562.2
58.27,9989562.33
58.89,9989562.27
59.51,9989562.29
60.31,9989562.29
60.94,9989562.37
61.56,9989562.37
62.19,9989562.4
62.81,9989562.35
63.45,9989562.34
64.09,9989562.35
64.73,9989562.33
65.37,9989562.26
65.98,9989562.3
66.63,9989562.35
67.45,9989562.38
67.89,9989562.35
68.73,9989562.41
69.38,9989562.38
70.01,9989562.45
70.61,9989562.54
71.23,9989562.62
71.87,9989562.69
72.49,9989562.67
73.09,9989562.65
73.91,9989562.7
74.52,9989562.75
75.14,9989562.65
75.78,9989562.69
76.42,9989562.68
77.03,9989562.75
77.66,9989562.82
78.28,9989562.79
79.1,9989562.85
79.73,9989562.84
80.38,9989562.85
80.98,9989562.79
81.59,9989562.85
82.22,9989562.77
82.83,9989562.72
83.45,9989562.71
84.1,9989562.71
84.92,9989562.73
85.56,9989562.71
86.2,9989562.66
86.84,9989562.67
87.48,9989562.67
88.09,9989562.67
88.73,9989562.67
89.39,9989562.71
90.03,9989562.69
90.64,9989562.62
91.25,9989562.66
91.89,9989562.69
92.52,9989562.73
93.35,9989562.76
93.98,9989562.77
94.61,9989562.71
95.23,9989562.77
95.87,9989562.68
96.47,9989562.69
97.09,9989562.55
97.92,9989562.6
98.53,9989562.5
99.17,9989562.45
99.8,9989562.33
100.42,9989562.39
101.06,9989562.51
101.7,9989562.41
102.31,9989562.4
102.94,9989562.18
103.76,9989562.09
104.38,9989561.99
104.98,9989562.09
105.61,9989562.17
106.23,9989562.23
106.89,9989562.14
107.52,9989562.19
108.14,9989562.22
108.77,9989562.11
109.42,9989561.99
110.25,9989562.01
110.89,9989561.99
111.51,9989561.99
112.11,9989562.01
112.72,9989562.01
113.34,9989562.08
114.16,9989561.99
114.78,9989562.08
115.4,9989562.07
116.03,9989562.02
116.65,9989562.03
117.26,9989562.08
117.86,9989561.89
118.7,9989561.96
119.14,9989561.95
119.96,9989561.87
120.57,9989561.83
121.2,9989561.8
121.82,9989561.76
122.42,9989561.75
123.03,9989561.64
123.85,9989561.61
124.47,9989561.69
125.09,9989561.69
125.7,9989561.7
126.31,9989561.66
126.93,9989561.71
127.56,9989561.61
128.42,9989561.69
129.05,9989561.71
129.66,9989561.78
130.27,9989561.79
130.88,9989561.52
131.48,9989561.51
132.3,9989561.65
132.91,9989561.6
133.52,9989561.45
134.14,9989561.48
134.75,9989561.31
135.38,9989561.57
136.03,9989561.58
136.66,9989561.63
137.48,9989561.61
138.13,9989561.6
138.73,9989561.45
139.39,9989561.47
140.02,9989561.41
140.67,9989561.41
141.31,9989561.51
141.94,9989561.57
142.55,9989561.46
143.36,9989561.35
143.98,9989561.34
144.62,9989561.33
145.23,9989561.35
145.84,9989561.34
146.48,9989561.81
147.14,9989561.81
147.75,9989562.07
148.56,9989562.03
149.19,9989562.05
149.8,9989562.01
150.42,9989562.11
151.05,9989562.09
151.66,9989562.12
152.27,9989562.13
153.08,9989562.21
153.69,9989562.22
154.3,9989562.26
154.91,9989562.31
155.54,9989562.43
156.17,9989562.42
156.99,9989562.25
157.6,9989562.22
158.2,9989562.25
158.84,9989562.27
159.45,9989562.24
160.09,9989562.24
160.7,9989562.25
161.52,9989562.3
