Relative_time,Resonance_Frequency
0,9992753.61
0.61,9992753.7
1.45,9992753.78
2.08,9992753.85
2.69,9992753.71
3.3,9992753.75
3.91,9992753.7
4.55,9992753.76
5.17,9992753.95
6,9992753.94
6.63,9992754
7.23,9992753.97
7.84,9992754.03
8.47,9992754.05
9.08,9992754.13
9.91,9992754.18
10.52,9992754.16
11.12,9992754.21
11.77,9992754.33
12.42,9992754.2
13.04,9992754.21
13.65,9992754.2
14.26,9992754.24
14.92,9992754.31
15.56,9992754.41
16.38,9992754.42
17,9992754.49
17.62,9992754.49
18.23,9992754.49
18.84,9992754.66
19.45,9992754.57
20.28,9992754.59
20.89,9992754.61
21.51,9992754.63
22.17,9992754.65
22.81,9992754.59
23.42,9992754.56
24.06,9992754.57
24.67,9992754.53
25.3,9992754.73
25.94,9992754.75
26.77,9992755.11
27.41,9992755.04
28.04,9992755.05
28.64,9992755.13
29.27,9992755.17
29.87,9992755.21
30.5,9992755.26
31.12,9992755.3
31.77,9992755.29
32.6,9992755.28
33.22,9992755.22
33.83,9992755.24
34.45,9992755.16
35.06,9992755.28
35.7,9992755.37
36.34,9992755.44
36.97,9992755.47
37.79,9992755.23
38.41,9992755.33
39.06,9992755.29
39.69,9992755.19
40.3,9992755.12
40.95,9992755.07
41.57,9992755.11
42.17,9992755.09
42.78,9992755.11
43.59,9992755.12
44.22,9992755.05
44.83,9992755.12
45.44,9992755.22
46.06,9992755.32
46.67,9992755.37
47.49,9992755.35
48.12,9992755.23
48.76,9992755.27
49.37,9992755.31
50.02,9992755.33
50.63,9992755.35
51.26,9992755.15
51.87,9992755.21
52.49,9992755.27
53.34,9992755.28
53.95,9992755.3
54.57,9992755.33
55.17,9992755.31
55.8,9992755.38
56.42,9992755.41
57.06,9992755.53
57.7,9992755.53
58.33,9992755.56
59.14,9992755.55
59.75,9992755.47
60.36,9992755.47
60.97,9992755.49
61.59,9992755.48
62.23,9992755.43
62.86,9992755.42
63.69,9992755.46
64.3,9992755.49
64.9,9992755.52
65.51,9992755.54
66.14,9992755.55
66.76,9992755.57
67.59,9992755.59
68.22,9992755.56
68.83,9992755.65
69.45,9992755.66
70.09,9992755.64
70.72,9992755.63
71.34,9992755.65
71.98,9992755.71
72.6,9992755.8
73.42,9992755.85
74.05,9992755.79
74.65,9992755.83
75.29,9992755.83
75.9,9992755.84
76.56,9992755.91
77.2,9992755.93
77.83,9992755.95
78.45,9992755.83
79.08,9992755.76
79.7,9992755.81
80.56,9992755.84
81.18,9992755.89
81.81,9992755.88
82.42,9992756
83.05,9992756.13
83.65,9992756.09
84.31,9992756.12
84.93,9992756.1
85.55,9992756.13
86.36,9992756.13
86.98,9992756.17
87.6,9992756.2
88.2,9992756.15
88.84,9992756.21
89.45,9992756.05
90.09,9992756.07
90.72,9992756.09
91.56,9992756.1
92.2,9992756.17
92.81,9992756.18
93.43,9992756.17
94.04,9992756.18
94.65,9992756.2
95.27,9992756.18
95.9,9992756.19
96.73,9992756.2
97.37,9992756.17
97.98,9992756.21
98.61,9992756.26
99.23,9992756.23
99.86,9992756.17
100.48,9992756.15
101.09,9992756.22
101.94,9992756.28
102.59,9992756.18
103.22,9992756.2
103.84,9992756.18
104.45,9992756.17
105.08,9992756.31
105.69,9992756.42
106.33,9992756.41
107.15,9992756.39
107.76,9992756.46
108.37,9992756.47
108.99,9992756.29
109.6,9992756.31
110.2,9992756.3
111.03,9992756.3
111.64,9992756.3
112.25,9992756.31
112.86,9992756.27
113.47,9992756.09
114.1,9992756.1
114.92,9992756.11
115.53,9992755.99
116.18,9992755.99
116.82,9992756.01
117.46,9992756.03
118.09,9992756.13
118.71,9992756.2
119.35,9992756.12
120.01,9992756.03
120.62,9992756.07
121.26,9992756.05
121.87,9992756.05
122.7,9992756.03
123.31,9992755.97
