Relative_time,Resonance_Frequency
0,9992727.31
0.61,9992727.24
1.23,9992727.25
1.86,9992727.15
2.47,9992727.22
3.08,9992727.28
3.91,9992727.24
4.53,9992727.17
5.16,9992727.22
5.77,9992727.28
6.39,9992727.3
7.03,9992727.36
7.64,9992727.42
8.27,9992727.45
9.08,9992727.55
9.71,9992727.41
10.32,9992727.47
10.94,9992727.51
11.56,9992727.44
12.2,9992727.51
12.82,9992727.45
13.44,9992727.48
14.27,9992727.52
14.88,9992727.49
15.5,9992727.56
16.11,9992727.6
16.74,9992727.59
17.37,9992727.55
17.97,9992727.6
18.79,9992727.64
19.42,9992727.53
20.03,9992727.61
20.66,9992727.64
21.28,9992727.57
21.92,9992727.63
22.54,9992727.67
23.14,9992727.66
23.97,9992727.52
24.58,9992727.49
25.21,9992727.57
25.83,9992727.63
26.46,9992727.48
27.08,9992727.47
27.69,9992727.53
28.53,9992727.5
29.14,9992727.49
29.77,9992727.57
30.39,9992727.67
31.02,9992727.66
31.63,9992727.63
32.25,9992727.72
32.89,9992727.77
33.52,9992727.64
34.34,9992727.7
34.95,9992727.71
35.57,9992727.71
36.19,9992727.72
36.8,9992727.66
37.42,9992727.63
38.06,9992727.59
38.7,9992727.43
39.52,9992727.31
40.14,9992727.28
40.78,9992727.31
41.42,9992727.19
42.06,9992727.21
42.7,9992727.17
43.31,9992727.19
43.92,9992727.15
44.54,9992727.12
45.36,9992727.01
45.98,9992727.03
46.6,9992727.03
47.21,9992727.03
47.82,9992726.96
48.42,9992726.85
49.24,9992726.86
49.84,9992726.89
50.47,9992726.89
51.08,9992726.89
51.7,9992726.92
52.34,9992726.85
52.95,9992726.72
53.58,9992726.61
54.39,9992726.55
55,9992726.45
55.62,9992726.37
56.33,9992726.47
56.84,9992726.39
57.67,9992726.4
58.3,9992726.41
58.92,9992726.44
59.53,9992726.33
60.15,9992726.29
60.76,9992726.32
61.36,9992726.21
62.17,9992726.11
62.8,9992726.03
63.41,9992726.01
64.03,9992726.08
64.64,9992725.95
65.28,9992725.96
65.89,9992726.03
66.73,9992726
67.34,9992725.91
67.96,9992725.92
68.56,9992725.91
69.2,9992725.95
69.82,9992726.03
70.44,9992726.05
71.26,9992726.05
71.92,9992726.1
72.54,9992726.01
73.16,9992726.03
73.77,9992726.13
74.37,9992726.15
74.98,9992726.12
75.6,9992726.1
76.44,9992726.19
77.05,9992726.09
77.66,9992726.15
78.26,9992726.16
78.87,9992726.05
79.49,9992726.07
80.32,9992726.18
80.91,9992726.31
81.53,9992726.37
82.14,9992726.24
82.75,9992726.26
83.58,9992726.17
84.19,9992726.12
84.8,9992726.16
85.43,9992726.3
86.04,9992726.24
86.65,9992726.25
87.27,9992726.31
88.08,9992726.27
88.7,9992726.29
89.31,9992726.29
89.95,9992726.26
90.59,9992726.26
91.23,9992726.2
91.87,9992726.25
92.48,9992726.32
93.09,9992726.23
93.92,9992726.25
94.56,9992726.22
95.17,9992726.25
95.79,9992726.31
96.41,9992726.29
97.04,9992726.37
97.66,9992726.27
98.3,9992726.27
98.95,9992726.22
99.77,9992726.31
100.4,9992726.36
101.02,9992726.4
101.63,9992726.43
102.27,9992726.41
102.88,9992726.41
103.52,9992726.39
104.16,9992726.49
104.8,9992726.47
105.45,9992726.36
106.08,9992726.35
106.73,9992726.39
107.54,9992726.43
108.15,9992726.35
108.76,9992726.27
109.37,9992726.35
110.01,9992726.46
110.62,9992726.51
111.44,9992726.42
112.05,9992726.37
112.66,9992726.36
113.27,9992726.3
113.9,9992726.3
114.51,9992726.41
115.13,9992726.38
115.98,9992726.47
116.59,9992726.51
117.22,9992726.48
117.83,9992726.37
118.45,9992726.45
119.05,9992726.45
119.67,9992726.39
120.5,9992726.39
121.1,9992726.3
121.74,9992726.33
122.38,9992726.41
123.02,9992726.51
123.65,9992726.45
124.26,9992726.49
124.88,9992726.49
125.49,9992726.49
126.3,9992726.67
126.92,9992726.63
127.54,9992726.67
128.15,9992726.71
128.76,9992726.67
129.58,9992726.63
130.22,9992726.65
130.82,9992726.74
131.44,9992726.69
132.05,9992726.7
132.67,9992726.62
133.28,9992726.62
134.1,9992726.54
134.72,9992726.51
135.34,9992726.55
135.99,9992726.7
136.6,9992726.66
137.23,9992726.77
137.87,9992726.88
138.52,9992726.91
139.16,9992726.97
139.98,9992726.83
140.58,9992726.97
141.19,9992726.99
141.83,9992726.82
142.47,9992726.87
143.13,9992726.83
143.75,9992726.97
144.35,9992727.04
145.16,9992727.05
145.79,9992727.11
146.4,9992727.03
147.02,9992727.07
147.66,9992727.02
148.3,9992727.01
148.94,9992727.05
149.55,9992727.22
150.19,9992727.19
151.01,9992727.13
151.63,9992727.31
152.25,9992727.34
152.85,9992727.39
153.46,9992727.45
154.08,9992727.57
154.69,9992727.58
155.52,9992727.53
156.13,9992727.52
156.76,9992727.59
157.38,9992727.57
158.01,9992727.65
158.63,9992727.67
159.27,9992727.76
159.91,9992727.67
160.55,9992727.71
161.17,9992727.87
161.99,9992727.89
162.6,9992727.98
163.24,9992727.88
163.87,9992727.95
164.48,9992727.89
165.12,9992727.92
165.77,9992727.91
166.41,9992727.99
167.03,9992728.05
167.66,9992727.88
168.3,9992727.88
169.15,9992727.98
169.76,9992727.95
170.38,9992727.97
171.01,9992728.11
171.63,9992728.03
172.24,9992728.13
172.85,9992728.18
173.66,9992728.27
174.3,9992728.39
174.94,9992728.38
175.59,9992728.39
176.24,9992728.4
176.88,9992728.44
177.49,9992728.43
178.11,9992728.44
178.72,9992728.32
179.33,9992728.28
180.16,9992728.44
180.8,9992728.51
181.41,9992728.57
182.05,9992728.57
182.69,9992728.65
183.3,9992728.69
183.92,9992728.65
184.54,9992728.73
185.16,9992728.84
185.98,9992728.83
186.62,9992728.88
187.24,9992728.99
187.88,9992729.05
188.5,9992729.05
189.11,9992729.03
189.71,9992729.12
190.54,9992729.18
191.15,9992729.29
191.76,9992729.14
192.38,9992729.06
193,9992729.04
193.61,9992729.21
194.42,9992729.15
195.04,9992729.15
195.66,9992729.23
196.29,9992729.17
196.91,9992729.29
197.55,9992729.29
198.19,9992729.32
198.83,9992729.37
199.44,9992729.39
200.28,9992729.41
200.9,9992729.31
201.51,9992729.36
202.12,9992729.41
202.76,9992729.37
203.38,9992729.28
204,9992729.3
204.61,9992729.23
205.42,9992729.21
206.04,9992729.24
206.65,9992729.15
207.26,9992729.09
207.87,9992729.1
208.69,9992729.13
209.3,9992729.13
209.94,9992729.13
210.55,9992729.15
211.16,9992729.31
211.78,9992729.32
212.38,9992729.23
