Relative_time,Resonance_Frequency
0,9992680.09
0.63,9992680.15
1.44,9992680.18
2.08,9992680.2
2.72,9992680.23
3.35,9992680.25
3.97,9992680.29
4.58,9992680.29
5.2,9992680.26
5.82,9992680.32
6.66,9992680.36
7.3,9992680.37
7.91,9992680.37
8.54,9992680.33
9.16,9992680.37
9.79,9992680.37
10.4,9992680.34
11.01,9992680.53
11.63,9992680.46
12.44,9992680.83
13.09,9992680.76
13.69,9992680.75
14.3,9992680.83
14.92,9992680.89
15.54,9992680.91
16.16,9992681.08
17.01,9992680.9
17.63,9992680.87
18.24,9992680.93
18.85,9992680.93
19.47,9992680.75
20.08,9992680.72
20.9,9992680.73
21.51,9992680.72
22.16,9992680.7
22.8,9992680.71
23.41,9992680.76
24.04,9992680.77
24.66,9992680.83
25.29,9992680.81
25.9,9992680.79
26.72,9992680.81
27.33,9992680.74
27.95,9992680.77
28.57,9992680.87
29.18,9992680.89
29.79,9992680.86
30.62,9992680.83
31.23,9992680.81
31.85,9992680.79
32.47,9992680.79
33.12,9992680.75
33.76,9992680.75
34.38,9992680.77
34.99,9992680.67
35.63,9992680.68
36.24,9992680.69
37.08,9992680.68
37.7,9992680.69
38.3,9992680.63
38.91,9992680.63
39.53,9992680.67
40.13,9992680.63
40.98,9992680.68
41.59,9992680.69
42.2,9992680.75
42.8,9992680.79
43.43,9992680.79
44.04,9992680.77
44.86,9992680.81
45.48,9992680.75
46.11,9992680.69
46.76,9992680.65
47.39,9992680.67
48,9992680.65
48.6,9992680.65
49.22,9992680.64
50.05,9992680.62
50.67,9992680.58
51.29,9992680.59
51.9,9992680.62
52.52,9992680.64
53.14,9992680.66
53.77,9992680.67
54.41,9992680.65
55.22,9992680.65
55.84,9992680.55
56.44,9992680.59
57.05,9992680.57
57.68,9992680.53
58.3,9992680.57
58.94,9992680.59
59.58,9992680.57
60.22,9992680.56
61.05,9992680.52
61.68,9992680.53
62.3,9992680.47
62.93,9992680.48
63.54,9992680.51
64.16,9992680.52
64.78,9992680.55
65.58,9992680.65
66.2,9992680.66
66.83,9992680.65
67.47,9992680.65
68.11,9992680.69
68.77,9992680.71
69.4,9992680.75
70.04,9992680.77
70.66,9992680.75
71.28,9992680.75
71.88,9992680.74
72.52,9992680.75
73.33,9992680.72
73.98,9992680.69
74.61,9992680.69
75.24,9992680.69
75.86,9992680.67
76.51,9992680.7
77.11,9992680.71
77.72,9992680.83
78.54,9992680.88
79.15,9992680.89
79.76,9992680.91
80.36,9992680.91
81.02,9992680.98
81.63,9992681.02
82.24,9992681.04
83.05,9992681.07
83.68,9992681.03
84.29,9992681.03
84.9,9992680.99
85.51,9992680.97
86.33,9992680.94
86.94,9992680.99
87.58,9992680.99
88.19,9992681.01
88.82,9992681.01
89.44,9992681.05
90.08,9992681.01
90.73,9992680.99
91.34,9992681.03
92.15,9992681.08
92.77,9992681.08
93.39,9992681.05
94,9992681.05
94.61,9992681.07
95.24,9992681.09
95.85,9992681.03
96.69,9992681.03
97.32,9992681.03
97.93,9992680.98
98.55,9992681.01
99.19,9992681.01
99.82,9992680.99
100.44,9992680.96
101.06,9992680.95
101.86,9992680.92
102.52,9992680.89
103.14,9992680.9
103.75,9992680.88
104.37,9992680.89
105,9992680.85
105.62,9992680.88
106.23,9992680.93
107.05,9992680.93
107.66,9992680.9
108.29,9992680.95
108.9,9992680.93
109.55,9992680.9
110.19,9992680.81
110.82,9992680.79
111.43,9992680.78
112.24,9992680.71
112.85,9992680.67
113.48,9992680.61
114.1,9992680.57
114.71,9992680.59
115.32,9992680.56
115.93,9992680.58
116.77,9992680.57
117.38,9992680.6
118.01,9992680.63
118.61,9992680.58
119.22,9992680.53
119.84,9992680.55
120.65,9992680.49
121.29,9992680.45
121.9,9992680.43
122.51,9992680.43
123.11,9992680.41
123.72,9992680.39
124.54,9992680.32
125.16,9992680.33
125.77,9992680.41
126.39,9992680.35
127.01,9992680.38
127.65,9992680.37
128.26,9992680.41
