Relative_time,Resonance_Frequency
0,9977675.62
0.61,9977675.63
1.24,9977675.69
1.85,9977675.61
2.49,9977675.55
3.09,9977675.48
3.73,9977675.4
4.56,9977675.43
5.17,9977675.55
5.81,9977675.62
6.43,9977675.33
7.04,9977675.27
7.84,9977675.16
8.5,9977675.17
9.11,9977675.24
9.75,9977675.27
10.38,9977675.27
11,9977675.29
11.64,9977675.37
12.26,9977675.41
12.87,9977675.42
13.68,9977675.46
14.31,9977675.43
14.94,9977675.43
15.55,9977675.46
16.16,9977675.47
16.78,9977675.45
17.39,9977675.43
18.23,9977675.43
18.84,9977675.45
19.47,9977675.45
20.09,9977675.42
20.74,9977675.37
21.37,9977675.38
21.99,9977675.41
22.59,9977675.4
23.24,9977675.44
24.06,9977675.41
24.69,9977675.45
25.31,9977675.48
25.95,9977675.5
26.58,9977675.49
27.21,9977675.51
27.82,9977675.49
28.45,9977675.53
29.09,9977675.52
29.72,9977675.49
30.53,9977675.51
31.17,9977675.51
31.79,9977675.56
32.39,9977675.63
33.03,9977675.59
33.64,9977675.49
34.27,9977675.53
34.88,9977675.63
35.71,9977675.77
36.35,9977675.81
36.95,9977675.75
37.56,9977675.77
38.2,9977675.51
38.84,9977675.69
39.49,9977675.92
40.11,9977676.03
40.74,9977676.03
41.55,9977676.01
42.17,9977676.03
42.8,9977676.01
43.42,9977676.06
44.03,9977676.01
44.67,9977676.03
45.31,9977676.05
45.95,9977676.07
46.56,9977676.07
47.19,9977676.09
48.01,9977676.05
48.62,9977676.02
49.22,9977676.01
49.84,9977676.04
50.45,9977676.01
51.09,9977676.03
51.92,9977676.07
52.56,9977676.1
53.18,9977676.16
53.8,9977676.1
54.42,9977676.11
55.04,9977676.17
55.64,9977676.2
56.26,9977676.28
57.09,9977676.28
57.71,9977676.31
58.31,9977676.31
58.92,9977676.29
59.53,9977676.33
60.34,9977676.37
60.97,9977676.38
61.6,9977676.37
62.22,9977676.39
62.85,9977676.4
63.49,9977676.41
64.13,9977676.44
64.74,9977676.45
65.39,9977676.51
66.03,9977676.43
66.67,9977676.47
67.3,9977676.46
68.11,9977676.49
68.75,9977676.52
69.37,9977676.53
69.98,9977676.53
70.59,9977676.55
71.21,9977676.49
71.84,9977676.49
72.5,9977676.49
73.11,9977676.51
73.75,9977676.5
74.56,9977676.46
75.17,9977676.48
75.78,9977676.49
76.4,9977676.53
77.01,9977676.56
77.81,9977676.54
78.44,9977676.21
79.06,9977676.23
79.67,9977676.3
80.3,9977676.35
80.91,9977676.4
81.73,9977676.43
82.34,9977676.45
82.95,9977676.45
83.57,9977676.44
84.18,9977676.4
84.79,9977676.41
85.42,9977676.39
86.25,9977676.38
86.87,9977676.38
87.47,9977676.32
88.09,9977676.3
88.75,9977676.27
89.39,9977676.25
90.03,9977676.27
90.64,9977676.23
91.45,9977676.25
92.06,9977676.19
92.7,9977676.41
93.31,9977676.42
93.95,9977676.41
94.59,9977676.41
95.21,9977676.46
95.84,9977676.48
96.49,9977676.48
97.1,9977676.48
97.75,9977676.43
98.56,9977676.57
99.17,9977676.53
99.79,9977676.59
100.42,9977676.6
101.06,9977676.57
101.67,9977676.57
102.31,9977676.49
102.96,9977676.51
103.78,9977676.59
104.42,9977676.69
105.06,9977676.73
105.69,9977676.71
106.3,9977676.75
106.91,9977676.75
107.52,9977676.72
108.14,9977676.71
108.95,9977676.61
109.56,9977676.65
110.18,9977676.67
110.8,9977676.79
111.42,9977676.77
112.04,9977676.75
112.67,9977676.74
113.51,9977676.73
114.14,9977676.69
114.78,9977676.66
115.4,9977676.67
116.02,9977676.73
116.63,9977676.73
117.24,9977676.65
118.06,9977676.64
118.68,9977676.72
119.3,9977676.77
119.91,9977676.8
120.53,9977676.8
121.15,9977676.8
121.78,9977676.83
122.41,9977676.85
123.25,9977676.89
123.89,9977677.01
124.53,9977677.03
125.15,9977676.62
125.76,9977676.63
126.39,9977676.71
127,9977676.73
