Relative_time,Resonance_Frequency
0,9977698.98
0.6,9977698.9
1.43,9977698.83
2.07,9977698.74
2.68,9977698.68
3.29,9977698.63
3.93,9977698.53
4.56,9977698.49
5.18,9977698.43
5.8,9977698.34
6.6,9977698.28
7.24,9977698.22
7.85,9977698.16
8.5,9977698.08
9.1,9977698
9.72,9977697.94
10.34,9977697.89
11.15,9977697.84
11.79,9977697.76
12.4,9977697.67
13.02,9977697.62
13.63,9977697.53
14.25,9977697.47
14.88,9977697.4
15.52,9977697.33
16.34,9977697.23
16.95,9977697.14
17.57,9977697.04
18.21,9977696.95
18.85,9977696.86
19.49,9977696.74
20.1,9977696.65
20.74,9977696.58
21.35,9977696.5
21.99,9977696.39
22.63,9977696.32
23.45,9977696.26
24.07,9977696.23
24.68,9977696.16
25.31,9977696.09
25.92,9977696.05
26.57,9977696.02
27.21,9977695.98
27.84,9977695.94
28.46,9977695.91
29.28,9977695.86
29.88,9977695.84
30.51,9977695.77
31.13,9977695.75
31.77,9977695.74
32.39,9977695.72
33.01,9977695.7
33.82,9977695.68
34.44,9977695.66
35.05,9977695.59
35.67,9977695.57
36.29,9977695.58
36.92,9977695.58
37.54,9977695.58
38.38,9977695.58
38.99,9977695.58
39.6,9977695.59
40.21,9977695.53
40.85,9977695.55
41.46,9977695.58
42.1,9977695.61
42.74,9977695.64
43.57,9977695.64
44.21,9977695.66
44.85,9977695.68
45.49,9977695.68
46.13,9977695.72
46.74,9977695.72
47.35,9977695.75
47.99,9977695.74
48.63,9977695.76
49.24,9977695.78
49.85,9977695.81
50.49,9977695.83
51.32,9977695.82
51.95,9977695.85
52.56,9977695.86
53.17,9977695.87
53.79,9977695.87
54.41,9977695.85
55.04,9977695.87
55.85,9977695.88
56.5,9977695.89
57.14,9977695.89
57.74,9977695.9
58.36,9977695.9
58.97,9977695.9
59.57,9977695.9
60.4,9977695.9
61.01,9977695.9
61.63,9977695.91
62.29,9977695.91
62.92,9977695.94
63.54,9977695.89
64.17,9977695.89
64.82,9977695.9
65.46,9977695.85
66.07,9977695.86
66.71,9977695.87
67.35,9977695.9
68.17,9977695.9
68.8,9977695.9
69.4,9977695.9
70.03,9977695.9
70.63,9977695.9
71.29,9977695.93
71.9,9977695.93
72.54,9977695.97
73.36,9977695.95
73.97,9977695.97
74.58,9977695.98
75.18,9977695.96
75.79,9977695.98
76.41,9977695.98
77.24,9977695.97
77.86,9977695.97
78.47,9977695.94
79.09,9977695.94
79.7,9977695.94
80.32,9977695.89
80.96,9977695.89
81.6,9977695.9
82.43,9977695.9
83.07,9977695.9
83.7,9977695.9
84.32,9977695.87
84.96,9977695.87
85.59,9977695.89
86.21,9977695.89
86.82,9977695.92
87.44,9977695.87
88.07,9977695.87
88.88,9977695.88
89.49,9977695.88
90.11,9977695.88
90.72,9977695.88
91.34,9977695.88
91.96,9977695.88
92.8,9977695.88
93.43,9977695.88
94.04,9977695.88
94.67,9977695.89
95.29,9977695.84
95.9,9977695.87
96.51,9977695.89
97.13,9977695.89
97.79,9977695.92
98.6,9977695.92
99.24,9977695.92
99.86,9977695.92
100.49,9977695.92
101.11,9977695.92
101.72,9977695.95
102.33,9977695.98
103.13,9977696.01
103.75,9977695.98
104.36,9977696.01
104.96,9977695.93
105.58,9977695.95
106.21,9977695.95
107.03,9977695.99
107.68,9977695.95
108.3,9977695.95
108.92,9977695.98
109.53,9977696
110.16,9977696.02
110.77,9977696.05
111.38,9977696.05
112.2,9977696.11
112.82,9977696.17
113.46,9977696.17
114.1,9977696.21
114.74,9977696.23
115.36,9977696.28
115.99,9977696.33
116.6,9977696.38
117.22,9977696.42
118.04,9977696.46
118.68,9977696.51
119.31,9977696.55
119.93,9977696.62
120.57,9977696.66
121.2,9977696.7
121.81,9977696.74
122.43,9977696.78
123.06,9977696.83
123.87,9977696.9
124.49,9977696.93
125.1,9977696.98
125.71,9977697.02
126.34,9977697.07
126.95,9977697.13
127.76,9977697.22
128.39,9977697.28
129.04,9977697.34
129.65,9977697.4
130.26,9977697.46
130.88,9977697.52
131.5,9977697.55
132.32,9977697.61
132.95,9977697.67
133.56,9977697.72
134.18,9977697.71
134.8,9977697.75
135.43,9977697.77
136.07,9977697.82
136.67,9977697.83
137.5,9977697.85
138.11,9977697.89
138.73,9977697.93
139.34,9977697.95
139.95,9977698.01
140.56,9977698.03
