Relative_time,Resonance_Frequency
0,9977707.65
0.64,9977707.66
1.25,9977707.7
1.86,9977707.75
2.68,9977707.76
3.33,9977707.75
3.96,9977707.77
4.58,9977707.81
5.22,9977707.82
5.83,9977707.84
6.45,9977707.85
7.06,9977707.82
7.86,9977707.82
8.49,9977707.83
9.11,9977707.83
9.73,9977707.83
10.36,9977707.85
10.97,9977707.87
11.58,9977707.87
12.43,9977707.9
13.04,9977707.92
13.64,9977707.89
14.26,9977707.9
14.86,9977707.91
15.47,9977707.86
16.29,9977707.87
16.9,9977707.92
17.5,9977707.91
18.11,9977707.94
18.73,9977707.93
19.54,9977707.99
20.14,9977708.05
20.75,9977708.09
21.39,9977708.08
22.01,9977708.1
22.62,9977708.1
23.24,9977708.1
24.07,9977708.13
24.72,9977708.16
25.35,9977708.15
25.97,9977708.16
26.59,9977708.17
27.2,9977708.2
27.82,9977708.21
28.45,9977708.18
29.26,9977708.17
29.86,9977708.22
30.5,9977708.26
31.13,9977708.26
31.75,9977708.29
32.37,9977708.25
33,9977708.27
33.62,9977708.28
34.44,9977708.27
35.07,9977708.3
35.69,9977708.31
36.33,9977708.31
36.96,9977708.35
37.57,9977708.35
38.21,9977708.34
38.83,9977708.32
39.45,9977708.31
40.26,9977708.37
40.86,9977708.39
41.5,9977708.39
42.11,9977708.44
42.75,9977708.41
43.39,9977708.43
44.04,9977708.41
44.66,9977708.44
45.28,9977708.47
45.94,9977708.5
46.58,9977708.5
47.22,9977708.53
48.05,9977708.57
48.69,9977708.58
49.31,9977708.55
49.92,9977708.56
50.52,9977708.54
51.14,9977708.56
51.75,9977708.55
52.57,9977708.57
53.18,9977708.57
53.79,9977708.6
54.39,9977708.63
55.03,9977708.67
55.64,9977708.66
56.5,9977708.64
56.94,9977708.66
57.75,9977708.68
58.37,9977708.69
58.99,9977708.67
59.6,9977708.67
60.21,9977708.68
60.83,9977708.74
61.66,9977708.69
62.28,9977708.67
62.91,9977708.65
63.53,9977708.65
64.15,9977708.65
64.75,9977708.69
65.37,9977708.66
66.19,9977708.69
66.83,9977708.72
67.46,9977708.73
68.07,9977708.66
68.7,9977708.67
69.3,9977708.62
69.92,9977708.63
70.74,9977708.63
71.36,9977708.66
72,9977708.66
72.64,9977708.65
73.27,9977708.65
73.89,9977708.69
74.53,9977708.69
75.15,9977708.73
75.76,9977708.73
76.58,9977708.74
77.21,9977708.71
77.82,9977708.72
78.43,9977708.7
79.04,9977708.72
79.64,9977708.7
80.26,9977708.68
81.1,9977708.68
81.72,9977708.68
82.33,9977708.73
82.94,9977708.74
83.57,9977708.71
84.21,9977708.72
84.83,9977708.7
85.45,9977708.71
86.28,9977708.71
86.94,9977708.66
87.58,9977708.67
88.21,9977708.7
88.83,9977708.68
89.47,9977708.65
90.1,9977708.67
90.72,9977708.67
91.36,9977708.66
91.99,9977708.68
92.6,9977708.71
93.42,9977708.69
94.02,9977708.68
94.64,9977708.71
95.26,9977708.72
95.87,9977708.73
96.5,9977708.74
97.12,9977708.74
97.94,9977708.76
98.57,9977708.79
99.18,9977708.79
99.78,9977708.75
100.41,9977708.78
101.02,9977708.78
101.84,9977708.81
102.44,9977708.81
103.05,9977708.85
103.66,9977708.85
104.28,9977708.89
104.94,9977708.95
105.55,9977708.95
106.19,9977708.89
107.02,9977708.9
107.64,9977708.95
108.28,9977708.95
108.9,9977708.97
109.51,9977708.96
110.12,9977708.95
110.74,9977708.97
111.56,9977709.01
112.17,9977709.01
112.77,9977709.03
113.39,9977709.06
114.04,9977709.08
114.64,9977709.07
115.28,9977709.13
116.1,9977709.13
116.72,9977709.17
117.35,9977709.19
117.97,9977709.2
118.61,9977709.23
119.25,9977709.24
119.87,9977709.23
120.49,9977709.24
121.1,9977709.23
121.93,9977709.24
122.53,9977709.2
123.14,9977709.23
123.79,9977709.28
124.39,9977709.23
125.01,9977709.24
125.82,9977709.26
126.45,9977709.31
127.06,9977709.33
127.68,9977709.33
128.31,9977709.35
128.91,9977709.4
129.52,9977709.36
130.35,9977709.38
130.97,9977709.41
131.6,9977709.41
132.21,9977709.43
132.83,9977709.47
133.44,9977709.52
134.05,9977709.53
134.86,9977709.57
135.47,9977709.53
136.09,9977709.59
136.7,9977709.61
137.31,9977709.6
137.93,9977709.57
138.75,9977709.65
139.37,9977709.69
139.97,9977709.68
140.58,9977709.7
141.21,9977709.69
141.82,9977709.75
142.63,9977709.78
143.24,9977709.8
143.85,9977709.82
144.46,9977709.85
145.07,9977709.87
145.89,9977709.82
146.54,9977709.82
147.14,9977709.83
