Relative_time,Resonance_Frequency
0,9972501.23
0.61,9972501.25
1.25,9972501.3
1.87,9972501.29
2.5,9972501.31
3.11,9972501.36
3.96,9972501.33
4.57,9972501.38
5.19,9972501.36
5.81,9972501.41
6.42,9972501.47
7.04,9972501.44
7.85,9972501.41
8.46,9972501.41
9.09,9972501.45
9.69,9972501.47
10.29,9972501.47
10.92,9972501.43
11.74,9972501.49
12.37,9972501.45
12.99,9972501.5
13.62,9972501.55
14.24,9972501.6
14.87,9972501.63
15.68,9972501.68
16.31,9972501.65
16.93,9972501.67
17.55,9972501.71
18.16,9972501.72
18.77,9972501.75
19.58,9972501.73
20.21,9972501.67
20.83,9972501.65
21.46,9972501.73
22.08,9972501.77
22.71,9972501.77
23.33,9972501.8
24.15,9972501.79
24.77,9972501.83
25.4,9972501.84
26.02,9972501.87
26.65,9972501.88
27.27,9972501.88
27.9,9972501.84
28.7,9972501.83
29.33,9972501.79
29.95,9972501.85
30.58,9972501.83
31.2,9972501.9
31.83,9972501.92
32.45,9972501.93
33.27,9972501.91
33.88,9972501.92
34.49,9972501.98
35.12,9972502.05
35.72,9972502
36.36,9972502.03
36.98,9972502.03
37.81,9972502.03
38.41,9972502.05
39.04,9972502.06
39.66,9972502.08
40.29,9972502.1
40.91,9972502.09
41.75,9972502.1
42.37,9972502.11
42.98,9972502.12
43.6,9972502.13
44.23,9972502.07
44.85,9972502.12
45.48,9972502.16
46.11,9972502.15
46.93,9972502.13
47.53,9972502.15
48.16,9972502.09
48.78,9972502.16
49.39,9972502.2
50.01,9972502.11
50.83,9972502.11
51.44,9972502.12
52.06,9972502.17
52.68,9972502.19
53.31,9972502.21
54.12,9972502.23
54.72,9972502.23
55.35,9972502.29
55.96,9972502.26
56.57,9972502.28
57.18,9972502.26
58,9972502.26
58.62,9972502.24
59.25,9972502.28
59.87,9972502.21
60.5,9972502.25
61.12,9972502.27
61.75,9972502.21
62.55,9972502.19
63.19,9972502.21
63.81,9972502.18
64.43,9972502.19
65.04,9972502.16
65.64,9972502.17
66.47,9972502.25
67.08,9972502.23
67.7,9972502.14
68.33,9972502.14
68.95,9972502.17
69.58,9972502.13
70.41,9972502.13
71.02,9972502.08
71.64,9972502.07
72.27,9972502.02
72.89,9972501.99
73.52,9972501.99
74.13,9972501.99
74.95,9972501.99
75.55,9972501.97
76.16,9972502.03
76.77,9972502.06
77.39,9972502.08
78.21,9972502.09
78.83,9972502.11
79.46,9972502.12
80.08,9972502.11
80.69,9972502.12
81.31,9972502.15
81.94,9972502.12
82.77,9972502.1
83.4,9972502.12
84.02,9972502.15
84.63,9972502.09
85.24,9972502.08
85.86,9972502.06
86.68,9972502.06
87.28,9972502.06
87.91,9972502.07
88.54,9972502.11
89.16,9972502.14
89.77,9972502.11
90.6,9972502.15
91.22,9972502.22
91.85,9972502.19
92.47,9972502.26
93.1,9972502.27
93.73,9972502.29
94.35,9972502.36
94.96,9972502.44
95.77,9972502.35
96.39,9972502.39
97,9972502.41
97.62,9972502.43
98.25,9972502.47
98.87,9972502.33
99.69,9972502.41
100.31,9972502.39
100.94,9972502.43
101.55,9972502.46
102.19,9972502.52
102.81,9972502.53
103.43,9972502.58
104.24,9972502.61
104.87,9972502.64
105.49,9972502.64
106.12,9972502.68
106.74,9972502.73
107.35,9972502.72
108.16,9972502.71
108.77,9972502.72
109.38,9972502.71
109.99,9972502.71
110.62,9972502.67
111.43,9972502.71
112.06,9972502.64
112.68,9972502.68
113.31,9972502.73
113.91,9972502.84
114.54,9972502.87
115.16,9972503.01
115.98,9972502.97
116.6,9972502.98
117.21,9972503.02
117.83,9972503.15
118.44,9972503.23
119.26,9972503.23
119.87,9972503.16
120.5,9972503.1
121.11,9972503.07
121.72,9972503.05
122.33,9972503.08
123.16,9972503.1
123.78,9972503.08
124.41,9972503.09
125.03,9972503.08
125.67,9972503.13
126.29,9972503.04
126.91,9972503.11
127.72,9972503.03
128.35,9972503.16
128.95,9972503.23
129.57,9972503.29
130.18,9972503.33
130.8,9972503.39
131.61,9972503.41
132.24,9972503.4
132.85,9972503.47
133.46,9972503.51
134.07,9972503.53
