Relative_time,Resonance_Frequency
0,9972442.94
0.62,9972442.91
1.23,9972442.85
1.84,9972442.93
2.45,9972442.95
3.07,9972443.03
3.9,9972443.09
4.53,9972443.03
5.14,9972443.05
5.75,9972443.01
6.36,9972442.95
6.99,9972442.97
7.82,9972442.98
8.42,9972443.07
9.04,9972443.05
9.64,9972443.09
10.25,9972443.01
10.87,9972443.03
11.69,9972442.95
12.31,9972442.9
12.92,9972442.87
13.54,9972442.82
14.15,9972442.77
14.98,9972442.65
15.6,9972442.66
16.21,9972442.56
16.82,9972442.54
17.43,9972442.46
18.04,9972442.36
18.85,9972442.35
19.48,9972442.25
20.09,9972442.27
20.7,9972442.28
21.31,9972442.25
22.12,9972442.32
22.73,9972442.3
23.34,9972442.21
23.96,9972442.2
24.61,9972442.19
25.24,9972442.2
25.86,9972442.29
26.68,9972442.25
27.32,9972442.26
27.92,9972442.2
28.54,9972442.17
29.16,9972442.04
29.79,9972442.03
30.42,9972442.03
31.25,9972441.97
31.85,9972441.93
32.48,9972441.79
33.1,9972441.84
33.73,9972441.8
34.33,9972441.68
35.15,9972441.63
35.76,9972441.59
36.38,9972441.49
37,9972441.47
37.63,9972441.45
38.25,9972441.36
38.88,9972441.33
39.7,9972441.27
40.32,9972441.2
40.93,9972441.11
41.55,9972441.11
42.15,9972441.09
42.96,9972441.13
43.57,9972441.12
44.19,9972441.22
44.82,9972441.19
45.44,9972441.17
46.06,9972441.17
46.87,9972441.23
47.5,9972441.25
48.12,9972441.19
48.75,9972441.18
49.37,9972441.17
49.99,9972441.17
50.6,9972441.17
51.43,9972441.11
52.04,9972441.11
52.65,9972441.13
53.27,9972441.13
53.9,9972441.17
54.52,9972441.17
55.34,9972441.15
55.95,9972441.16
56.56,9972441.19
57.19,9972441.22
57.79,9972441.19
58.42,9972441.08
59.25,9972441.06
59.88,9972441.16
60.48,9972441.16
61.11,9972441.03
61.73,9972441.07
62.36,9972441.07
62.99,9972440.94
63.82,9972440.94
64.42,9972440.94
65.05,9972440.99
65.66,9972440.89
66.29,9972440.97
66.91,9972440.97
67.52,9972441
68.33,9972441.05
68.95,9972441.05
69.56,9972441.05
70.18,9972441.04
70.8,9972441.05
71.62,9972441.05
72.23,9972440.92
72.84,9972440.93
73.45,9972440.93
74.05,9972440.98
74.69,9972440.98
75.49,9972440.91
76.1,9972440.91
76.73,9972440.79
77.34,9972440.85
77.95,9972440.71
78.76,9972440.71
79.37,9972440.71
79.98,9972440.68
80.59,9972440.68
81.42,9972440.68
82.03,9972440.73
82.65,9972440.74
83.26,9972440.77
83.87,9972440.69
84.47,9972440.69
85.31,9972440.79
85.91,9972440.89
86.52,9972440.83
87.13,9972440.72
87.74,9972440.77
88.55,9972440.77
89.16,9972440.79
89.79,9972440.71
90.4,9972440.68
91.01,9972440.77
91.84,9972440.77
92.46,9972440.67
93.07,9972440.72
93.68,9972440.76
94.29,9972440.77
94.9,9972440.75
95.73,9972440.76
96.34,9972440.83
96.96,9972440.95
97.57,9972440.85
98.18,9972440.88
99,9972440.8
99.63,9972440.88
100.23,9972440.88
100.84,9972440.81
101.47,9972440.85
102.08,9972440.99
102.89,9972440.99
103.49,9972441.04
104.1,9972441.04
104.71,9972441.05
105.32,9972441.11
106.13,9972441.1
106.74,9972441.01
107.35,9972441.06
107.96,9972441.11
108.58,9972441.21
109.4,9972441.23
110.02,9972441.16
110.65,9972441.25
111.27,9972441.35
111.88,9972441.36
112.5,9972441.37
113.34,9972441.47
113.95,9972441.51
114.57,9972441.5
115.19,9972441.64
115.82,9972441.65
116.44,9972441.66
117.07,9972441.65
117.9,9972441.62
118.53,9972441.52
119.14,9972441.55
119.76,9972441.62
120.37,9972441.65
120.99,9972441.63
121.79,9972441.73
