Relative_time,Resonance_Frequency
0,9993160.02
0.61,9993160.03
1.22,9993160.02
2.04,9993160.01
2.67,9993159.96
3.27,9993159.92
3.88,9993159.88
4.51,9993159.83
5.13,9993159.79
5.94,9993159.77
6.55,9993159.77
7.17,9993159.74
7.77,9993159.75
8.4,9993159.75
9.21,9993159.74
9.82,9993159.75
10.44,9993159.76
11.07,9993159.76
11.68,9993159.74
12.29,9993159.73
13.11,9993159.73
13.71,9993159.69
14.31,9993159.67
14.93,9993159.63
15.74,9993159.63
16.35,9993159.65
16.96,9993159.67
17.56,9993159.67
18.17,9993159.65
18.99,9993159.68
19.61,9993159.66
20.22,9993159.65
20.83,9993159.63
21.44,9993159.62
22.25,9993159.63
22.88,9993159.59
23.49,9993159.6
24.1,9993159.63
24.71,9993159.65
25.52,9993159.65
26.13,9993159.57
26.74,9993159.57
27.36,9993159.58
27.98,9993159.58
28.59,9993159.54
29.39,9993159.52
30.02,9993159.5
30.64,9993159.5
31.27,9993159.48
31.88,9993159.46
32.49,9993159.45
33.3,9993159.43
33.91,9993159.43
34.53,9993159.41
35.13,9993159.42
35.94,9993159.43
36.55,9993159.42
37.16,9993159.46
37.79,9993159.48
38.41,9993159.45
39.04,9993159.44
39.85,9993159.42
40.46,9993159.42
41.06,9993159.4
41.69,9993159.36
42.3,9993159.34
42.91,9993159.33
43.73,9993159.31
44.33,9993159.31
44.94,9993159.32
45.56,9993159.32
46.17,9993159.34
47,9993159.37
47.61,9993159.38
48.22,9993159.4
48.86,9993159.35
49.48,9993159.37
50.1,9993159.4
50.92,9993159.39
51.53,9993159.41
52.15,9993159.42
52.76,9993159.43
53.38,9993159.41
54.01,9993159.43
54.63,9993159.43
55.47,9993159.41
56.09,9993159.38
56.71,9993159.35
57.33,9993159.39
57.94,9993159.39
58.56,9993159.41
59.37,9993159.43
59.98,9993159.45
60.6,9993159.42
61.23,9993159.44
61.83,9993159.44
62.46,9993159.43
63.29,9993159.45
63.92,9993159.46
64.54,9993159.52
65.14,9993159.52
65.77,9993159.56
66.4,9993159.59
67.02,9993159.6
67.86,9993159.61
68.48,9993159.62
69.11,9993159.61
69.73,9993159.63
70.36,9993159.66
70.98,9993159.67
71.61,9993159.71
72.42,9993159.73
73.05,9993159.72
73.67,9993159.74
74.3,9993159.76
74.91,9993159.79
75.54,9993159.82
76.14,9993159.81
76.98,9993159.84
77.6,9993159.87
78.23,9993159.88
78.85,9993159.89
79.48,9993159.89
80.1,9993159.94
80.73,9993159.91
81.33,9993159.95
82.15,9993159.99
82.77,9993159.98
83.38,9993160.01
84,9993159.97
84.61,9993159.99
85.23,9993159.99
86.07,9993160.04
86.69,9993160.04
87.32,9993160.09
87.94,9993160.12
88.55,9993160.17
89.16,9993160.17
89.99,9993160.16
90.61,9993160.18
91.21,9993160.13
91.84,9993160.14
92.46,9993160.15
93.09,9993160.16
93.7,9993160.17
94.53,9993160.17
95.14,9993160.2
95.75,9993160.22
96.36,9993160.24
96.98,9993160.16
97.79,9993160.16
98.4,9993160.17
99.01,9993160.17
99.63,9993160.2
100.26,9993160.21
100.88,9993160.21
101.71,9993160.21
102.34,9993160.15
102.97,9993160.13
103.58,9993160.14
104.19,9993160.11
104.81,9993160.1
105.44,9993160.08
106.27,9993160.09
106.89,9993160.1
107.52,9993160.11
108.14,9993160.08
108.77,9993160.05
109.38,9993160.04
109.99,9993160.04
110.81,9993160.05
111.42,9993160.01
112.04,9993160.01
112.67,9993159.91
113.29,9993159.9
113.9,9993159.89
114.71,9993159.82
115.32,9993159.82
115.94,9993159.81
116.57,9993159.82
117.19,9993159.84
117.84,9993159.83
118.46,9993159.77
119.29,9993159.78
119.9,9993159.73
120.51,9993159.73
121.13,9993159.73
121.76,9993159.72
122.37,9993159.69
123.19,9993159.68
123.81,9993159.67
124.44,9993159.67
125.06,9993159.65
125.69,9993159.59
126.31,9993159.59
126.94,9993159.58
127.75,9993159.54
128.38,9993159.52
129,9993159.51
129.63,9993159.5
130.25,9993159.5
130.88,9993159.49
131.5,9993159.49
132.32,9993159.47
132.94,9993159.44
133.57,9993159.45
134.19,9993159.49
134.82,9993159.51
135.44,9993159.53
136.07,9993159.49
136.9,9993159.5
137.51,9993159.51
138.13,9993159.45
138.76,9993159.41
139.38,9993159.41
140.01,9993159.44
140.62,9993159.41
141.44,9993159.44
142.06,9993159.49
142.69,9993159.49
143.31,9993159.47
143.94,9993159.48
144.56,9993159.49
145.19,9993159.53
145.81,9993159.56
146.63,9993159.5
147.25,9993159.53
147.88,9993159.57
148.49,9993159.55
149.11,9993159.55
149.73,9993159.53
150.54,9993159.54
151.15,9993159.56
151.77,9993159.51
152.4,9993159.52
153.02,9993159.53
153.63,9993159.47
154.46,9993159.48
155.07,9993159.5
155.69,9993159.48
156.3,9993159.49
156.92,9993159.47
157.55,9993159.48
158.38,9993159.51
159.01,9993159.48
159.61,9993159.51
160.23,9993159.54
160.87,9993159.54
161.52,9993159.53
162.14,9993159.53
162.77,9993159.51
163.4,9993159.51
164.23,9993159.53
164.85,9993159.51
165.48,9993159.51
166.08,9993159.45
166.71,9993159.37
167.33,9993159.37
168.15,9993159.35
168.77,9993159.37
169.4,9993159.39
170.02,9993159.39
170.65,9993159.43
171.27,9993159.44
171.9,9993159.45
172.53,9993159.32
173.36,9993159.35
173.98,9993159.35
174.61,9993159.29
175.21,9993159.26
175.82,9993159.27
176.44,9993159.27
177.26,9993159.25
177.88,9993159.25
178.48,9993159.23
179.1,9993159.23
179.73,9993159.25
180.35,9993159.19
180.98,9993159.16
181.81,9993159.15
182.44,9993159.16
183.06,9993159.19
183.67,9993159.16
184.29,9993159.18
184.92,9993159.19
185.54,9993159.2
186.35,9993159.25
186.96,9993159.24
187.59,9993159.22
188.21,9993159.23
188.82,9993159.21
189.44,9993159.23
190.25,9993159.23
190.86,9993159.27
191.48,9993159.26
192.11,9993159.2
192.73,9993159.16
193.36,9993159.15
194.17,9993159.14
194.8,9993159.13
195.42,9993159.13
196.05,9993159.15
196.67,9993159.11
197.29,9993159.13
198.1,9993159.17
198.73,9993159.17
199.35,9993159.16
199.98,9993159.14
200.6,9993159.12
201.23,9993159.11
201.85,9993159.09
202.46,9993159.09
203.29,9993159.06
203.9,9993159.06
204.52,9993159.05
205.13,9993159.03
205.74,9993158.99
206.57,9993158.95
207.19,9993158.93
207.82,9993158.94
208.44,9993158.96
209.07,9993158.99
209.69,9993159.01
210.32,9993159.02
210.94,9993159.02
211.59,9993158.99
212.4,9993158.95
213.01,9993158.95
213.62,9993158.97
214.23,9993158.95
214.86,9993158.92
215.66,9993158.85
216.29,9993158.85
216.89,9993158.87
217.52,9993158.87
218.14,9993158.89
218.77,9993158.83
219.4,9993158.84
220.23,9993158.85
220.85,9993158.81
221.48,9993158.83
222.08,9993158.79
222.69,9993158.81
223.31,9993158.8
224.13,9993158.8
224.74,9993158.79
225.36,9993158.81
225.98,9993158.81
226.61,9993158.84
227.23,9993158.81
227.86,9993158.79
228.69,9993158.75
229.32,9993158.75
229.94,9993158.71
230.55,9993158.69
231.17,9993158.69
231.79,9993158.72
232.61,9993158.71
233.21,9993158.71
233.84,9993158.67
234.46,9993158.67
235.08,9993158.69
235.69,9993158.69
236.5,9993158.71
237.11,9993158.68
237.73,9993158.71
238.35,9993158.72
238.98,9993158.78
239.59,9993158.84
240.42,9993158.81
241.03,9993158.81
241.65,9993158.75
242.25,9993158.72
242.88,9993158.74
243.5,9993158.73
244.32,9993158.76
244.93,9993158.78
245.55,9993158.82
246.17,9993158.89
246.77,9993158.91
247.59,9993158.92
248.19,9993158.97
248.8,9993158.95
249.41,9993158.98
250.02,9993159.01
250.83,9993158.98
251.44,9993159.01
252.05,9993159.07
252.66,9993159.1
253.27,9993159.15
254.08,9993159.15
254.69,9993159.19
255.3,9993159.21
255.91,9993159.23
256.52,9993159.23
257.33,9993159.28
257.94,9993159.33
258.55,9993159.35
