Relative_time,Resonance_Frequency
0,9997397.68
0.63,9997397.54
1.25,9997397.65
2.07,9997397.75
2.68,9997397.57
3.29,9997397.58
3.9,9997397.6
4.5,9997397.53
5.32,9997397.51
5.93,9997397.63
6.55,9997397.76
7.17,9997397.64
7.8,9997397.58
8.42,9997397.63
9.05,9997397.47
9.87,9997397.47
10.5,9997397.51
11.12,9997397.32
11.73,9997397.31
12.35,9997397.25
12.98,9997397.28
13.59,9997397.23
14.44,9997397.08
15.06,9997396.99
15.67,9997397.03
16.29,9997396.91
16.9,9997396.89
17.52,9997396.82
18.33,9997396.67
18.96,9997396.67
19.59,9997396.7
20.21,9997396.49
20.82,9997396.49
21.44,9997396.39
22.07,9997396.43
22.9,9997396.49
23.52,9997396.21
24.15,9997396.31
24.78,9997396.29
25.38,9997396.27
26.01,9997396.07
26.63,9997396.19
27.46,9997396.29
28.09,9997396.16
28.71,9997395.99
29.33,9997395.96
29.94,9997395.85
30.56,9997395.7
31.19,9997395.57
31.81,9997395.57
32.64,9997395.6
33.27,9997395.63
33.9,9997395.48
34.52,9997395.41
35.13,9997395.62
35.75,9997395.43
36.38,9997395.57
37.21,9997395.63
37.84,9997395.75
38.44,9997395.59
39.07,9997395.53
39.68,9997395.55
40.29,9997395.58
41.11,9997395.57
41.73,9997395.51
42.36,9997395.57
42.98,9997395.61
43.59,9997395.53
44.22,9997395.51
44.86,9997395.68
45.67,9997395.76
46.3,9997395.54
46.91,9997395.63
47.52,9997395.7
48.14,9997395.41
48.77,9997395.51
49.58,9997395.61
50.19,9997395.67
50.81,9997395.57
51.44,9997395.6
52.05,9997395.65
52.67,9997395.57
53.5,9997395.57
54.13,9997395.72
54.75,9997395.57
55.38,9997395.32
56,9997395.36
56.63,9997395.47
57.25,9997395.55
57.86,9997395.43
58.69,9997395.53
59.31,9997395.41
59.92,9997395.24
60.53,9997395.33
61.15,9997395.29
61.78,9997395.29
62.59,9997395.41
63.21,9997395.64
63.84,9997395.75
64.46,9997395.69
65.1,9997395.47
65.71,9997395.46
66.34,9997395.35
66.96,9997395.25
67.77,9997395.05
68.39,9997395.07
69.02,9997395.04
69.64,9997395.07
70.27,9997394.95
70.9,9997395.06
71.52,9997394.9
72.33,9997395.07
72.96,9997395.03
73.56,9997394.93
74.17,9997394.98
74.79,9997395.01
75.63,9997394.95
76.24,9997394.83
76.85,9997394.82
77.46,9997394.89
78.07,9997394.67
78.69,9997394.82
79.52,9997394.94
80.15,9997394.65
80.78,9997394.71
81.38,9997394.63
82.01,9997394.54
82.63,9997394.46
83.26,9997394.53
84.09,9997394.35
84.71,9997394.19
85.33,9997394.11
85.94,9997394.11
86.56,9997393.84
87.19,9997393.9
87.8,9997393.91
88.62,9997393.85
89.24,9997393.87
89.85,9997393.73
90.48,9997393.83
91.08,9997393.81
91.71,9997393.95
92.54,9997393.88
93.17,9997393.73
93.79,9997393.64
94.41,9997393.45
95.02,9997393.27
95.65,9997393.2
96.27,9997393.01
97.11,9997392.91
97.73,9997392.93
98.33,9997392.85
98.94,9997392.84
99.57,9997392.93
100.18,9997392.89
101.01,9997392.85
101.63,9997392.68
102.26,9997392.63
102.87,9997392.53
103.47,9997392.45
104.08,9997392.52
104.89,9997392.34
105.5,9997392.37
106.12,9997392.39
106.73,9997392.48
107.34,9997392.29
107.98,9997392.21
108.78,9997392.27
109.39,9997392.09
110,9997392.09
110.61,9997392.25
111.42,9997392.3
112.04,9997392.05
112.67,9997392.21
113.28,9997392.23
113.89,9997392.41
114.52,9997392.54
115.34,9997392.37
115.96,9997392.33
116.57,9997392.39
117.18,9997392.6
117.79,9997392.59
118.61,9997392.4
119.21,9997392.51
119.82,9997392.73
120.44,9997392.74
121.05,9997392.89
121.67,9997392.73
122.47,9997392.82
123.08,9997392.85
123.69,9997392.71
124.31,9997392.54
