Relative_time,Resonance_Frequency
0,9997329.98
0.61,9997329.98
1.43,9997330.03
2.03,9997330.06
2.66,9997330.08
3.28,9997330.06
3.91,9997330.13
4.53,9997330.17
5.34,9997330.2
5.95,9997330.27
6.57,9997330.26
7.2,9997330.23
7.8,9997330.25
8.43,9997330.21
9.26,9997330.17
9.88,9997330.17
10.5,9997330.15
11.11,9997330.11
11.73,9997330.13
12.36,9997330.08
12.98,9997330.06
13.82,9997330.03
14.44,9997330.12
15.07,9997330.22
15.69,9997330.24
16.32,9997330.2
16.92,9997330.16
17.74,9997330.07
18.36,9997330.03
18.97,9997330.05
19.59,9997330.02
20.22,9997330.04
20.83,9997329.97
21.45,9997329.88
22.28,9997329.87
22.91,9997329.89
23.53,9997329.88
24.16,9997329.91
24.78,9997329.85
25.41,9997329.86
26.03,9997329.85
26.85,9997329.83
27.47,9997329.81
28.08,9997329.79
28.69,9997329.77
29.3,9997329.79
29.92,9997329.81
30.73,9997329.74
31.36,9997329.71
31.98,9997329.67
32.61,9997329.72
33.21,9997329.73
33.82,9997329.73
34.64,9997329.69
35.26,9997329.69
35.87,9997329.74
36.5,9997329.7
37.11,9997329.75
37.92,9997329.78
38.53,9997329.77
39.15,9997329.77
39.75,9997329.78
40.36,9997329.76
41.19,9997329.79
41.8,9997329.84
42.41,9997329.83
43.03,9997329.76
43.66,9997329.78
44.28,9997329.78
45.1,9997329.79
45.72,9997329.74
46.34,9997329.7
46.94,9997329.69
47.55,9997329.6
48.17,9997329.61
48.8,9997329.61
49.63,9997329.59
50.23,9997329.62
50.86,9997329.61
51.48,9997329.58
52.11,9997329.53
52.74,9997329.5
53.36,9997329.44
54.17,9997329.41
54.8,9997329.41
55.42,9997329.44
56.03,9997329.51
56.64,9997329.47
57.26,9997329.53
58.09,9997329.57
58.7,9997329.49
59.32,9997329.54
59.95,9997329.51
60.57,9997329.59
61.19,9997329.64
62.01,9997329.55
62.62,9997329.59
63.25,9997329.54
63.89,9997329.53
64.51,9997329.51
65.14,9997329.36
65.75,9997329.29
66.38,9997329.29
67.21,9997329.27
67.82,9997329.29
68.44,9997329.2
69.07,9997329.1
69.69,9997329.01
70.32,9997328.99
70.94,9997328.93
71.78,9997328.95
72.4,9997328.95
73.01,9997328.97
73.63,9997328.89
74.24,9997328.91
74.84,9997328.91
75.67,9997329
76.3,9997329.03
76.93,9997328.99
77.55,9997328.98
78.16,9997329.01
78.78,9997329.05
79.41,9997329.04
80.22,9997329.04
80.85,9997328.98
81.45,9997329
82.07,9997329.03
82.7,9997329.09
83.51,9997329.17
84.14,9997329.15
84.75,9997329.2
85.36,9997329.17
85.98,9997329.23
86.61,9997329.22
87.23,9997329.19
87.86,9997329.16
88.69,9997329.04
89.32,9997329.05
89.93,9997329.11
90.57,9997329.03
91.19,9997329.05
91.82,9997329.03
92.42,9997329.07
93.24,9997329.09
93.86,9997329.03
94.47,9997329.1
95.09,9997329.03
95.7,9997329.05
96.34,9997329.14
97.16,9997329.18
97.78,9997329.19
98.41,9997329.27
99.02,9997329.29
99.64,9997329.34
100.26,9997329.37
101.06,9997329.37
101.69,9997329.47
102.3,9997329.59
102.91,9997329.61
103.51,9997329.67
104.34,9997329.7
104.96,9997329.79
105.57,9997329.83
106.19,9997329.86
106.82,9997329.79
107.44,9997329.82
108.25,9997329.87
108.86,9997329.89
109.47,9997329.89
110.09,9997329.89
110.72,9997329.89
111.34,9997329.87
111.95,9997329.85
112.76,9997329.84
113.37,9997329.85
113.98,9997329.79
114.59,9997329.79
115.41,9997329.81
116.03,9997329.75
116.64,9997329.79
117.25,9997329.85
117.87,9997329.83
118.5,9997329.85
119.31,9997329.85
119.93,9997329.87
120.55,9997329.87
121.18,9997329.89
121.79,9997329.9
