Relative_time,Resonance_Frequency
0,9992289.8
0.61,9992289.76
1.22,9992289.77
1.83,9992289.74
2.45,9992289.76
3.28,9992289.76
3.91,9992289.85
4.55,9992289.82
5.16,9992289.85
5.79,9992289.83
6.39,9992289.88
7.01,9992289.93
7.62,9992289.97
8.44,9992290
9.05,9992290
9.66,9992290.05
10.27,9992290.05
10.9,9992290.09
11.53,9992290.05
12.37,9992290.07
12.99,9992290.12
13.61,9992290.2
14.23,9992290.26
14.86,9992290.29
15.48,9992290.25
16.11,9992290.25
16.72,9992290.27
17.54,9992290.28
18.15,9992290.31
18.81,9992290.25
19.45,9992290.28
20.09,9992290.31
20.72,9992290.29
21.33,9992290.37
21.95,9992290.41
22.58,9992290.37
23.2,9992290.45
23.84,9992290.5
24.65,9992290.54
25.31,9992290.49
25.93,9992290.51
26.55,9992290.5
27.18,9992290.59
27.79,9992290.56
28.41,9992290.57
29.04,9992290.51
29.66,9992290.61
30.48,9992290.65
31.12,9992290.61
31.76,9992290.65
32.37,9992290.68
32.98,9992290.67
33.61,9992290.7
34.23,9992290.69
34.87,9992290.69
35.48,9992290.65
36.3,9992290.61
36.93,9992290.65
37.53,9992290.57
38.14,9992290.63
38.75,9992290.73
39.37,9992290.69
40.02,9992290.72
40.83,9992290.63
41.45,9992290.63
42.09,9992290.62
42.72,9992290.73
43.34,9992290.7
43.97,9992290.77
44.58,9992290.83
45.2,9992290.85
46.02,9992290.87
46.65,9992290.83
47.28,9992290.81
47.9,9992290.81
48.55,9992290.84
49.15,9992290.89
49.8,9992290.89
50.45,9992290.87
51.08,9992290.85
51.7,9992290.89
52.52,9992290.99
53.13,9992291.08
53.77,9992291.1
54.37,9992291.13
54.98,9992291.16
55.61,9992291.08
56.23,9992291.09
56.87,9992291.07
57.69,9992291.09
58.3,9992291.09
58.91,9992291.05
59.56,9992290.98
60.18,9992290.98
60.81,9992291
61.44,9992291.03
62.05,9992290.99
62.86,9992290.98
63.48,9992291.01
64.11,9992290.99
64.73,9992291.01
65.37,9992291.05
66,9992291.07
66.62,9992291.13
67.25,9992291.19
68.06,9992291.23
68.68,9992291.31
69.29,9992291.35
69.9,9992291.51
70.51,9992291.57
71.13,9992291.34
71.95,9992291.42
72.56,9992291.45
73.2,9992291.53
73.84,9992291.57
74.47,9992291.57
75.09,9992291.53
75.71,9992291.53
76.31,9992291.62
76.95,9992291.59
77.77,9992291.59
78.37,9992291.55
78.98,9992291.63
79.62,9992291.65
80.26,9992291.68
80.9,9992291.7
81.52,9992291.71
82.16,9992291.74
82.97,9992291.72
83.59,9992291.86
84.2,9992291.85
84.84,9992291.77
85.46,9992291.73
86.08,9992291.79
86.73,9992291.83
87.36,9992291.75
87.97,9992291.79
88.78,9992291.82
89.41,9992291.84
90.03,9992291.86
90.66,9992291.86
91.28,9992291.88
91.9,9992291.91
92.55,9992292.05
93.15,9992292.05
93.97,9992292.05
94.58,9992292.06
95.19,9992292.11
95.84,9992292.16
96.45,9992292.14
97.09,9992292.14
97.7,9992292.18
98.34,9992292.2
98.97,9992292.22
99.78,9992292.17
100.39,9992292.23
101.01,9992292.18
101.65,9992292.18
102.29,9992292.16
102.94,9992292.17
103.58,9992292.17
104.19,9992292.11
105.01,9992292.13
105.45,9992292.11
106.29,9992292.14
106.91,9992292.19
107.53,9992292.17
108.15,9992292.23
108.8,9992292.17
109.45,9992292.19
110.08,9992292.25
110.71,9992292.28
111.33,9992292.26
111.95,9992292.3
112.59,9992292.35
113.4,9992292.39
114.04,9992292.45
114.65,9992292.47
115.26,9992292.49
115.9,9992292.51
116.51,9992292.55
117.15,9992292.51
117.79,9992292.59
118.45,9992292.56
119.09,9992292.61
119.73,9992292.66
120.36,9992292.66
121.19,9992292.73
121.83,9992292.72
122.48,9992292.76
123.12,9992292.83
123.76,9992292.97
124.37,9992292.98
125.01,9992292.89
125.65,9992292.91
126.29,9992292.99
126.91,9992293.07
127.51,9992293.09
128.14,9992293.06
128.98,9992293.09
129.61,9992293.17
130.22,9992293.22
130.84,9992293.33
131.45,9992293.39
132.09,9992293.42
132.72,9992293.45
133.34,9992293.49
133.97,9992293.46
134.8,9992293.46
135.4,9992293.47
136.05,9992293.55
136.68,9992293.56
137.29,9992293.57
137.91,9992293.61
138.52,9992293.64
139.14,9992293.66
139.98,9992293.65
140.61,9992293.71
141.23,9992293.79
141.87,9992293.78
142.49,9992293.82
143.12,9992293.85
143.73,9992293.88
144.34,9992293.9
144.97,9992293.88
145.8,9992293.88
146.43,9992293.89
147.05,9992293.88
147.66,9992293.88
148.29,9992293.87
148.88,9992293.9
149.7,9992293.95
150.32,9992293.91
150.94,9992293.95
151.56,9992293.92
152.17,9992293.95
152.78,9992294
153.39,9992293.93
154.22,9992293.98
154.83,9992293.96
155.44,9992293.96
156.05,9992293.96
156.67,9992294.05
157.48,9992294.01
158.08,9992294.07
