Relative_time,Resonance_Frequency
0,9992307.65
0.64,9992307.66
1.25,9992307.7
1.86,9992307.75
2.68,9992307.76
3.33,9992307.75
3.96,9992307.77
4.58,9992307.81
5.22,9992307.82
5.83,9992307.84
6.45,9992307.85
7.06,9992307.82
7.86,9992307.82
8.49,9992307.83
9.11,9992307.83
9.73,9992307.83
10.36,9992307.85
10.97,9992307.87
11.58,9992307.87
12.43,9992307.9
13.04,9992307.92
13.64,9992307.89
14.26,9992307.9
14.86,9992307.91
15.47,9992307.86
16.29,9992307.87
16.9,9992307.92
17.5,9992307.91
18.11,9992307.94
18.73,9992307.93
19.54,9992307.99
20.14,9992308.05
20.75,9992308.09
21.39,9992308.08
22.01,9992308.1
22.62,9992308.1
23.24,9992308.1
24.07,9992308.13
24.72,9992308.16
25.35,9992308.15
25.97,9992308.16
26.59,9992308.17
27.2,9992308.2
27.82,9992308.21
28.45,9992308.18
29.26,9992308.17
29.86,9992308.22
30.5,9992308.26
31.13,9992308.26
31.75,9992308.29
32.37,9992308.25
33,9992308.27
33.62,9992308.28
34.44,9992308.27
35.07,9992308.3
35.69,9992308.31
36.33,9992308.31
36.96,9992308.35
37.57,9992308.35
38.21,9992308.34
38.83,9992308.32
39.45,9992308.31
40.26,9992308.37
40.86,9992308.39
41.5,9992308.39
42.11,9992308.44
42.75,9992308.41
43.39,9992308.43
44.04,9992308.41
44.66,9992308.44
45.28,9992308.47
45.94,9992308.5
46.58,9992308.5
47.22,9992308.53
48.05,9992308.57
48.69,9992308.58
49.31,9992308.55
49.92,9992308.56
50.52,9992308.54
51.14,9992308.56
51.75,9992308.55
52.57,9992308.57
53.18,9992308.57
53.79,9992308.6
54.39,9992308.63
55.03,9992308.67
55.64,9992308.66
56.5,9992308.64
56.94,9992308.66
57.75,9992308.68
58.37,9992308.69
58.99,9992308.67
59.6,9992308.67
60.21,9992308.68
60.83,9992308.74
61.66,9992308.69
62.28,9992308.67
62.91,9992308.65
63.53,9992308.65
64.15,9992308.65
64.75,9992308.69
65.37,9992308.66
66.19,9992308.69
66.83,9992308.72
67.46,9992308.73
68.07,9992308.66
68.7,9992308.67
69.3,9992308.62
69.92,9992308.63
70.74,9992308.63
71.36,9992308.66
72,9992308.66
72.64,9992308.65
73.27,9992308.65
73.89,9992308.69
74.53,9992308.69
75.15,9992308.73
75.76,9992308.73
76.58,9992308.74
77.21,9992308.71
77.82,9992308.72
78.43,9992308.7
79.04,9992308.72
79.64,9992308.7
80.26,9992308.68
81.1,9992308.68
81.72,9992308.68
82.33,9992308.73
82.94,9992308.74
83.57,9992308.71
84.21,9992308.72
84.83,9992308.7
85.45,9992308.71
86.28,9992308.71
86.94,9992308.66
87.58,9992308.67
88.21,9992308.7
88.83,9992308.68
89.47,9992308.65
90.1,9992308.67
90.72,9992308.67
91.36,9992308.66
91.99,9992308.68
92.6,9992308.71
93.42,9992308.69
94.02,9992308.68
94.64,9992308.71
95.26,9992308.72
95.87,9992308.73
96.5,9992308.74
97.12,9992308.74
97.94,9992308.76
98.57,9992308.79
99.18,9992308.79
99.78,9992308.75
100.41,9992308.78
101.02,9992308.78
101.84,9992308.81
102.44,9992308.81
103.05,9992308.85
103.66,9992308.85
104.28,9992308.89
104.94,9992308.95
105.55,9992308.95
106.19,9992308.89
107.02,9992308.9
107.64,9992308.95
108.28,9992308.95
108.9,9992308.97
109.51,9992308.96
110.12,9992308.95
110.74,9992308.97
111.56,9992309.01
112.17,9992309.01
112.77,9992309.03
113.39,9992309.06
114.04,9992309.08
114.64,9992309.07
115.28,9992309.13
116.1,9992309.13
116.72,9992309.17
117.35,9992309.19
117.97,9992309.2
118.61,9992309.23
119.25,9992309.24
119.87,9992309.23
120.49,9992309.24
121.1,9992309.23
121.93,9992309.24
122.53,9992309.2
123.14,9992309.23
123.79,9992309.28
124.39,9992309.23
125.01,9992309.24
125.82,9992309.26
126.45,9992309.31
127.06,9992309.33
127.68,9992309.33
128.31,9992309.35
128.91,9992309.4
129.52,9992309.36
130.35,9992309.38
130.97,9992309.41
131.6,9992309.41
132.21,9992309.43
132.83,9992309.47
133.44,9992309.52
134.05,9992309.53
134.86,9992309.57
135.47,9992309.53
136.09,9992309.59
136.7,9992309.61
137.31,9992309.6
137.93,9992309.57
138.75,9992309.65
139.37,9992309.69
139.97,9992309.68
140.58,9992309.7
141.21,9992309.69
141.82,9992309.75
142.63,9992309.78
143.24,9992309.8
143.85,9992309.82
144.46,9992309.85
145.07,9992309.87
145.89,9992309.82
146.54,9992309.82
147.14,9992309.83
