Relative_time,Resonance_Frequency
0.0,9981958.95
0.62,9981958.92
1.25,9981958.83
1.86,9981958.85
2.47,9981958.86
3.1,9981958.78
3.72,9981958.81
4.54,9981958.85
5.17,9981958.77
5.79,9981958.86
6.42,9981958.86
7.04,9981958.87
7.68,9981958.78
8.32,9981958.85
8.95,9981958.86
9.56,9981958.83
10.4,9981958.85
11.03,9981958.9
11.65,9981958.91
12.27,9981958.86
12.87,9981958.88
13.51,9981958.86
14.12,9981958.82
14.76,9981958.82
15.37,9981958.82
16.2,9981958.83
16.83,9981958.89
17.46,9981958.86
18.07,9981958.87
18.71,9981958.79
19.32,9981958.78
19.96,9981958.77
20.58,9981958.73
21.4,9981958.7
22.04,9981958.64
22.68,9981958.62
23.32,9981958.52
23.93,9981958.56
24.54,9981958.69
25.18,9981958.67
25.8,9981958.77
26.41,9981958.77
27.04,9981958.85
27.68,9981958.76
28.54,9981958.82
29.17,9981958.77
29.79,9981958.79
30.42,9981958.73
31.04,9981958.63
31.67,9981958.72
32.29,9981958.77
32.91,9981958.75
33.53,9981958.88
34.36,9981958.85
34.98,9981958.89
35.61,9981958.87
36.21,9981958.93
36.86,9981958.82
37.47,9981958.86
38.08,9981958.76
38.7,9981958.74
39.54,9981958.72
40.15,9981958.71
40.77,9981958.7
41.39,9981958.75
42.0,9981958.84
42.64,9981958.86
43.25,9981958.69
44.06,9981958.71
44.67,9981958.8
45.28,9981958.8
45.89,9981958.76
46.5,9981958.76
47.12,9981958.75
47.76,9981958.81
48.58,9981958.79
49.2,9981958.81
49.82,9981958.77
50.44,9981958.81
51.04,9981958.85
51.67,9981958.83
52.49,9981958.77
53.1,9981958.81
53.72,9981958.78
54.32,9981958.8
54.94,9981958.82
55.57,9981958.79
56.19,9981958.75
57.01,9981958.68
57.63,9981958.65
58.24,9981958.67
58.84,9981958.72
59.46,9981958.66
60.07,9981958.65
60.72,9981958.61
61.53,9981958.64
62.14,9981958.69
62.76,9981958.62
63.39,9981958.59
64.0,9981958.56
64.62,9981958.56
65.26,9981958.49
66.1,9981958.47
66.71,9981958.46
67.33,9981958.45
67.93,9981958.45
68.54,9981958.41
69.17,9981958.44
69.79,9981958.47
70.61,9981958.55
71.21,9981958.65
71.84,9981958.65
72.46,9981958.61
73.07,9981958.63
73.69,9981958.65
74.5,9981958.64
75.11,9981958.59
75.72,9981958.65
76.34,9981958.64
76.96,9981958.59
77.57,9981958.68
78.39,9981958.68
79.0,9981958.68
79.61,9981958.66
80.21,9981958.6
80.82,9981958.58
81.46,9981958.53
82.29,9981958.53
82.92,9981958.5
83.53,9981958.55
84.14,9981958.57
84.75,9981958.62
85.37,9981958.53
85.99,9981958.5
86.79,9981958.52
87.42,9981958.62
88.03,9981958.61
88.65,9981958.69
89.29,9981958.77
89.9,9981958.78
90.71,9981958.8
91.33,9981958.65
91.93,9981958.65
92.56,9981958.67
93.18,9981958.61
93.79,9981958.61
94.42,9981958.65
95.23,9981958.6
95.85,9981958.69
96.46,9981958.79
97.08,9981958.81
97.71,9981958.84
98.37,9981958.83
99.01,9981958.74
99.64,9981958.68
100.26,9981958.77
100.88,9981958.81
101.69,9981958.77
102.3,9981958.72
102.93,9981958.71
103.55,9981958.69
104.15,9981958.77
104.77,9981958.9
105.61,9981958.87
106.21,9981958.87
106.84,9981958.81
107.45,9981958.77
108.06,9981958.83
108.68,9981958.86
109.32,9981958.84
110.15,9981958.81
110.79,9981958.91
111.43,9981958.92
112.04,9981958.88
112.68,9981958.91
113.32,9981958.97
113.93,9981959.02
114.54,9981958.99
115.15,9981958.99
115.98,9981958.98
116.61,9981958.91
117.26,9981958.9
117.89,9981958.93
118.51,9981958.99
119.14,9981958.99
119.76,9981958.98
120.4,9981958.93
121.03,9981958.93
121.64,9981958.88
122.26,9981958.89
123.07,9981958.93
123.68,9981958.93
124.29,9981959.0
124.92,9981958.93
125.54,9981958.97
126.16,9981959.09
126.98,9981959.19
127.59,9981959.19
128.2,9981959.23
128.81,9981959.16
129.42,9981959.23
130.23,9981959.37
130.84,9981959.26
131.45,9981959.39
132.06,9981959.39
132.68,9981959.33
133.29,9981959.32
134.11,9981959.39
134.72,9981959.47
135.32,9981959.53
135.95,9981959.49
136.57,9981959.48
137.18,9981959.32
138.0,9981959.33
138.61,9981959.27
139.22,9981959.33
139.82,9981959.39
140.43,9981959.4
141.25,9981959.47
141.86,9981959.49
