Relative_time,Resonance_Frequency
0.0,9982042.15
0.81,9982042.13
1.45,9982042.08
2.05,9982042.11
2.7,9982042.15
3.3,9982042.21
3.92,9982042.23
4.55,9982042.3
5.19,9982042.34
5.83,9982042.35
6.65,9982042.36
7.27,9982042.37
7.9,9982042.38
8.52,9982042.39
9.16,9982042.44
9.79,9982042.35
10.41,9982042.36
11.04,9982042.37
11.66,9982042.38
12.5,9982042.35
13.12,9982042.37
13.73,9982042.41
14.34,9982042.44
14.96,9982042.49
15.59,9982042.48
16.21,9982042.61
17.05,9982042.63
17.66,9982042.68
18.27,9982042.71
18.9,9982042.67
19.51,9982042.71
20.12,9982042.73
20.77,9982042.73
21.41,9982042.71
22.05,9982042.71
22.88,9982042.61
23.5,9982042.61
24.11,9982042.62
24.73,9982042.61
25.34,9982042.61
25.99,9982042.6
26.63,9982042.65
27.24,9982042.66
27.86,9982042.63
28.67,9982042.64
29.3,9982042.65
29.91,9982042.67
30.53,9982042.67
31.15,9982042.63
31.76,9982042.65
32.57,9982042.59
33.19,9982042.6
33.83,9982042.61
34.47,9982042.6
35.08,9982042.58
35.72,9982042.57
36.33,9982042.56
36.94,9982042.55
37.58,9982042.55
38.24,9982042.57
39.06,9982042.57
39.7,9982042.56
40.31,9982042.55
40.94,9982042.55
41.59,9982042.53
42.2,9982042.56
42.81,9982042.56
43.44,9982042.57
44.07,9982042.55
44.7,9982042.55
45.52,9982042.45
46.15,9982042.41
46.77,9982042.4
47.4,9982042.45
48.02,9982042.43
48.64,9982042.15
49.25,9982042.15
50.05,9982042.2
50.69,9982042.17
51.34,9982042.18
51.99,9982042.19
52.62,9982042.22
53.24,9982042.22
53.88,9982042.26
54.49,9982042.27
55.1,9982042.33
55.92,9982042.32
56.52,9982042.31
57.16,9982042.33
57.79,9982042.33
58.41,9982042.34
59.05,9982042.32
59.66,9982042.32
60.29,9982042.34
60.9,9982042.35
61.71,9982042.35
62.33,9982042.37
62.94,9982042.37
63.55,9982042.39
64.17,9982042.39
64.99,9982042.41
65.62,9982042.44
66.24,9982042.46
66.85,9982042.49
67.49,9982042.51
68.13,9982042.51
68.76,9982042.55
69.38,9982042.66
70.02,9982043.05
70.66,9982043.01
71.3,9982043.25
71.94,9982043.29
72.77,9982043.35
73.41,9982043.67
74.04,9982043.75
74.66,9982043.83
75.3,9982043.86
75.91,9982043.88
76.55,9982043.93
77.19,9982043.91
77.83,9982044.07
78.45,9982044.09
79.26,9982044.1
79.87,9982044.13
80.49,9982044.16
81.13,9982044.21
81.74,9982044.21
82.36,9982044.18
82.97,9982044.21
83.77,9982044.22
84.41,9982044.23
85.02,9982044.23
85.66,9982044.25
86.3,9982044.25
86.93,9982044.27
87.55,9982044.31
88.19,9982044.33
88.83,9982044.35
89.47,9982044.39
90.3,9982044.43
90.92,9982044.45
91.55,9982044.48
92.17,9982044.51
92.78,9982044.5
93.39,9982044.49
93.99,9982044.52
94.8,9982044.54
95.42,9982044.57
96.02,9982044.59
96.66,9982044.58
97.3,9982044.57
97.92,9982044.59
98.53,9982044.62
99.35,9982044.64
99.97,9982044.67
100.59,9982044.71
101.22,9982044.79
101.82,9982044.7
102.44,9982044.13
103.26,9982044.13
103.89,9982043.97
104.5,9982044.14
105.12,9982044.15
105.75,9982043.61
106.36,9982043.54
106.98,9982043.56
107.79,9982043.59
108.41,9982043.57
109.02,9982043.62
109.64,9982043.67
110.27,9982043.55
110.9,9982043.61
111.51,9982043.64
112.13,9982043.61
112.94,9982043.63
113.55,9982043.66
114.19,9982043.68
114.83,9982043.7
115.47,9982043.72
116.08,9982043.74
116.7,9982043.77
117.51,9982043.79
118.16,9982043.8
118.78,9982043.76
119.39,9982043.77
120.02,9982043.79
120.64,9982043.77
121.27,9982043.78
121.91,9982043.79
122.54,9982043.79
123.15,9982043.8
123.96,9982043.81
124.57,9982043.81
125.18,9982043.82
125.79,9982043.82
126.42,9982043.83
127.24,9982043.81
