synthetic_id,class,stage,concentration_uM,duration_s,replicate_1_early_disp_30s,replicate_2_early_disp_30s,biomarker_replicate_status,early_displacement_30s,true_endpoint_delta_f,intentionally_divergent
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0000_FORCED_DIVERGENT,CLEAN_PCA3_TARGET_HYB,target,10.0,151.34152063454334,84.84706747826363,0.05718489360983124,DIVERGENT_REPLICATES,42.45212618593673,7.405509462439817,True
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0001_FORCED_DIVERGENT,CLEAN_PCA3_TARGET_HYB,target,10.0,186.15513064619876,58.73718889825512,-0.011958665320820218,DIVERGENT_REPLICATES,29.36261511646715,13.755568998151329,True
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0002,CLEAN_PCA3_TARGET_HYB,target,10.0,235.54244621357725,136.1410912176717,85.34060927435974,CONCORDANT,110.74085024601571,113.86946497048555,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0003,CLEAN_PCA3_TARGET_HYB,target,40.0,178.14241849682077,22.128365395362074,98.47473199833952,DIVERGENT_REPLICATES,60.3015486968508,56.589050706796414,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0004,CLEAN_PCA3_TARGET_HYB,target,10.0,132.61596591459733,-24.224820823303563,21.84008270924473,DIVERGENT_REPLICATES,-1.192369057029417,-2.209654866754338,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0005,CLEAN_PCA3_TARGET_HYB,target,10.0,149.48856978761242,-27.115628148500942,19.52266367281976,DIVERGENT_REPLICATES,-3.796482237840591,-1.788386947406524,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0006,CLEAN_PCA3_TARGET_HYB,target,20.0,134.10996276508178,44.63792650540953,134.3188789284228,DIVERGENT_REPLICATES,89.47840271691616,86.57839373204753,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0007,CLEAN_PCA3_TARGET_HYB,target,10.0,60.79217231622732,77.52685036420235,47.5804762206565,CONCORDANT,62.55366329242942,60.21940356396536,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0008,CLEAN_PCA3_TARGET_HYB,target,10.0,224.08029492586215,195.3588155845875,79.55854092728529,DIVERGENT_REPLICATES,137.45867825593638,133.91782765398082,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0009,CLEAN_PCA3_TARGET_HYB,target,5.0,111.5563061993297,51.72573874525994,87.9788796097826,CONCORDANT,69.85230917752126,74.58247644208221,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0010,CLEAN_PCA3_TARGET_HYB,target,10.0,134.1395282052227,61.96033555172585,150.63365806337018,DIVERGENT_REPLICATES,106.29699680754801,109.60785141054333,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0011,CLEAN_PCA3_TARGET_HYB,target,5.0,158.27023264059721,-71.50663800624268,-23.411559355130272,DIVERGENT_REPLICATES,-47.45909868068648,-49.88266675405834,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0012,CLEAN_PCA3_TARGET_HYB,target,10.0,155.19678542679463,99.72048915751544,59.5804708810554,CONCORDANT,79.65048001928542,79.5390110039073,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0013,CLEAN_PCA3_TARGET_HYB,target,10.0,163.59133541366455,-181.20050926416366,-212.69672965385283,CONCORDANT,-196.94861945900823,-196.91725177362926,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0014,CLEAN_PCA3_TARGET_HYB,target,10.0,109.19292945718644,99.59110013792188,38.42324675292506,DIVERGENT_REPLICATES,69.00717344542348,70.95889526789213,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0015,CLEAN_PCA3_TARGET_HYB,target,10.0,72.60461761200946,-3.0236322445022252,23.026973870002927,DIVERGENT_REPLICATES,10.001670812750351,11.509316829292054,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0016,CLEAN_PCA3_TARGET_HYB,target,5.0,178.6517868516302,-10.080937001724301,-27.58455313943336,DIVERGENT_REPLICATES,-18.83274507057883,-16.01102836733743,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0017,CLEAN_PCA3_TARGET_HYB,target,0.5,130.13814016962226,-0.9218290576319846,-5.72914770724788,DIVERGENT_REPLICATES,-3.325488382439932,0.592964767287289,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0018,CLEAN_PCA3_TARGET_HYB,target,10.0,221.47973471592314,108.64897028116584,60.50877507509063,CONCORDANT,84.57887267812823,83.30954183062934,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0019,CLEAN_PCA3_TARGET_HYB,target,5.0,178.7208493076401,-12.914988866571683,-58.193642409211826,DIVERGENT_REPLICATES,-35.554315637891754,-35.08811936332274,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0020,CLEAN_PCA3_TARGET_HYB,target,10.0,67.56324857963025,72.36225362196735,45.835011980362715,CONCORDANT,59.09863280116504,60.31553087852723,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0021,CLEAN_PCA3_TARGET_HYB,target,10.0,159.81014948255586,141.1929981145901,107.09874829230398,CONCORDANT,124.14587320344704,123.11837056186468,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0022,CLEAN_PCA3_TARGET_HYB,target,10.0,200.6175603322685,126.87943467611508,36.032974759705034,DIVERGENT_REPLICATES,81.45620471791005,82.98751667855723,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0023,CLEAN_PCA3_TARGET_HYB,target,10.0,179.03858969459674,49.188545457749456,93.45627218698381,CONCORDANT,71.32240882236664,71.75403104374979,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0024,CLEAN_PCA3_TARGET_HYB,target,10.0,113.06460302030828,57.27485358846721,74.14372232311094,CONCORDANT,65.70928795578908,67.89157313408258,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0025,CLEAN_PCA3_TARGET_HYB,target,10.0,167.23354294124775,-33.481394623739064,66.3108411295141,DIVERGENT_REPLICATES,16.41472325288752,17.820442870141925,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0026,CLEAN_PCA3_TARGET_HYB,target,0.5,180.39826214944492,-72.06012881250966,-93.34624122289875,CONCORDANT,-82.70318501770421,-79.60103608807923,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0027,CLEAN_PCA3_TARGET_HYB,target,40.0,148.58817018121402,176.21782719375898,209.0004011554544,CONCORDANT,192.6091141746067,196.6127009902637,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0028,CLEAN_PCA3_TARGET_HYB,target,10.0,200.0937971425427,22.760957659297816,84.26832757176089,DIVERGENT_REPLICATES,53.514642615529354,54.11736690578229,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0029,CLEAN_PCA3_TARGET_HYB,target,10.0,183.5921774764206,-246.0596609127872,-126.25972460161492,CONCORDANT,-186.15969275720107,-189.37527080422905,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0030,CLEAN_PCA3_TARGET_HYB,target,5.0,62.79413143222994,-85.17481233516918,-62.19700445328975,CONCORDANT,-73.68590839422947,-76.68416875371415,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0031,CLEAN_PCA3_TARGET_HYB,target,10.0,152.21673564987094,34.684606788505114,12.88203610067186,DIVERGENT_REPLICATES,23.783321444588488,23.58425082594694,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0032,CLEAN_PCA3_TARGET_HYB,target,10.0,140.75312768429288,-78.57011150581027,29.04814283870277,DIVERGENT_REPLICATES,-24.76098433355375,-20.27338221504102,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0033,CLEAN_PCA3_TARGET_HYB,target,10.0,168.41429055474586,47.07417867124696,60.251900117108164,CONCORDANT,53.66303939417756,52.29707181580136,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0034,CLEAN_PCA3_TARGET_HYB,target,20.0,229.63915972490895,111.52498827841616,118.50674083886015,CONCORDANT,115.01586455863816,118.03328571722739,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0035,CLEAN_PCA3_TARGET_HYB,target,10.0,141.34592322891413,138.73342148920904,-76.34101744930223,DIVERGENT_REPLICATES,31.196202019953404,30.596601257483698,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0036,CLEAN_PCA3_TARGET_HYB,target,10.0,78.3282924925413,1.2910211047028946,-15.590906111793876,DIVERGENT_REPLICATES,-7.149942503545491,-9.914056441092766,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0037,CLEAN_PCA3_TARGET_HYB,target,10.0,205.0211286433008,-107.5968338038663,-253.22622158545374,DIVERGENT_REPLICATES,-180.41152769466004,-181.42318447814665,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0038,CLEAN_PCA3_TARGET_HYB,target,10.0,212.7366672789035,145.95296981140226,117.09617552903937,CONCORDANT,131.5245726702208,130.0171961786643,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0039,CLEAN_PCA3_TARGET_HYB,target,5.0,233.14564150676472,-17.201009748436388,57.483163734267684,DIVERGENT_REPLICATES,20.14107699291565,21.950423572894525,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0040,CLEAN_PCA3_TARGET_HYB,target,0.5,77.92229228824499,-62.610428969729625,-141.82973705158676,DIVERGENT_REPLICATES,-102.22008301065819,-104.12553215474864,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0041,CLEAN_PCA3_TARGET_HYB,target,10.0,153.46003814387848,147.2386047709155,133.702031852695,CONCORDANT,140.47031831180524,142.13300775237153,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0042,CLEAN_PCA3_TARGET_HYB,target,10.0,174.59543257269854,11.87381269953186,78.96363621443253,DIVERGENT_REPLICATES,45.41872445698219,47.167838546788396,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0043,CLEAN_PCA3_TARGET_HYB,target,10.0,176.41147801436193,2.6755515347358396,-27.807550986520372,DIVERGENT_REPLICATES,-12.565999725892267,-9.930481556427042,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0044,CLEAN_PCA3_TARGET_HYB,target,0.5,154.6263978118291,-17.14184583878686,-14.892763754656483,CONCORDANT,-16.01730479672167,-15.962180869830917,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0045,CLEAN_PCA3_TARGET_HYB,target,10.0,228.18643945902724,-233.24095716171604,-209.57403062440304,CONCORDANT,-221.40749389305955,-217.10662223868493,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0046,CLEAN_PCA3_TARGET_HYB,target,10.0,167.92310978313446,121.52344339974978,71.71126279182555,CONCORDANT,96.61735309578766,95.16233720629094,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0047,CLEAN_PCA3_TARGET_HYB,target,40.0,70.2245588585727,187.24039750570154,180.1070039249714,CONCORDANT,183.67370071533645,185.6888293804942,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0048,CLEAN_PCA3_TARGET_HYB,target,10.0,149.7120120082084,135.14447350040467,-39.3033157594038,DIVERGENT_REPLICATES,47.920578870500435,47.28709869717071,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0049,CLEAN_PCA3_TARGET_HYB,target,10.0,165.30137716577713,-210.19243299277335,-206.2590468227149,CONCORDANT,-208.22573990774413,-210.62671871816895,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0050,CLEAN_PCA3_TARGET_HYB,target,10.0,187.98878697886846,-13.383550644356285,23.845458835955995,DIVERGENT_REPLICATES,5.230954095799855,6.864891528576574,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0051,CLEAN_PCA3_TARGET_HYB,target,10.0,97.14814518185221,123.6876497006812,-1.373556133375334,DIVERGENT_REPLICATES,61.15704678365294,59.02687011820087,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0052,CLEAN_PCA3_TARGET_HYB,target,5.0,112.392381387445,-24.9404541139986,-81.58649374217312,DIVERGENT_REPLICATES,-53.26347392808586,-54.058304861732715,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0053,CLEAN_PCA3_TARGET_HYB,target,0.5,167.19677549057738,-151.42741736565708,-8.130466576865452,DIVERGENT_REPLICATES,-79.77894197126126,-80.33387012374865,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0054,CLEAN_PCA3_TARGET_HYB,target,40.0,137.9043538684867,-38.30663570682845,-45.77487446649303,CONCORDANT,-42.04075508666074,-42.088270870715576,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0055,CLEAN_PCA3_TARGET_HYB,target,40.0,126.99146573390547,124.77703333319394,57.90515294509122,DIVERGENT_REPLICATES,91.34109313914257,91.47195944632459,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0056,CLEAN_PCA3_TARGET_HYB,target,40.0,218.28381635561522,143.31414021906022,93.36351717826138,CONCORDANT,118.33882869866079,121.35564972277513,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0057,CLEAN_PCA3_TARGET_HYB,target,10.0,195.00556197689664,-206.26066911387437,-248.57425025551782,CONCORDANT,-227.4174596846961,-229.40686035014488,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0058,CLEAN_PCA3_TARGET_HYB,target,20.0,191.38520784623378,-111.19796634484906,-142.58747710018477,CONCORDANT,-126.89272172251691,-129.75781431183876,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0059,CLEAN_PCA3_TARGET_HYB,target,20.0,241.09808657467795,37.51253399538774,109.6053845658139,DIVERGENT_REPLICATES,73.55895928060082,77.28438205492992,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0060,CLEAN_PCA3_TARGET_HYB,target,5.0,177.10363991351906,128.13566107350297,-43.985026206140965,DIVERGENT_REPLICATES,42.07531743368101,39.65977836928734,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0061,CLEAN_PCA3_TARGET_HYB,target,10.0,141.18237006019697,-34.667368658527366,-37.891324276898914,CONCORDANT,-36.27934646771314,-41.66740063834745,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0062,CLEAN_PCA3_TARGET_HYB,target,20.0,144.00530040573773,44.17058211908643,83.40911567895581,CONCORDANT,63.78984889902112,65.90525543342073,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0063,CLEAN_PCA3_TARGET_HYB,target,40.0,156.3506523143821,47.3631629748133,56.44096392552314,CONCORDANT,51.90206345016822,52.160570531429954,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0064,CLEAN_PCA3_TARGET_HYB,target,5.0,195.35518498846017,-62.57824287112995,-146.1961863524154,DIVERGENT_REPLICATES,-104.38721461177268,-102.13825579207642,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0065,CLEAN_PCA3_TARGET_HYB,target,40.0,225.73774999172585,32.38484483449367,-23.85999964983001,DIVERGENT_REPLICATES,4.262422592331831,4.973211926630714,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0066,CLEAN_PCA3_TARGET_HYB,target,0.5,124.24594846050559,-49.62285113925933,-27.81398663204616,CONCORDANT,-38.718418885652746,-38.96323485108695,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0067,CLEAN_PCA3_TARGET_HYB,target,5.0,179.70832479317684,-104.12142606810885,-13.01625304830701,DIVERGENT_REPLICATES,-58.56883955820793,-58.79790896528056,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0068,CLEAN_PCA3_TARGET_HYB,target,10.0,160.10321304997552,-33.24463447145087,0.4414965263440999,DIVERGENT_REPLICATES,-16.401568972553385,-20.20957059449251,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0069,CLEAN_PCA3_TARGET_HYB,target,20.0,170.34254426604403,182.06367064508115,19.44754363577736,DIVERGENT_REPLICATES,100.75560714042925,96.17984645193361,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0070,CLEAN_PCA3_TARGET_HYB,target,10.0,183.2062509994142,23.473268251043486,-27.56823642952712,DIVERGENT_REPLICATES,-2.0474840892418165,-1.9261467767141998,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0071,CLEAN_PCA3_TARGET_HYB,target,5.0,52.33794958160932,-5.377234721405594,-89.42644984773618,DIVERGENT_REPLICATES,-47.40184228457089,-46.77950886592796,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0072,CLEAN_PCA3_TARGET_HYB,target,10.0,68.71671922687258,18.39748329778796,106.86671289838354,DIVERGENT_REPLICATES,62.63209809808575,62.972057532530464,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0073,CLEAN_PCA3_TARGET_HYB,target,1.0,156.8355491278645,-283.8240937170337,-339.7307074967482,CONCORDANT,-311.777400606891,-313.70873522582326,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0074,CLEAN_PCA3_TARGET_HYB,target,10.0,183.975266540966,36.6681360403389,26.444781107643013,CONCORDANT,31.55645857399096,32.24792743218579,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0075,CLEAN_PCA3_TARGET_HYB,target,10.0,146.0273245694605,-59.42996419992734,43.30845904008836,DIVERGENT_REPLICATES,-8.060752579919491,-8.105208447530803,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0076,CLEAN_PCA3_TARGET_HYB,target,20.0,173.6314530250168,7.9442946881232155,113.0161906060529,DIVERGENT_REPLICATES,60.48024264708806,60.7754493294853,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0077,CLEAN_PCA3_TARGET_HYB,target,5.0,120.9780625582854,-33.55826116425058,-85.17986467483394,DIVERGENT_REPLICATES,-59.36906291954226,-59.27558051276428,False
SYN_TARGET_CLEAN_PCA3_TARGET_HYB_0078,CLEAN_PCA3_TARGET_HYB,target,10.0,209.09542785784157,-49.35242458622335,10.556838557251954,DIVERGENT_REPLICATES,-19.3977930144857,-21.020102122386078,False
